ward,precinct,total,LORETTA EADIE-DANIELS,LORETTA EADIE-DANIELS Percent,precinct_id
20,2,91,91,100.0,20002
20,3,111,111,100.0,20003
20,4,105,105,100.0,20004
20,5,89,89,100.0,20005
20,6,101,101,100.0,20006
20,7,59,59,100.0,20007
20,8,73,73,100.0,20008
20,9,91,91,100.0,20009
20,10,130,130,100.0,20010
20,11,91,91,100.0,20011
20,12,110,110,100.0,20012
20,13,64,64,100.0,20013
20,14,148,148,100.0,20014
20,15,103,103,100.0,20015
20,16,55,55,100.0,20016
20,17,71,71,100.0,20017
20,18,130,130,100.0,20018
20,19,88,88,100.0,20019
20,20,102,102,100.0,20020
20,21,78,78,100.0,20021
20,22,99,99,100.0,20022
20,23,84,84,100.0,20023
20,24,116,116,100.0,20024
20,25,68,68,100.0,20025
20,26,170,170,100.0,20026
20,27,56,56,100.0,20027
20,28,120,120,100.0,20028
20,29,102,102,100.0,20029
20,30,96,96,100.0,20030
20,31,78,78,100.0,20031
20,32,201,201,100.0,20032
20,33,99,99,100.0,20033
20,34,181,181,100.0,20034
20,35,62,62,100.0,20035
20,36,108,108,100.0,20036
20,37,73,73,100.0,20037
20,38,137,137,100.0,20038
20,39,105,105,100.0,20039
20,40,90,90,100.0,20040
20,41,27,27,100.0,20041
20,42,48,48,100.0,20042
20,43,169,169,100.0,20043
20,44,145,145,100.0,20044
20,45,29,29,100.0,20045
20,46,62,62,100.0,20046
20,47,80,80,100.0,20047
20,48,56,56,100.0,20048
20,49,79,79,100.0,20049
20,50,85,85,100.0,20050
20,51,80,80,100.0,20051
20,52,29,29,100.0,20052
25,14,0,0,0.0,25014
25,21,86,86,100.0,25021
