ward,precinct,total,RICHARD A. DEVINE,RICHARD A. DEVINE Percent,precinct_id
3,16,422,407,96.45,03016
3,17,265,259,97.74,03017
3,18,217,216,99.54,03018
3,19,199,193,96.98,03019
3,20,117,113,96.58,03020
3,21,168,165,98.21,03021
3,22,202,200,99.01,03022
3,23,198,192,96.97,03023
3,24,310,304,98.06,03024
3,25,101,100,99.01,03025
3,26,188,181,96.28,03026
3,27,106,102,96.23,03027
3,28,269,255,94.8,03028
3,29,100,98,98.0,03029
3,30,286,280,97.9,03030
3,31,285,272,95.44,03031
3,32,382,373,97.64,03032
3,33,288,274,95.14,03033
3,34,106,104,98.11,03034
3,35,256,243,94.92,03035
3,36,150,145,96.67,03036
3,37,269,260,96.65,03037
3,38,277,267,96.39,03038
3,39,285,274,96.14,03039
3,40,267,257,96.25,03040
3,41,204,195,95.59,03041
3,42,183,180,98.36,03042
3,43,19,19,100.0,03043
3,44,245,241,98.37,03044
3,45,153,152,99.35,03045
3,46,41,41,100.0,03046
3,47,206,203,98.54,03047
3,48,256,254,99.22,03048
3,49,260,257,98.85,03049
3,50,276,269,97.46,03050
3,51,212,179,84.43,03051
3,52,356,343,96.35,03052
4,1,363,324,89.26,04001
4,2,140,136,97.14,04002
4,3,501,479,95.61,04003
4,4,426,414,97.18,04004
4,5,362,356,98.34,04005
4,6,30,30,100.0,04006
4,7,249,241,96.79,04007
4,8,458,436,95.2,04008
4,9,570,551,96.67,04009
4,10,675,651,96.44,04010
4,11,396,392,98.99,04011
4,12,327,319,97.55,04012
4,13,565,526,93.1,04013
4,14,344,335,97.38,04014
4,15,147,138,93.88,04015
4,16,432,424,98.15,04016
4,17,546,462,84.62,04017
4,18,349,332,95.13,04018
4,19,140,137,97.86,04019
4,20,211,207,98.1,04020
4,21,386,353,91.45,04021
4,22,481,454,94.39,04022
4,23,326,297,91.1,04023
4,24,428,396,92.52,04024
4,25,369,348,94.31,04025
4,26,320,314,98.13,04026
4,27,397,385,96.98,04027
4,28,397,353,88.92,04028
4,29,339,306,90.27,04029
4,30,169,164,97.04,04030
4,31,145,145,100.0,04031
4,32,473,425,89.85,04032
4,33,150,142,94.67,04033
4,34,333,302,90.69,04034
4,35,288,277,96.18,04035
4,36,371,358,96.5,04036
4,37,261,253,96.93,04037
4,38,544,505,92.83,04038
4,39,177,175,98.87,04039
4,40,380,359,94.47,04040
4,41,363,327,90.08,04041
4,42,344,333,96.8,04042
4,43,313,293,93.61,04043
4,44,316,288,91.14,04044
4,45,523,494,94.46,04045
4,46,361,347,96.12,04046
4,47,660,613,92.88,04047
4,48,537,497,92.55,04048
4,49,124,123,99.19,04049
4,50,309,298,96.44,04050
4,51,421,380,90.26,04051
4,52,138,134,97.1,04052
4,53,164,162,98.78,04053
4,54,275,255,92.73,04054
4,55,299,271,90.64,04055
5,1,345,338,97.97,05001
5,2,424,413,97.41,05002
5,3,418,409,97.85,05003
5,4,422,413,97.87,05004
5,5,323,317,98.14,05005
5,6,321,305,95.02,05006
5,7,341,331,97.07,05007
5,8,489,441,90.18,05008
5,9,361,356,98.61,05009
5,10,242,236,97.52,05010
5,11,130,122,93.85,05011
5,12,385,378,98.18,05012
5,13,356,345,96.91,05013
5,14,336,313,93.15,05014
5,15,277,268,96.75,05015
5,16,342,332,97.08,05016
5,17,222,219,98.65,05017
5,18,274,268,97.81,05018
5,19,328,318,96.95,05019
5,20,284,274,96.48,05020
5,21,440,432,98.18,05021
5,22,375,364,97.07,05022
5,23,286,272,95.1,05023
5,24,259,235,90.73,05024
5,25,347,335,96.54,05025
5,26,235,230,97.87,05026
5,27,246,207,84.15,05027
5,28,431,424,98.38,05028
5,29,238,234,98.32,05029
5,30,377,329,87.27,05030
5,31,370,357,96.49,05031
5,32,538,520,96.65,05032
5,33,352,339,96.31,05033
5,34,283,271,95.76,05034
5,35,362,319,88.12,05035
5,36,415,410,98.8,05036
5,37,303,275,90.76,05037
5,38,363,326,89.81,05038
5,39,393,346,88.04,05039
5,40,354,346,97.74,05040
5,41,409,355,86.8,05041
5,42,345,334,96.81,05042
5,43,381,361,94.75,05043
5,44,326,316,96.93,05044
5,45,222,212,95.5,05045
5,46,474,427,90.08,05046
5,47,321,316,98.44,05047
5,48,291,277,95.19,05048
5,49,445,390,87.64,05049
5,50,248,242,97.58,05050
5,51,295,289,97.97,05051
5,52,228,222,97.37,05052
5,53,363,352,96.97,05053
5,54,204,196,96.08,05054
5,55,331,319,96.37,05055
5,56,264,257,97.35,05056
5,57,437,402,91.99,05057
5,58,274,270,98.54,05058
5,59,240,233,97.08,05059
6,1,408,395,96.81,06001
6,2,434,424,97.7,06002
6,3,372,359,96.51,06003
6,4,265,254,95.85,06004
6,5,297,290,97.64,06005
6,6,358,352,98.32,06006
6,7,322,309,95.96,06007
6,8,359,352,98.05,06008
6,9,456,443,97.15,06009
6,10,401,381,95.01,06010
6,11,352,340,96.59,06011
6,12,379,373,98.42,06012
6,13,357,343,96.08,06013
6,14,441,430,97.51,06014
6,15,347,337,97.12,06015
6,16,383,366,95.56,06016
6,17,406,393,96.8,06017
6,18,151,148,98.01,06018
6,19,351,336,95.73,06019
6,20,86,84,97.67,06020
6,21,354,344,97.18,06021
6,22,385,367,95.32,06022
6,23,332,326,98.19,06023
6,24,365,354,96.99,06024
6,25,398,392,98.49,06025
6,26,384,376,97.92,06026
6,27,479,466,97.29,06027
6,28,501,488,97.41,06028
6,29,410,398,97.07,06029
6,30,409,402,98.29,06030
6,31,425,414,97.41,06031
6,32,428,413,96.5,06032
6,33,416,406,97.6,06033
6,34,373,366,98.12,06034
6,35,458,443,96.72,06035
6,36,243,233,95.88,06036
6,37,412,394,95.63,06037
6,38,473,458,96.83,06038
6,39,231,221,95.67,06039
6,40,278,274,98.56,06040
6,41,409,384,93.89,06041
6,42,285,280,98.25,06042
6,43,438,428,97.72,06043
6,44,363,354,97.52,06044
6,45,233,225,96.57,06045
6,46,303,296,97.69,06046
6,47,385,378,98.18,06047
6,48,393,383,97.46,06048
6,49,394,386,97.97,06049
6,50,376,365,97.07,06050
6,51,323,311,96.28,06051
6,52,339,325,95.87,06052
6,53,351,339,96.58,06053
6,54,336,325,96.73,06054
6,55,279,271,97.13,06055
6,56,284,276,97.18,06056
6,57,237,230,97.05,06057
6,58,354,341,96.33,06058
6,59,314,306,97.45,06059
6,60,243,235,96.71,06060
6,61,293,290,98.98,06061
6,62,402,393,97.76,06062
6,63,314,306,97.45,06063
6,64,400,387,96.75,06064
7,1,439,429,97.72,07001
7,2,469,455,97.01,07002
7,3,363,349,96.14,07003
7,4,391,376,96.16,07004
7,5,366,351,95.9,07005
7,6,410,395,96.34,07006
7,7,412,397,96.36,07007
7,8,445,424,95.28,07008
7,9,357,339,94.96,07009
7,10,602,584,97.01,07010
7,11,375,358,95.47,07011
7,12,445,432,97.08,07012
7,13,176,171,97.16,07013
7,14,432,406,93.98,07014
7,15,582,569,97.77,07015
7,16,447,443,99.11,07016
7,17,402,395,98.26,07017
7,18,495,480,96.97,07018
7,19,417,401,96.16,07019
7,20,236,231,97.88,07020
7,21,417,408,97.84,07021
7,22,378,366,96.83,07022
7,23,459,437,95.21,07023
7,24,470,462,98.3,07024
7,25,378,372,98.41,07025
7,26,431,414,96.06,07026
7,27,408,397,97.3,07027
7,28,408,399,97.79,07028
7,29,173,170,98.27,07029
7,30,450,440,97.78,07030
7,31,430,416,96.74,07031
7,32,478,459,96.03,07032
7,33,426,420,98.59,07033
7,34,280,268,95.71,07034
7,35,487,463,95.07,07035
7,36,613,601,98.04,07036
7,37,475,466,98.11,07037
7,38,460,442,96.09,07038
7,39,444,431,97.07,07039
7,40,310,302,97.42,07040
7,41,492,474,96.34,07041
7,42,507,494,97.44,07042
7,43,448,436,97.32,07043
7,44,491,479,97.56,07044
7,45,448,439,97.99,07045
7,46,111,106,95.5,07046
8,1,378,367,97.09,08001
8,2,282,274,97.16,08002
8,3,444,433,97.52,08003
8,4,379,367,96.83,08004
8,5,404,388,96.04,08005
8,6,402,392,97.51,08006
8,7,317,311,98.11,08007
8,8,399,394,98.75,08008
8,9,415,404,97.35,08009
8,10,425,413,97.18,08010
8,11,289,283,97.92,08011
8,12,357,341,95.52,08012
8,13,347,342,98.56,08013
8,14,434,422,97.24,08014
8,15,322,312,96.89,08015
8,16,378,369,97.62,08016
8,17,305,302,99.02,08017
8,18,294,289,98.3,08018
8,19,442,436,98.64,08019
8,20,326,319,97.85,08020
8,21,294,283,96.26,08021
8,22,348,339,97.41,08022
8,23,363,354,97.52,08023
8,24,368,358,97.28,08024
8,25,377,368,97.61,08025
8,26,293,287,97.95,08026
8,27,400,391,97.75,08027
8,28,316,308,97.47,08028
8,29,375,365,97.33,08029
8,30,353,338,95.75,08030
8,31,382,371,97.12,08031
8,32,590,579,98.14,08032
8,33,318,306,96.23,08033
8,34,440,428,97.27,08034
8,35,447,434,97.09,08035
8,36,381,363,95.28,08036
8,37,368,364,98.91,08037
8,38,364,357,98.08,08038
8,39,391,387,98.98,08039
8,40,430,420,97.67,08040
8,41,339,330,97.35,08041
8,42,334,322,96.41,08042
8,43,389,384,98.71,08043
8,44,387,378,97.67,08044
8,45,419,406,96.9,08045
8,46,330,324,98.18,08046
8,47,374,370,98.93,08047
8,48,380,372,97.89,08048
8,49,433,423,97.69,08049
8,50,370,358,96.76,08050
8,51,345,335,97.1,08051
8,52,373,357,95.71,08052
8,53,387,366,94.57,08053
8,54,409,395,96.58,08054
8,55,398,391,98.24,08055
8,56,385,374,97.14,08056
8,57,400,387,96.75,08057
8,58,380,370,97.37,08058
8,59,359,352,98.05,08059
8,60,502,483,96.22,08060
8,61,339,334,98.53,08061
8,62,459,442,96.3,08062
8,63,394,383,97.21,08063
8,64,246,240,97.56,08064
8,65,394,382,96.95,08065
8,66,526,513,97.53,08066
9,1,414,402,97.1,09001
9,2,451,442,98.0,09002
9,3,358,353,98.6,09003
9,4,455,435,95.6,09004
9,5,399,390,97.74,09005
9,6,357,350,98.04,09006
9,7,395,388,98.23,09007
9,8,327,319,97.55,09008
9,9,397,388,97.73,09009
9,10,413,401,97.09,09010
9,11,342,336,98.25,09011
9,12,399,385,96.49,09012
9,13,501,485,96.81,09013
9,14,514,511,99.42,09014
9,15,225,218,96.89,09015
9,16,430,418,97.21,09016
9,17,402,397,98.76,09017
9,18,365,354,96.99,09018
9,19,444,432,97.3,09019
9,20,400,395,98.75,09020
9,21,287,283,98.61,09021
9,22,461,456,98.92,09022
9,23,290,288,99.31,09023
9,24,304,302,99.34,09024
9,25,261,248,95.02,09025
9,26,295,293,99.32,09026
9,27,254,248,97.64,09027
9,28,369,355,96.21,09028
9,29,403,395,98.01,09029
9,30,433,426,98.38,09030
9,31,389,376,96.66,09031
9,32,422,415,98.34,09032
9,33,283,280,98.94,09033
9,34,410,396,96.59,09034
9,35,372,369,99.19,09035
9,36,243,237,97.53,09036
9,37,445,373,83.82,09037
9,38,439,428,97.49,09038
9,39,351,341,97.15,09039
9,40,434,419,96.54,09040
9,41,463,450,97.19,09041
9,42,468,462,98.72,09042
9,43,338,333,98.52,09043
9,44,395,387,97.97,09044
9,45,489,480,98.16,09045
9,46,350,342,97.71,09046
9,47,290,282,97.24,09047
9,48,382,369,96.6,09048
9,49,210,207,98.57,09049
9,50,453,444,98.01,09050
9,51,287,283,98.61,09051
9,52,379,366,96.57,09052
10,1,278,272,97.84,10001
10,2,239,200,83.68,10002
10,3,334,269,80.54,10003
10,4,375,344,91.73,10004
10,5,249,200,80.32,10005
10,6,433,424,97.92,10006
10,7,105,102,97.14,10007
10,8,313,253,80.83,10008
10,9,329,263,79.94,10009
10,10,345,330,95.65,10010
10,11,354,287,81.07,10011
10,12,318,265,83.33,10012
10,13,389,331,85.09,10013
10,14,85,76,89.41,10014
10,15,181,148,81.77,10015
10,16,321,266,82.87,10016
10,17,291,241,82.82,10017
10,18,344,327,95.06,10018
10,19,526,422,80.23,10019
10,20,564,453,80.32,10020
10,21,242,202,83.47,10021
10,22,119,103,86.55,10022
10,23,339,311,91.74,10023
10,24,318,242,76.1,10024
10,25,444,420,94.59,10025
10,26,277,231,83.39,10026
10,27,381,319,83.73,10027
10,28,359,347,96.66,10028
10,29,389,381,97.94,10029
10,30,368,327,88.86,10030
10,31,369,318,86.18,10031
10,32,363,301,82.92,10032
10,33,321,278,86.6,10033
10,34,340,312,91.76,10034
10,35,354,313,88.42,10035
10,36,347,328,94.52,10036
10,37,320,306,95.63,10037
10,38,463,382,82.51,10038
10,39,337,292,86.65,10039
10,40,340,325,95.59,10040
10,41,561,435,77.54,10041
10,42,335,260,77.61,10042
10,43,377,357,94.69,10043
10,44,337,287,85.16,10044
10,45,394,343,87.06,10045
10,46,336,295,87.8,10046
11,1,306,266,86.93,11001
11,2,319,277,86.83,11002
11,3,381,328,86.09,11003
11,4,406,343,84.48,11004
11,5,279,247,88.53,11005
11,6,434,378,87.1,11006
11,7,296,259,87.5,11007
11,8,334,297,88.92,11008
11,9,291,265,91.07,11009
11,10,261,228,87.36,11010
11,11,358,312,87.15,11011
11,12,353,324,91.78,11012
11,13,343,303,88.34,11013
11,14,170,145,85.29,11014
11,15,265,234,88.3,11015
11,16,334,302,90.42,11016
11,17,449,382,85.08,11017
11,18,236,210,88.98,11018
11,19,306,271,88.56,11019
11,20,413,381,92.25,11020
11,21,443,409,92.33,11021
11,22,232,203,87.5,11022
11,23,289,254,87.89,11023
11,24,405,382,94.32,11024
11,25,232,214,92.24,11025
11,26,419,377,89.98,11026
11,27,100,85,85.0,11027
11,28,71,69,97.18,11028
11,29,376,341,90.69,11029
11,30,315,273,86.67,11030
11,31,86,78,90.7,11031
11,32,264,246,93.18,11032
11,33,396,388,97.98,11033
11,34,210,195,92.86,11034
11,35,356,323,90.73,11035
11,36,218,186,85.32,11036
11,37,550,485,88.18,11037
11,38,425,387,91.06,11038
11,39,407,366,89.93,11039
11,40,339,304,89.68,11040
11,41,269,233,86.62,11041
11,42,199,180,90.45,11042
11,43,359,320,89.14,11043
11,44,331,281,84.89,11044
11,45,259,222,85.71,11045
11,46,216,204,94.44,11046
11,47,323,297,91.95,11047
11,48,168,149,88.69,11048
11,49,234,217,92.74,11049
11,50,177,158,89.27,11050
11,51,309,274,88.67,11051
11,52,311,278,89.39,11052
11,53,268,242,90.3,11053
11,54,95,92,96.84,11054
12,1,200,178,89.0,12001
12,2,186,165,88.71,12002
12,3,170,150,88.24,12003
12,4,181,159,87.85,12004
12,5,84,76,90.48,12005
12,6,203,177,87.19,12006
12,7,196,176,89.8,12007
12,8,206,181,87.86,12008
12,9,166,141,84.94,12009
12,10,156,128,82.05,12010
12,11,190,167,87.89,12011
12,12,174,145,83.33,12012
12,13,137,111,81.02,12013
12,14,249,224,89.96,12014
12,15,248,220,88.71,12015
12,16,198,173,87.37,12016
12,17,106,90,84.91,12017
12,18,170,156,91.76,12018
12,19,192,176,91.67,12019
12,20,231,215,93.07,12020
12,21,231,201,87.01,12021
12,22,232,209,90.09,12022
12,23,174,151,86.78,12023
12,24,94,80,85.11,12024
12,25,237,208,87.76,12025
12,26,172,156,90.7,12026
12,27,132,97,73.48,12027
12,28,161,140,86.96,12028
12,29,320,275,85.94,12029
12,30,236,205,86.86,12030
13,1,314,265,84.39,13001
13,2,268,215,80.22,13002
13,3,367,300,81.74,13003
13,4,396,331,83.59,13004
13,5,312,273,87.5,13005
13,6,321,275,85.67,13006
13,7,356,298,83.71,13007
13,8,350,269,76.86,13008
13,9,354,311,87.85,13009
13,10,304,255,83.88,13010
13,11,342,292,85.38,13011
13,12,378,322,85.19,13012
13,13,411,373,90.75,13013
13,14,262,216,82.44,13014
13,15,367,324,88.28,13015
13,16,302,263,87.09,13016
13,17,249,213,85.54,13017
13,18,324,280,86.42,13018
13,19,286,246,86.01,13019
13,20,342,289,84.5,13020
13,21,286,231,80.77,13021
13,22,380,337,88.68,13022
13,23,320,269,84.06,13023
13,24,419,349,83.29,13024
13,25,304,254,83.55,13025
13,26,297,262,88.22,13026
13,27,340,282,82.94,13027
13,28,276,235,85.14,13028
13,29,358,298,83.24,13029
13,30,361,315,87.26,13030
13,31,324,286,88.27,13031
13,32,278,244,87.77,13032
13,33,336,286,85.12,13033
13,34,309,252,81.55,13034
13,35,383,320,83.55,13035
13,36,258,212,82.17,13036
13,37,256,223,87.11,13037
13,38,196,164,83.67,13038
13,39,333,277,83.18,13039
13,40,303,260,85.81,13040
13,41,319,278,87.15,13041
13,42,386,323,83.68,13042
13,43,278,251,90.29,13043
13,44,276,230,83.33,13044
13,45,313,279,89.14,13045
13,46,314,290,92.36,13046
13,47,253,216,85.38,13047
13,48,312,263,84.29,13048
13,49,282,244,86.52,13049
13,50,415,369,88.92,13050
13,51,294,253,86.05,13051
13,52,400,349,87.25,13052
13,53,413,341,82.57,13053
13,54,354,313,88.42,13054
13,55,392,340,86.73,13055
13,56,407,346,85.01,13056
13,57,387,319,82.43,13057
13,58,416,375,90.14,13058
13,59,304,248,81.58,13059
13,60,366,342,93.44,13060
13,61,449,371,82.63,13061
13,62,347,306,88.18,13062
13,63,417,337,80.82,13063
14,1,255,214,83.92,14001
14,2,244,203,83.2,14002
14,3,356,324,91.01,14003
14,4,240,204,85.0,14004
14,5,340,316,92.94,14005
14,6,259,222,85.71,14006
14,7,254,222,87.4,14007
14,8,253,216,85.38,14008
14,9,274,251,91.61,14009
14,10,151,137,90.73,14010
14,11,256,235,91.8,14011
14,12,159,136,85.53,14012
14,13,298,245,82.21,14013
14,14,219,198,90.41,14014
14,15,182,162,89.01,14015
14,16,280,239,85.36,14016
14,17,293,264,90.1,14017
14,18,188,156,82.98,14018
14,19,317,282,88.96,14019
14,20,330,301,91.21,14020
14,21,484,457,94.42,14021
14,22,276,242,87.68,14022
14,23,203,180,88.67,14023
14,24,286,254,88.81,14024
14,25,294,264,89.8,14025
14,26,248,213,85.89,14026
14,27,408,359,87.99,14027
14,28,223,185,82.96,14028
14,29,292,260,89.04,14029
14,30,281,235,83.63,14030
14,31,239,220,92.05,14031
14,32,329,300,91.19,14032
14,33,210,193,91.9,14033
14,34,254,235,92.52,14034
14,35,144,115,79.86,14035
14,36,310,267,86.13,14036
14,37,267,238,89.14,14037
14,38,234,213,91.03,14038
14,39,279,227,81.36,14039
14,40,233,198,84.98,14040
14,41,305,276,90.49,14041
14,42,237,206,86.92,14042
14,43,279,238,85.3,14043
14,44,332,286,86.14,14044
14,45,282,231,81.91,14045
14,46,313,291,92.97,14046
14,47,341,313,91.79,14047
14,48,257,247,96.11,14048
15,1,334,329,98.5,15001
15,2,357,341,95.52,15002
15,3,322,312,96.89,15003
15,4,420,409,97.38,15004
15,5,350,338,96.57,15005
15,6,300,274,91.33,15006
15,7,331,320,96.68,15007
15,8,315,302,95.87,15008
15,9,341,325,95.31,15009
15,10,438,419,95.66,15010
15,11,385,365,94.81,15011
15,12,408,358,87.75,15012
15,13,271,261,96.31,15013
15,14,170,154,90.59,15014
15,15,327,320,97.86,15015
15,16,499,481,96.39,15016
15,17,329,319,96.96,15017
15,18,360,355,98.61,15018
15,19,335,328,97.91,15019
15,20,281,276,98.22,15020
15,21,412,403,97.82,15021
15,22,535,508,94.95,15022
15,23,251,248,98.8,15023
15,24,467,444,95.07,15024
15,25,377,349,92.57,15025
15,26,340,333,97.94,15026
15,27,390,358,91.79,15027
15,28,554,523,94.4,15028
15,29,452,439,97.12,15029
15,30,317,307,96.85,15030
15,31,349,335,95.99,15031
15,32,304,287,94.41,15032
15,33,371,364,98.11,15033
15,34,274,267,97.45,15034
15,35,387,375,96.9,15035
15,36,321,313,97.51,15036
15,37,330,321,97.27,15037
15,38,290,272,93.79,15038
15,39,316,312,98.73,15039
15,40,349,338,96.85,15040
15,41,385,362,94.03,15041
15,42,291,283,97.25,15042
15,43,334,326,97.6,15043
15,44,275,273,99.27,15044
15,45,339,292,86.14,15045
15,46,298,289,96.98,15046
15,47,327,319,97.55,15047
15,48,278,270,97.12,15048
16,1,212,186,87.74,16001
16,2,292,280,95.89,16002
16,3,328,319,97.26,16003
16,4,99,97,97.98,16004
16,5,316,306,96.84,16005
16,6,253,243,96.05,16006
16,7,243,233,95.88,16007
16,8,396,378,95.45,16008
16,9,418,401,95.93,16009
16,10,322,309,95.96,16010
16,11,352,338,96.02,16011
16,12,323,315,97.52,16012
16,13,262,225,85.88,16013
16,14,319,313,98.12,16014
16,15,334,326,97.6,16015
16,16,182,176,96.7,16016
16,17,82,81,98.78,16017
16,18,229,225,98.25,16018
16,19,312,305,97.76,16019
16,20,306,299,97.71,16020
16,21,247,215,87.04,16021
16,22,252,244,96.83,16022
16,23,295,267,90.51,16023
16,24,260,253,97.31,16024
16,25,176,172,97.73,16025
16,26,279,277,99.28,16026
16,27,242,235,97.11,16027
16,28,292,290,99.32,16028
16,29,238,235,98.74,16029
16,30,375,368,98.13,16030
16,31,301,294,97.67,16031
16,32,107,101,94.39,16032
16,33,232,226,97.41,16033
16,34,253,249,98.42,16034
16,35,233,226,97.0,16035
16,36,281,276,98.22,16036
16,37,262,259,98.85,16037
16,38,449,431,95.99,16038
16,39,273,267,97.8,16039
16,40,340,330,97.06,16040
16,41,190,171,90.0,16041
16,42,321,285,88.79,16042
17,1,229,224,97.82,17001
17,2,376,365,97.07,17002
17,3,329,321,97.57,17003
17,4,461,454,98.48,17004
17,5,317,310,97.79,17005
17,6,288,283,98.26,17006
17,7,402,392,97.51,17007
17,8,244,244,100.0,17008
17,9,265,260,98.11,17009
17,10,367,359,97.82,17010
17,11,360,349,96.94,17011
17,12,346,340,98.27,17012
17,13,278,265,95.32,17013
17,14,338,330,97.63,17014
17,15,452,446,98.67,17015
17,16,362,353,97.51,17016
17,17,322,314,97.52,17017
17,18,359,345,96.1,17018
17,19,257,253,98.44,17019
17,20,344,342,99.42,17020
17,21,406,396,97.54,17021
17,22,369,364,98.64,17022
17,23,252,248,98.41,17023
17,24,388,380,97.94,17024
17,25,246,241,97.97,17025
17,26,406,397,97.78,17026
17,27,422,413,97.87,17027
17,28,283,275,97.17,17028
17,29,366,359,98.09,17029
17,30,368,358,97.28,17030
17,31,201,197,98.01,17031
17,32,383,374,97.65,17032
17,33,353,346,98.02,17033
17,34,325,315,96.92,17034
17,35,216,207,95.83,17035
17,36,241,236,97.93,17036
17,37,315,306,97.14,17037
17,38,364,358,98.35,17038
17,39,330,323,97.88,17039
17,40,373,366,98.12,17040
17,41,291,286,98.28,17041
17,42,225,223,99.11,17042
17,43,253,245,96.84,17043
17,44,319,313,98.12,17044
17,45,233,225,96.57,17045
17,46,351,338,96.3,17046
17,47,221,217,98.19,17047
17,48,270,264,97.78,17048
17,49,311,306,98.39,17049
17,50,354,347,98.02,17050
17,51,372,361,97.04,17051
17,52,463,457,98.7,17052
17,53,337,331,98.22,17053
17,54,375,364,97.07,17054
17,55,306,296,96.73,17055
18,1,377,352,93.37,18001
18,2,337,309,91.69,18002
18,3,361,352,97.51,18003
18,4,496,471,94.96,18004
18,5,371,364,98.11,18005
18,6,169,163,96.45,18006
18,7,208,192,92.31,18007
18,8,325,293,90.15,18008
18,9,389,350,89.97,18009
18,10,540,505,93.52,18010
18,11,318,272,85.53,18011
18,12,317,297,93.69,18012
18,13,340,313,92.06,18013
18,14,490,463,94.49,18014
18,15,320,313,97.81,18015
18,16,397,367,92.44,18016
18,17,481,431,89.6,18017
18,18,474,459,96.84,18018
18,19,208,205,98.56,18019
18,20,388,378,97.42,18020
18,21,457,413,90.37,18021
18,22,414,395,95.41,18022
18,23,284,266,93.66,18023
18,24,395,382,96.71,18024
18,25,375,362,96.53,18025
18,26,490,480,97.96,18026
18,27,384,375,97.66,18027
18,28,309,307,99.35,18028
18,29,327,279,85.32,18029
18,30,458,448,97.82,18030
18,31,298,285,95.64,18031
18,32,441,432,97.96,18032
18,33,334,324,97.01,18033
18,34,457,420,91.9,18034
18,35,437,415,94.97,18035
18,36,190,173,91.05,18036
18,37,219,198,90.41,18037
18,38,427,418,97.89,18038
18,39,376,367,97.61,18039
18,40,438,408,93.15,18040
18,41,357,349,97.76,18041
18,42,356,346,97.19,18042
18,43,312,305,97.76,18043
18,44,448,439,97.99,18044
18,45,380,376,98.95,18045
18,46,326,321,98.47,18046
18,47,463,450,97.19,18047
18,48,196,192,97.96,18048
18,49,254,229,90.16,18049
18,50,312,305,97.76,18050
18,51,371,364,98.11,18051
18,52,319,312,97.81,18052
18,53,420,411,97.86,18053
18,54,460,442,96.09,18054
18,55,438,426,97.26,18055
18,56,348,339,97.41,18056
18,57,430,419,97.44,18057
