ward,precinct,total,RAYMOND G. WARDINGLEY,RAYMOND G. WARDINGLEY Percent,BOBBY L. RUSH,BOBBY L. RUSH Percent,precinct_id
5,22,356,2,0.56,354,99.44,05022
5,23,291,2,0.69,289,99.31,05023
5,24,260,25,9.62,235,90.38,05024
5,25,334,4,1.2,330,98.8,05025
5,26,222,6,2.7,216,97.3,05026
5,27,280,50,17.86,230,82.14,05027
5,28,412,8,1.94,404,98.06,05028
5,29,222,5,2.25,217,97.75,05029
5,30,362,67,18.51,295,81.49,05030
5,31,340,4,1.18,336,98.82,05031
5,32,492,5,1.02,487,98.98,05032
5,33,346,8,2.31,338,97.69,05033
5,34,259,5,1.93,254,98.07,05034
5,35,346,52,15.03,294,84.97,05035
5,36,395,4,1.01,391,98.99,05036
5,37,300,44,14.67,256,85.33,05037
5,38,344,47,13.66,297,86.34,05038
5,39,359,58,16.16,301,83.84,05039
5,40,320,4,1.25,316,98.75,05040
5,41,411,69,16.79,342,83.21,05041
5,42,304,4,1.32,300,98.68,05042
5,43,349,10,2.87,339,97.13,05043
5,44,292,6,2.05,286,97.95,05044
5,45,215,3,1.4,212,98.6,05045
5,46,462,58,12.55,404,87.45,05046
5,47,293,4,1.37,289,98.63,05047
5,48,287,20,6.97,267,93.03,05048
5,49,436,67,15.37,369,84.63,05049
5,50,248,3,1.21,245,98.79,05050
5,51,269,1,0.37,268,99.63,05051
5,52,224,2,0.89,222,99.11,05052
5,53,329,6,1.82,323,98.18,05053
5,54,207,3,1.45,204,98.55,05054
5,55,313,3,0.96,310,99.04,05055
5,56,254,6,2.36,248,97.64,05056
5,57,422,34,8.06,388,91.94,05057
5,58,259,3,1.16,256,98.84,05058
5,59,231,5,2.16,226,97.84,05059
6,1,396,7,1.77,389,98.23,06001
6,2,436,8,1.83,428,98.17,06002
6,3,377,2,0.53,375,99.47,06003
6,4,297,8,2.69,289,97.31,06004
6,5,279,2,0.72,277,99.28,06005
6,6,346,4,1.16,342,98.84,06006
6,7,321,8,2.49,313,97.51,06007
6,8,336,4,1.19,332,98.81,06008
6,9,450,3,0.67,447,99.33,06009
6,10,381,6,1.57,375,98.43,06010
6,11,344,2,0.58,342,99.42,06011
6,12,357,3,0.84,354,99.16,06012
6,13,349,4,1.15,345,98.85,06013
6,14,434,9,2.07,425,97.93,06014
6,15,339,6,1.77,333,98.23,06015
6,16,378,8,2.12,370,97.88,06016
6,17,391,2,0.51,389,99.49,06017
6,19,342,6,1.75,336,98.25,06019
6,20,82,0,0.0,82,100.0,06020
6,21,337,3,0.89,334,99.11,06021
6,22,371,4,1.08,367,98.92,06022
6,23,327,2,0.61,325,99.39,06023
6,24,353,6,1.7,347,98.3,06024
6,25,381,3,0.79,378,99.21,06025
6,26,388,2,0.52,386,99.48,06026
6,27,456,6,1.32,450,98.68,06027
6,28,461,8,1.74,453,98.26,06028
6,29,384,5,1.3,379,98.7,06029
6,30,397,3,0.76,394,99.24,06030
6,31,419,6,1.43,413,98.57,06031
6,32,408,5,1.23,403,98.77,06032
6,33,348,4,1.15,344,98.85,06033
6,34,332,3,0.9,329,99.1,06034
6,35,423,6,1.42,417,98.58,06035
6,36,232,1,0.43,231,99.57,06036
6,37,407,8,1.97,399,98.03,06037
6,38,454,9,1.98,445,98.02,06038
6,39,237,4,1.69,233,98.31,06039
6,40,276,3,1.09,273,98.91,06040
6,41,381,8,2.1,373,97.9,06041
6,42,278,2,0.72,276,99.28,06042
6,43,414,5,1.21,409,98.79,06043
6,44,347,9,2.59,338,97.41,06044
6,45,234,4,1.71,230,98.29,06045
6,46,303,5,1.65,298,98.35,06046
6,47,376,7,1.86,369,98.14,06047
6,48,379,3,0.79,376,99.21,06048
6,49,387,4,1.03,383,98.97,06049
6,50,360,5,1.39,355,98.61,06050
6,51,306,0,0.0,306,100.0,06051
6,52,330,6,1.82,324,98.18,06052
6,53,340,8,2.35,332,97.65,06053
6,54,327,2,0.61,325,99.39,06054
6,55,270,4,1.48,266,98.52,06055
6,56,275,3,1.09,272,98.91,06056
6,57,220,0,0.0,220,100.0,06057
6,58,340,3,0.88,337,99.12,06058
6,59,297,1,0.34,296,99.66,06059
6,60,238,1,0.42,237,99.58,06060
6,61,282,2,0.71,280,99.29,06061
6,62,377,4,1.06,373,98.94,06062
6,63,300,3,1.0,297,99.0,06063
6,64,389,5,1.29,384,98.71,06064
7,1,452,2,0.44,450,99.56,07001
7,9,373,8,2.14,365,97.86,07009
7,13,168,1,0.6,167,99.4,07013
7,22,356,4,1.12,352,98.88,07022
7,25,360,4,1.11,356,98.89,07025
7,30,449,11,2.45,438,97.55,07030
7,34,247,7,2.83,240,97.17,07034
7,36,613,9,1.47,604,98.53,07036
7,37,487,5,1.03,482,98.97,07037
7,38,441,7,1.59,434,98.41,07038
7,41,488,10,2.05,478,97.95,07041
7,43,457,5,1.09,452,98.91,07043
8,1,388,3,0.77,385,99.23,08001
8,2,258,5,1.94,253,98.06,08002
8,3,439,6,1.37,433,98.63,08003
8,4,353,7,1.98,346,98.02,08004
8,5,388,9,2.32,379,97.68,08005
8,6,380,6,1.58,374,98.42,08006
8,7,297,6,2.02,291,97.98,08007
8,8,385,4,1.04,381,98.96,08008
8,9,417,5,1.2,412,98.8,08009
8,10,408,7,1.72,401,98.28,08010
8,11,264,6,2.27,258,97.73,08011
8,12,352,12,3.41,340,96.59,08012
8,13,331,4,1.21,327,98.79,08013
8,14,437,4,0.92,433,99.08,08014
8,15,312,3,0.96,309,99.04,08015
8,16,370,6,1.62,364,98.38,08016
8,17,290,2,0.69,288,99.31,08017
8,18,266,3,1.13,263,98.87,08018
8,19,421,6,1.43,415,98.57,08019
8,20,284,3,1.06,281,98.94,08020
8,21,276,2,0.72,274,99.28,08021
8,22,318,4,1.26,314,98.74,08022
8,23,347,4,1.15,343,98.85,08023
8,24,326,2,0.61,324,99.39,08024
8,25,337,3,0.89,334,99.11,08025
8,26,280,5,1.79,275,98.21,08026
8,27,367,6,1.63,361,98.37,08027
8,28,293,3,1.02,290,98.98,08028
8,29,350,3,0.86,347,99.14,08029
8,30,348,3,0.86,345,99.14,08030
8,31,337,3,0.89,334,99.11,08031
8,32,568,8,1.41,560,98.59,08032
8,33,308,12,3.9,296,96.1,08033
8,34,432,4,0.93,428,99.07,08034
8,35,442,2,0.45,440,99.55,08035
8,36,360,4,1.11,356,98.89,08036
8,37,338,0,0.0,338,100.0,08037
8,38,360,4,1.11,356,98.89,08038
8,39,376,3,0.8,373,99.2,08039
8,40,403,3,0.74,400,99.26,08040
8,41,316,4,1.27,312,98.73,08041
8,42,323,5,1.55,318,98.45,08042
8,43,360,2,0.56,358,99.44,08043
8,44,376,5,1.33,371,98.67,08044
8,45,392,3,0.77,389,99.23,08045
8,46,314,2,0.64,312,99.36,08046
8,47,347,3,0.86,344,99.14,08047
8,48,374,3,0.8,371,99.2,08048
8,49,393,4,1.02,389,98.98,08049
8,50,363,2,0.55,361,99.45,08050
8,51,330,2,0.61,328,99.39,08051
8,52,357,5,1.4,352,98.6,08052
8,53,374,5,1.34,369,98.66,08053
8,54,386,12,3.11,374,96.89,08054
8,55,382,5,1.31,377,98.69,08055
8,56,351,4,1.14,347,98.86,08056
8,57,379,4,1.06,375,98.94,08057
8,58,382,3,0.79,379,99.21,08058
8,59,326,3,0.92,323,99.08,08059
8,60,462,9,1.95,453,98.05,08060
8,61,338,1,0.3,337,99.7,08061
8,62,443,6,1.35,437,98.65,08062
8,63,380,5,1.32,375,98.68,08063
8,64,241,3,1.24,238,98.76,08064
8,65,375,2,0.53,373,99.47,08065
8,66,496,6,1.21,490,98.79,08066
9,2,420,4,0.95,416,99.05,09002
9,10,363,5,1.38,358,98.62,09010
9,12,344,6,1.74,338,98.26,09012
9,13,439,9,2.05,430,97.95,09013
9,14,463,7,1.51,456,98.49,09014
9,17,324,4,1.23,320,98.77,09017
9,20,375,1,0.27,374,99.73,09020
9,21,259,2,0.77,257,99.23,09021
9,27,226,2,0.88,224,99.12,09027
9,35,367,1,0.27,366,99.73,09035
9,51,266,1,0.38,265,99.62,09051
9,52,359,4,1.11,355,98.89,09052
10,6,405,4,0.99,401,99.01,10006
10,40,0,0,0.0,0,0.0,10040
11,22,221,38,17.19,183,82.81,11022
11,27,86,17,19.77,69,80.23,11027
11,31,72,15,20.83,57,79.17,11031
11,33,283,3,1.06,280,98.94,11033
11,36,200,54,27.0,146,73.0,11036
11,54,67,2,2.99,65,97.01,11054
12,5,77,18,23.38,59,76.62,12005
12,10,125,34,27.2,91,72.8,12010
12,17,86,15,17.44,71,82.56,12017
12,24,85,27,31.76,58,68.24,12024
12,27,119,44,36.97,75,63.03,12027
14,5,288,38,13.19,250,86.81,14005
14,8,226,52,23.01,174,76.99,14008
14,10,140,18,12.86,122,87.14,14010
14,15,189,28,14.81,161,85.19,14015
14,18,168,50,29.76,118,70.24,14018
14,19,281,47,16.73,234,83.27,14019
14,23,183,42,22.95,141,77.05,14023
14,30,258,73,28.29,185,71.71,14030
14,31,220,33,15.0,187,85.0,14031
14,33,198,30,15.15,168,84.85,14033
14,36,286,69,24.13,217,75.87,14036
14,37,253,52,20.55,201,79.45,14037
14,41,205,49,23.9,156,76.1,14041
14,42,5,0,0.0,5,100.0,14042
14,48,245,26,10.61,219,89.39,14048
15,1,306,2,0.65,304,99.35,15001
15,2,349,3,0.86,346,99.14,15002
15,3,296,4,1.35,292,98.65,15003
15,4,401,4,1.0,397,99.0,15004
15,5,335,5,1.49,330,98.51,15005
15,8,315,14,4.44,301,95.56,15008
15,9,309,19,6.15,290,93.85,15009
15,10,411,16,3.89,395,96.11,15010
15,11,357,12,3.36,345,96.64,15011
15,14,157,17,10.83,140,89.17,15014
15,16,473,18,3.81,455,96.19,15016
15,17,317,6,1.89,311,98.11,15017
15,20,271,3,1.11,268,98.89,15020
15,23,240,2,0.83,238,99.17,15023
15,25,353,36,10.2,317,89.8,15025
15,26,329,3,0.91,326,99.09,15026
15,27,338,46,13.61,292,86.39,15027
15,28,514,30,5.84,484,94.16,15028
15,29,407,12,2.95,395,97.05,15029
15,30,299,10,3.34,289,96.66,15030
15,32,278,10,3.6,268,96.4,15032
15,33,331,5,1.51,326,98.49,15033
15,35,369,8,2.17,361,97.83,15035
15,36,300,3,1.0,297,99.0,15036
15,37,314,7,2.23,307,97.77,15037
15,38,159,9,5.66,150,94.34,15038
15,41,357,30,8.4,327,91.6,15041
15,42,260,2,0.77,258,99.23,15042
15,43,316,4,1.27,312,98.73,15043
15,48,269,10,3.72,259,96.28,15048
16,2,266,8,3.01,258,96.99,16002
16,3,300,4,1.33,296,98.67,16003
16,4,100,3,3.0,97,97.0,16004
16,5,303,4,1.32,299,98.68,16005
16,6,235,4,1.7,231,98.3,16006
16,7,217,7,3.23,210,96.77,16007
16,8,364,13,3.57,351,96.43,16008
16,9,412,7,1.7,405,98.3,16009
16,11,45,0,0.0,45,100.0,16011
16,12,296,9,3.04,287,96.96,16012
16,14,293,1,0.34,292,99.66,16014
16,15,319,3,0.94,316,99.06,16015
16,19,309,5,1.62,304,98.38,16019
16,20,291,3,1.03,288,98.97,16020
16,21,20,0,0.0,20,100.0,16021
16,22,246,7,2.85,239,97.15,16022
16,24,229,4,1.75,225,98.25,16024
16,25,175,3,1.71,172,98.29,16025
16,26,277,2,0.72,275,99.28,16026
16,27,234,5,2.14,229,97.86,16027
16,29,226,2,0.88,224,99.12,16029
16,30,349,8,2.29,341,97.71,16030
16,31,292,3,1.03,289,98.97,16031
16,32,0,0,0.0,0,0.0,16032
16,33,218,3,1.38,215,98.62,16033
16,34,254,4,1.57,250,98.43,16034
16,35,224,1,0.45,223,99.55,16035
16,36,270,3,1.11,267,98.89,16036
16,37,257,5,1.95,252,98.05,16037
16,38,440,6,1.36,434,98.64,16038
16,39,249,2,0.8,247,99.2,16039
16,40,323,0,0.0,323,100.0,16040
17,2,350,6,1.71,344,98.29,17002
17,15,419,6,1.43,413,98.57,17015
17,21,415,4,0.96,411,99.04,17021
17,25,237,2,0.84,235,99.16,17025
17,35,194,1,0.52,193,99.48,17035
17,38,350,2,0.57,348,99.43,17038
17,44,324,0,0.0,324,100.0,17044
17,48,279,3,1.08,276,98.92,17048
17,50,338,3,0.89,335,99.11,17050
17,53,327,4,1.22,323,98.78,17053
17,54,356,5,1.4,351,98.6,17054
18,4,470,36,7.66,434,92.34,18004
18,5,342,3,0.88,339,99.12,18005
18,8,299,48,16.05,251,83.95,18008
18,9,376,56,14.89,320,85.11,18009
18,12,305,37,12.13,268,87.87,18012
18,14,468,40,8.55,428,91.45,18014
18,16,372,40,10.75,332,89.25,18016
18,18,455,13,2.86,442,97.14,18018
18,22,385,27,7.01,358,92.99,18022
18,33,331,3,0.91,328,99.09,18033
18,34,444,43,9.68,401,90.32,18034
18,35,396,44,11.11,352,88.89,18035
18,37,210,32,15.24,178,84.76,18037
18,40,411,41,9.98,370,90.02,18040
18,54,443,20,4.51,423,95.49,18054
19,1,418,215,51.44,203,48.56,19001
19,2,357,99,27.73,258,72.27,19002
19,3,338,212,62.72,126,37.28,19003
19,4,370,219,59.19,151,40.81,19004
19,5,385,119,30.91,266,69.09,19005
19,6,405,240,59.26,165,40.74,19006
19,7,354,181,51.13,173,48.87,19007
19,8,318,172,54.09,146,45.91,19008
19,9,271,161,59.41,110,40.59,19009
19,10,450,153,34.0,297,66.0,19010
19,11,376,214,56.91,162,43.09,19011
19,12,363,227,62.53,136,37.47,19012
19,13,334,23,6.89,311,93.11,19013
19,14,281,157,55.87,124,44.13,19014
19,15,218,112,51.38,106,48.62,19015
19,16,435,247,56.78,188,43.22,19016
19,17,350,186,53.14,164,46.86,19017
19,18,451,183,40.58,268,59.42,19018
19,19,399,165,41.35,234,58.65,19019
19,20,338,70,20.71,268,79.29,19020
19,21,327,155,47.4,172,52.6,19021
19,22,409,181,44.25,228,55.75,19022
19,23,422,231,54.74,191,45.26,19023
19,24,309,192,62.14,117,37.86,19024
19,25,417,197,47.24,220,52.76,19025
19,26,360,179,49.72,181,50.28,19026
19,27,354,71,20.06,283,79.94,19027
19,28,487,39,8.01,448,91.99,19028
19,29,363,196,53.99,167,46.01,19029
19,30,365,212,58.08,153,41.92,19030
19,31,369,176,47.7,193,52.3,19031
19,32,415,212,51.08,203,48.92,19032
19,33,393,266,67.68,127,32.32,19033
19,34,346,162,46.82,184,53.18,19034
19,35,342,138,40.35,204,59.65,19035
19,36,434,82,18.89,352,81.11,19036
19,37,335,104,31.04,231,68.96,19037
19,38,377,77,20.42,300,79.58,19038
19,39,234,24,10.26,210,89.74,19039
19,40,392,139,35.46,253,64.54,19040
19,41,403,221,54.84,182,45.16,19041
19,42,323,85,26.32,238,73.68,19042
19,44,352,187,53.13,165,46.88,19044
19,45,425,209,49.18,216,50.82,19045
19,46,462,247,53.46,215,46.54,19046
19,47,259,82,31.66,177,68.34,19047
19,48,0,0,0.0,0,0.0,19048
19,49,416,69,16.59,347,83.41,19049
19,51,372,198,53.23,174,46.77,19051
19,52,298,162,54.36,136,45.64,19052
19,53,361,198,54.85,163,45.15,19053
19,54,329,190,57.75,139,42.25,19054
19,55,349,185,53.01,164,46.99,19055
19,56,447,155,34.68,292,65.32,19056
19,57,400,141,35.25,259,64.75,19057
19,58,388,244,62.89,144,37.11,19058
19,59,435,265,60.92,170,39.08,19059
19,61,426,206,48.36,220,51.64,19061
19,62,394,182,46.19,212,53.81,19062
19,63,256,78,30.47,178,69.53,19063
19,64,538,134,24.91,404,75.09,19064
19,65,329,116,35.26,213,64.74,19065
20,1,318,5,1.57,313,98.43,20001
20,2,276,3,1.09,273,98.91,20002
20,3,355,2,0.56,353,99.44,20003
20,5,284,2,0.7,282,99.3,20005
20,6,366,3,0.82,363,99.18,20006
20,7,256,4,1.56,252,98.44,20007
20,9,266,0,0.0,266,100.0,20009
20,10,418,2,0.48,416,99.52,20010
20,11,277,1,0.36,276,99.64,20011
20,12,284,3,1.06,281,98.94,20012
20,13,211,3,1.42,208,98.58,20013
20,14,478,11,2.3,467,97.7,20014
20,16,237,7,2.95,230,97.05,20016
20,17,341,5,1.47,336,98.53,20017
20,18,397,3,0.76,394,99.24,20018
20,19,297,3,1.01,294,98.99,20019
20,20,371,4,1.08,367,98.92,20020
20,22,311,7,2.25,304,97.75,20022
20,23,284,5,1.76,279,98.24,20023
20,24,387,3,0.78,384,99.22,20024
20,25,277,2,0.72,275,99.28,20025
20,26,436,4,0.92,432,99.08,20026
20,28,349,3,0.86,346,99.14,20028
20,29,306,8,2.61,298,97.39,20029
20,30,291,2,0.69,289,99.31,20030
20,32,512,11,2.15,501,97.85,20032
20,33,341,5,1.47,336,98.53,20033
20,34,498,31,6.22,467,93.78,20034
20,35,205,4,1.95,201,98.05,20035
20,36,359,2,0.56,357,99.44,20036
20,37,230,3,1.3,227,98.7,20037
20,38,394,3,0.76,391,99.24,20038
20,39,303,2,0.66,301,99.34,20039
20,40,240,1,0.42,239,99.58,20040
20,41,86,0,0.0,86,100.0,20041
20,42,138,1,0.72,137,99.28,20042
20,43,429,5,1.17,424,98.83,20043
20,44,373,4,1.07,369,98.93,20044
20,45,107,2,1.87,105,98.13,20045
20,46,202,2,0.99,200,99.01,20046
20,47,186,4,2.15,182,97.85,20047
20,49,221,2,0.9,219,99.1,20049
20,50,270,0,0.0,270,100.0,20050
20,51,234,3,1.28,231,98.72,20051
20,52,122,0,0.0,122,100.0,20052
21,2,275,7,2.55,268,97.45,21002
21,5,322,4,1.24,318,98.76,21005
21,11,402,5,1.24,397,98.76,21011
21,12,371,4,1.08,367,98.92,21012
21,13,195,1,0.51,194,99.49,21013
21,17,151,1,0.66,150,99.34,21017
21,20,97,5,5.15,92,94.85,21020
21,23,284,7,2.46,277,97.54,21023
21,24,371,3,0.81,368,99.19,21024
21,25,271,2,0.74,269,99.26,21025
21,26,253,1,0.4,252,99.6,21026
21,27,384,3,0.78,381,99.22,21027
21,31,438,5,1.14,433,98.86,21031
21,32,175,5,2.86,170,97.14,21032
21,37,287,6,2.09,281,97.91,21037
21,42,352,1,0.28,351,99.72,21042
21,43,357,4,1.12,353,98.88,21043
21,46,308,2,0.65,306,99.35,21046
21,47,404,5,1.24,399,98.76,21047
21,48,455,3,0.66,452,99.34,21048
21,53,367,2,0.54,365,99.46,21053
21,55,385,6,1.56,379,98.44,21055
21,58,257,4,1.56,253,98.44,21058
21,59,455,11,2.42,444,97.58,21059
21,65,325,8,2.46,317,97.54,21065
21,70,240,1,0.42,239,99.58,21070
34,25,242,1,0.41,241,99.59,34025
34,46,249,0,0.0,249,100.0,34046
