ward,precinct,total,LUIS V. GUTIERREZ,LUIS V. GUTIERREZ Percent,STEPHANIE SAILOR,STEPHANIE SAILOR Percent,precinct_id
14,29,277,259,93.5,18,6.5,14029
14,32,320,294,91.88,26,8.13,14032
14,38,223,209,93.72,14,6.28,14038
14,42,219,208,94.98,11,5.02,14042
14,46,311,297,95.5,14,4.5,14046
15,6,270,253,93.7,17,6.3,15006
15,22,507,487,96.06,20,3.94,15022
15,24,396,376,94.95,20,5.05,15024
15,38,109,107,98.17,2,1.83,15038
16,1,192,181,94.27,11,5.73,16001
16,2,10,10,100.0,0,0.0,16002
16,11,277,272,98.19,5,1.81,16011
16,13,242,224,92.56,18,7.44,16013
16,21,195,182,93.33,13,6.67,16021
16,23,278,257,92.45,21,7.55,16023
16,32,90,87,96.67,3,3.33,16032
16,41,169,163,96.45,6,3.55,16041
16,42,313,295,94.25,18,5.75,16042
22,2,274,255,93.07,19,6.93,22002
22,3,297,282,94.95,15,5.05,22003
22,4,270,262,97.04,8,2.96,22004
22,5,379,367,96.83,12,3.17,22005
22,6,318,305,95.91,13,4.09,22006
22,9,313,300,95.85,13,4.15,22009
22,10,387,376,97.16,11,2.84,22010
22,11,272,265,97.43,7,2.57,22011
22,13,240,228,95.0,12,5.0,22013
22,14,173,168,97.11,5,2.89,22014
22,16,287,273,95.12,14,4.88,22016
22,17,321,304,94.7,17,5.3,22017
22,18,227,218,96.04,9,3.96,22018
22,19,209,207,99.04,2,0.96,22019
22,23,308,297,96.43,11,3.57,22023
22,24,289,279,96.54,10,3.46,22024
22,25,294,278,94.56,16,5.44,22025
22,26,196,185,94.39,11,5.61,22026
22,27,334,316,94.61,18,5.39,22027
22,29,175,166,94.86,9,5.14,22029
24,53,94,90,95.74,4,4.26,24053
25,1,824,746,90.53,78,9.47,25001
25,2,513,482,93.96,31,6.04,25002
25,4,463,403,87.04,60,12.96,25004
25,5,316,265,83.86,51,16.14,25005
25,6,388,329,84.79,59,15.21,25006
25,7,366,351,95.9,15,4.1,25007
25,8,301,281,93.36,20,6.64,25008
25,9,426,390,91.55,36,8.45,25009
25,10,0,0,0.0,0,0.0,25010
25,11,376,354,94.15,22,5.85,25011
25,12,204,182,89.22,22,10.78,25012
25,13,361,341,94.46,20,5.54,25013
25,15,321,298,92.83,23,7.17,25015
25,17,345,325,94.2,20,5.8,25017
25,18,46,42,91.3,4,8.7,25018
25,19,424,402,94.81,22,5.19,25019
25,20,341,320,93.84,21,6.16,25020
25,22,280,263,93.93,17,6.07,25022
25,23,373,351,94.1,22,5.9,25023
26,1,308,284,92.21,24,7.79,26001
26,2,258,245,94.96,13,5.04,26002
26,3,252,236,93.65,16,6.35,26003
26,4,334,304,91.02,30,8.98,26004
26,5,318,289,90.88,29,9.12,26005
26,6,418,360,86.12,58,13.88,26006
26,7,170,147,86.47,23,13.53,26007
26,8,695,559,80.43,136,19.57,26008
26,9,319,294,92.16,25,7.84,26009
26,10,326,303,92.94,23,7.06,26010
26,11,317,267,84.23,50,15.77,26011
26,12,385,350,90.91,35,9.09,26012
26,13,302,242,80.13,60,19.87,26013
26,14,390,348,89.23,42,10.77,26014
26,15,238,223,93.7,15,6.3,26015
26,16,227,213,93.83,14,6.17,26016
26,17,287,258,89.9,29,10.1,26017
26,18,380,350,92.11,30,7.89,26018
26,19,361,297,82.27,64,17.73,26019
26,20,275,235,85.45,40,14.55,26020
26,21,294,263,89.46,31,10.54,26021
26,22,300,258,86.0,42,14.0,26022
26,23,359,301,83.84,58,16.16,26023
26,24,437,365,83.52,72,16.48,26024
26,25,352,294,83.52,58,16.48,26025
26,26,204,183,89.71,21,10.29,26026
26,27,181,171,94.48,10,5.52,26027
26,28,427,366,85.71,61,14.29,26028
26,29,362,336,92.82,26,7.18,26029
26,30,280,232,82.86,48,17.14,26030
26,31,89,74,83.15,15,16.85,26031
26,32,383,338,88.25,45,11.75,26032
26,33,314,245,78.03,69,21.97,26033
26,34,323,269,83.28,54,16.72,26034
26,35,312,282,90.38,30,9.62,26035
26,36,382,332,86.91,50,13.09,26036
26,37,288,241,83.68,47,16.32,26037
27,4,1,1,100.0,0,0.0,27004
27,10,377,362,96.02,15,3.98,27010
27,30,12,11,91.67,1,8.33,27030
27,32,193,153,79.27,40,20.73,27032
27,35,229,189,82.53,40,17.47,27035
27,50,80,69,86.25,11,13.75,27050
27,54,108,80,74.07,28,25.93,27054
27,55,121,95,78.51,26,21.49,27055
28,14,143,135,94.41,8,5.59,28014
28,53,79,77,97.47,2,2.53,28053
29,2,137,119,86.86,18,13.14,29002
29,7,258,235,91.09,23,8.91,29007
29,17,253,227,89.72,26,10.28,29017
29,30,36,33,91.67,3,8.33,29030
29,39,220,196,89.09,24,10.91,29039
29,48,75,70,93.33,5,6.67,29048
29,52,283,259,91.52,24,8.48,29052
29,55,73,72,98.63,1,1.37,29055
30,4,2,1,50.0,1,50.0,30004
30,17,233,211,90.56,22,9.44,30017
30,20,145,125,86.21,20,13.79,30020
30,23,33,30,90.91,3,9.09,30023
30,36,26,21,80.77,5,19.23,30036
30,41,0,0,0.0,0,0.0,30041
31,1,238,225,94.54,13,5.46,31001
31,2,231,200,86.58,31,13.42,31002
31,3,290,268,92.41,22,7.59,31003
31,4,359,318,88.58,41,11.42,31004
31,5,201,177,88.06,24,11.94,31005
31,7,248,220,88.71,28,11.29,31007
31,8,103,92,89.32,11,10.68,31008
31,9,285,261,91.58,24,8.42,31009
31,10,221,205,92.76,16,7.24,31010
31,11,172,151,87.79,21,12.21,31011
31,12,256,234,91.41,22,8.59,31012
31,13,207,178,85.99,29,14.01,31013
31,14,335,300,89.55,35,10.45,31014
31,15,270,258,95.56,12,4.44,31015
31,16,222,209,94.14,13,5.86,31016
31,17,237,218,91.98,19,8.02,31017
31,20,210,196,93.33,14,6.67,31020
31,21,200,183,91.5,17,8.5,31021
31,22,223,209,93.72,14,6.28,31022
31,23,236,204,86.44,32,13.56,31023
31,24,311,280,90.03,31,9.97,31024
31,25,265,252,95.09,13,4.91,31025
31,26,200,187,93.5,13,6.5,31026
31,27,215,188,87.44,27,12.56,31027
31,28,185,171,92.43,14,7.57,31028
31,29,164,150,91.46,14,8.54,31029
31,30,211,189,89.57,22,10.43,31030
31,31,59,55,93.22,4,6.78,31031
31,33,313,284,90.73,29,9.27,31033
31,34,228,219,96.05,9,3.95,31034
31,35,239,225,94.14,14,5.86,31035
31,36,313,295,94.25,18,5.75,31036
31,37,301,282,93.69,19,6.31,31037
31,38,228,214,93.86,14,6.14,31038
31,39,216,201,93.06,15,6.94,31039
31,40,227,221,97.36,6,2.64,31040
31,41,223,217,97.31,6,2.69,31041
31,42,187,175,93.58,12,6.42,31042
31,43,195,182,93.33,13,6.67,31043
31,44,218,198,90.83,20,9.17,31044
31,45,247,234,94.74,13,5.26,31045
32,2,279,225,80.65,54,19.35,32002
32,3,355,286,80.56,69,19.44,32003
32,4,590,469,79.49,121,20.51,32004
32,5,295,227,76.95,68,23.05,32005
32,11,428,350,81.78,78,18.22,32011
32,12,245,199,81.22,46,18.78,32012
32,14,220,179,81.36,41,18.64,32014
32,16,378,320,84.66,58,15.34,32016
32,17,341,265,77.71,76,22.29,32017
32,20,338,266,78.7,72,21.3,32020
32,24,347,283,81.56,64,18.44,32024
32,25,50,43,86.0,7,14.0,32025
32,28,281,222,79.0,59,21.0,32028
32,29,374,302,80.75,72,19.25,32029
32,30,318,250,78.62,68,21.38,32030
32,31,393,326,82.95,67,17.05,32031
32,33,265,214,80.75,51,19.25,32033
32,34,485,376,77.53,109,22.47,32034
32,35,511,435,85.13,76,14.87,32035
32,36,614,495,80.62,119,19.38,32036
32,37,0,0,0.0,0,0.0,32037
32,45,473,391,82.66,82,17.34,32045
32,47,228,176,77.19,52,22.81,32047
33,1,26,22,84.62,4,15.38,33001
33,2,394,357,90.61,37,9.39,33002
33,3,297,263,88.55,34,11.45,33003
33,4,364,321,88.19,43,11.81,33004
33,5,0,0,0.0,0,0.0,33005
33,6,289,252,87.2,37,12.8,33006
33,13,389,345,88.69,44,11.31,33013
33,14,151,138,91.39,13,8.61,33014
33,15,98,89,90.82,9,9.18,33015
33,19,247,219,88.66,28,11.34,33019
33,20,407,363,89.19,44,10.81,33020
33,21,323,287,88.85,36,11.15,33021
33,22,152,135,88.82,17,11.18,33022
33,26,278,257,92.45,21,7.55,33026
33,31,323,295,91.33,28,8.67,33031
33,33,366,329,89.89,37,10.11,33033
33,34,349,311,89.11,38,10.89,33034
33,35,443,386,87.13,57,12.87,33035
33,36,197,169,85.79,28,14.21,33036
35,1,277,232,83.75,45,16.25,35001
35,2,325,286,88.0,39,12.0,35002
35,3,257,233,90.66,24,9.34,35003
35,4,179,156,87.15,23,12.85,35004
35,5,287,256,89.2,31,10.8,35005
35,7,391,332,84.91,59,15.09,35007
35,8,113,87,76.99,26,23.01,35008
35,9,312,280,89.74,32,10.26,35009
35,10,308,272,88.31,36,11.69,35010
35,12,337,305,90.5,32,9.5,35012
35,13,458,375,81.88,83,18.12,35013
35,14,386,339,87.82,47,12.18,35014
35,15,348,302,86.78,46,13.22,35015
35,16,320,269,84.06,51,15.94,35016
35,17,351,311,88.6,40,11.4,35017
35,18,352,307,87.22,45,12.78,35018
35,19,358,299,83.52,59,16.48,35019
35,20,137,119,86.86,18,13.14,35020
35,21,453,405,89.4,48,10.6,35021
35,22,265,249,93.96,16,6.04,35022
35,23,274,252,91.97,22,8.03,35023
35,24,325,305,93.85,20,6.15,35024
35,25,340,271,79.71,69,20.29,35025
35,26,257,239,93.0,18,7.0,35026
35,27,409,337,82.4,72,17.6,35027
35,28,329,298,90.58,31,9.42,35028
35,29,344,301,87.5,43,12.5,35029
35,30,538,455,84.57,83,15.43,35030
35,31,388,342,88.14,46,11.86,35031
35,32,187,172,91.98,15,8.02,35032
35,33,282,239,84.75,43,15.25,35033
35,34,408,358,87.75,50,12.25,35034
35,35,205,174,84.88,31,15.12,35035
36,4,126,119,94.44,7,5.56,36004
36,23,0,0,0.0,0,0.0,36023
36,45,275,227,82.55,48,17.45,36045
37,2,200,188,94.0,12,6.0,37002
37,10,2,2,100.0,0,0.0,37010
37,11,68,67,98.53,1,1.47,37011
37,35,56,53,94.64,3,5.36,37035
37,42,10,10,100.0,0,0.0,37042
39,25,113,102,90.27,11,9.73,39025
39,27,223,194,87.0,29,13.0,39027
39,29,191,177,92.67,14,7.33,39029
