ward,precinct,total,JOHN JOSEPH COYNE,JOHN JOSEPH COYNE Percent,SHELVIN LOUISE MARIE HALL,SHELVIN LOUISE MARIE HALL Percent,precinct_id
6,27,450,13,2.89,437,97.11,06027
6,28,464,5,1.08,459,98.92,06028
6,29,385,7,1.82,378,98.18,06029
6,30,412,4,0.97,408,99.03,06030
6,31,427,4,0.94,423,99.06,06031
6,32,403,5,1.24,398,98.76,06032
6,33,364,8,2.2,356,97.8,06033
6,34,354,6,1.69,348,98.31,06034
6,35,435,6,1.38,429,98.62,06035
6,36,233,6,2.58,227,97.42,06036
6,37,398,5,1.26,393,98.74,06037
6,38,450,12,2.67,438,97.33,06038
6,39,218,9,4.13,209,95.87,06039
6,40,262,2,0.76,260,99.24,06040
6,41,384,6,1.56,378,98.44,06041
6,42,273,3,1.1,270,98.9,06042
6,43,393,9,2.29,384,97.71,06043
6,44,360,6,1.67,354,98.33,06044
6,45,227,4,1.76,223,98.24,06045
6,46,295,3,1.02,292,98.98,06046
6,47,374,6,1.6,368,98.4,06047
6,48,366,6,1.64,360,98.36,06048
6,49,363,5,1.38,358,98.62,06049
6,50,363,5,1.38,358,98.62,06050
6,51,305,5,1.64,300,98.36,06051
6,52,321,5,1.56,316,98.44,06052
6,53,336,9,2.68,327,97.32,06053
6,54,312,0,0.0,312,100.0,06054
6,55,273,3,1.1,270,98.9,06055
6,56,271,2,0.74,269,99.26,06056
6,57,224,2,0.89,222,99.11,06057
6,58,327,5,1.53,322,98.47,06058
6,59,304,3,0.99,301,99.01,06059
6,60,241,2,0.83,239,99.17,06060
6,61,284,5,1.76,279,98.24,06061
6,62,376,7,1.86,369,98.14,06062
6,63,285,3,1.05,282,98.95,06063
6,64,370,8,2.16,362,97.84,06064
7,1,431,6,1.39,425,98.61,07001
7,2,461,14,3.04,447,96.96,07002
7,3,350,11,3.14,339,96.86,07003
7,4,376,15,3.99,361,96.01,07004
7,5,348,14,4.02,334,95.98,07005
7,6,389,9,2.31,380,97.69,07006
7,7,396,22,5.56,374,94.44,07007
7,8,413,29,7.02,384,92.98,07008
7,9,362,10,2.76,352,97.24,07009
7,10,563,13,2.31,550,97.69,07010
7,11,345,6,1.74,339,98.26,07011
7,12,418,9,2.15,409,97.85,07012
7,13,177,7,3.95,170,96.05,07013
7,14,401,16,3.99,385,96.01,07014
7,15,560,9,1.61,551,98.39,07015
7,16,395,3,0.76,392,99.24,07016
7,17,365,5,1.37,360,98.63,07017
7,18,435,9,2.07,426,97.93,07018
7,19,373,13,3.49,360,96.51,07019
7,20,220,6,2.73,214,97.27,07020
7,21,377,12,3.18,365,96.82,07021
7,22,340,5,1.47,335,98.53,07022
7,23,438,10,2.28,428,97.72,07023
7,24,431,4,0.93,427,99.07,07024
7,25,360,11,3.06,349,96.94,07025
7,26,391,12,3.07,379,96.93,07026
7,27,393,6,1.53,387,98.47,07027
7,28,376,10,2.66,366,97.34,07028
7,29,172,2,1.16,170,98.84,07029
7,30,422,7,1.66,415,98.34,07030
7,31,395,10,2.53,385,97.47,07031
7,32,453,25,5.52,428,94.48,07032
7,33,388,8,2.06,380,97.94,07033
7,34,270,7,2.59,263,97.41,07034
7,35,462,15,3.25,447,96.75,07035
7,36,591,9,1.52,582,98.48,07036
7,37,456,5,1.1,451,98.9,07037
7,38,433,11,2.54,422,97.46,07038
7,39,423,6,1.42,417,98.58,07039
7,40,304,7,2.3,297,97.7,07040
7,41,471,11,2.34,460,97.66,07041
7,42,487,10,2.05,477,97.95,07042
7,43,433,6,1.39,427,98.61,07043
7,44,484,15,3.1,469,96.9,07044
7,45,447,10,2.24,437,97.76,07045
7,46,101,3,2.97,98,97.03,07046
8,1,377,4,1.06,373,98.94,08001
8,2,246,5,2.03,241,97.97,08002
8,3,424,3,0.71,421,99.29,08003
8,4,352,7,1.99,345,98.01,08004
8,5,391,8,2.05,383,97.95,08005
8,6,371,5,1.35,366,98.65,08006
8,7,311,4,1.29,307,98.71,08007
8,8,366,3,0.82,363,99.18,08008
8,9,406,3,0.74,403,99.26,08009
8,10,397,6,1.51,391,98.49,08010
8,11,278,5,1.8,273,98.2,08011
8,12,339,10,2.95,329,97.05,08012
8,13,337,5,1.48,332,98.52,08013
8,14,427,7,1.64,420,98.36,08014
8,15,303,7,2.31,296,97.69,08015
8,16,370,7,1.89,363,98.11,08016
8,17,276,2,0.72,274,99.28,08017
8,18,271,2,0.74,269,99.26,08018
8,19,410,6,1.46,404,98.54,08019
8,20,292,5,1.71,287,98.29,08020
8,21,278,7,2.52,271,97.48,08021
8,22,316,8,2.53,308,97.47,08022
8,23,343,4,1.17,339,98.83,08023
8,24,352,4,1.14,348,98.86,08024
8,25,352,9,2.56,343,97.44,08025
8,26,266,10,3.76,256,96.24,08026
8,27,369,8,2.17,361,97.83,08027
8,28,288,3,1.04,285,98.96,08028
8,29,335,5,1.49,330,98.51,08029
8,30,332,5,1.51,327,98.49,08030
8,31,347,4,1.15,343,98.85,08031
8,32,533,8,1.5,525,98.5,08032
8,33,303,10,3.3,293,96.7,08033
8,34,411,9,2.19,402,97.81,08034
8,35,430,9,2.09,421,97.91,08035
8,36,370,4,1.08,366,98.92,08036
8,37,327,8,2.45,319,97.55,08037
8,38,360,5,1.39,355,98.61,08038
8,39,364,5,1.37,359,98.63,08039
8,40,409,6,1.47,403,98.53,08040
8,41,323,3,0.93,320,99.07,08041
8,42,330,9,2.73,321,97.27,08042
8,43,346,6,1.73,340,98.27,08043
8,44,368,6,1.63,362,98.37,08044
8,45,397,7,1.76,390,98.24,08045
8,46,299,8,2.68,291,97.32,08046
8,47,334,7,2.1,327,97.9,08047
8,48,359,14,3.9,345,96.1,08048
8,49,389,7,1.8,382,98.2,08049
8,50,359,9,2.51,350,97.49,08050
8,51,325,7,2.15,318,97.85,08051
8,52,342,7,2.05,335,97.95,08052
8,53,373,12,3.22,361,96.78,08053
8,54,393,14,3.56,379,96.44,08054
8,55,392,5,1.28,387,98.72,08055
8,56,359,7,1.95,352,98.05,08056
8,57,366,8,2.19,358,97.81,08057
8,58,368,7,1.9,361,98.1,08058
8,59,350,4,1.14,346,98.86,08059
8,60,454,15,3.3,439,96.7,08060
8,61,306,4,1.31,302,98.69,08061
8,62,440,9,2.05,431,97.95,08062
8,63,379,6,1.58,373,98.42,08063
8,64,233,5,2.15,228,97.85,08064
8,65,376,4,1.06,372,98.94,08065
8,66,491,9,1.83,482,98.17,08066
9,1,365,3,0.82,362,99.18,09001
9,2,406,5,1.23,401,98.77,09002
9,3,300,5,1.67,295,98.33,09003
9,4,396,11,2.78,385,97.22,09004
9,5,364,5,1.37,359,98.63,09005
9,6,291,2,0.69,289,99.31,09006
9,7,335,6,1.79,329,98.21,09007
9,8,278,8,2.88,270,97.12,09008
9,9,352,5,1.42,347,98.58,09009
9,10,363,9,2.48,354,97.52,09010
9,11,284,6,2.11,278,97.89,09011
9,12,346,7,2.02,339,97.98,09012
9,13,445,10,2.25,435,97.75,09013
9,14,440,4,0.91,436,99.09,09014
9,15,170,6,3.53,164,96.47,09015
9,16,368,3,0.82,365,99.18,09016
9,17,345,5,1.45,340,98.55,09017
9,18,315,8,2.54,307,97.46,09018
9,19,374,6,1.6,368,98.4,09019
9,20,370,2,0.54,368,99.46,09020
9,21,253,6,2.37,247,97.63,09021
9,22,396,6,1.52,390,98.48,09022
9,23,258,5,1.94,253,98.06,09023
9,24,232,1,0.43,231,99.57,09024
9,25,237,14,5.91,223,94.09,09025
9,26,246,5,2.03,241,97.97,09026
9,27,229,2,0.87,227,99.13,09027
9,28,329,14,4.26,315,95.74,09028
9,29,354,5,1.41,349,98.59,09029
9,30,397,9,2.27,388,97.73,09030
9,31,364,10,2.75,354,97.25,09031
9,32,396,3,0.76,393,99.24,09032
9,33,251,2,0.8,249,99.2,09033
9,34,394,7,1.78,387,98.22,09034
9,35,345,7,2.03,338,97.97,09035
9,36,223,3,1.35,220,98.65,09036
9,37,401,88,21.95,313,78.05,09037
9,38,398,8,2.01,390,97.99,09038
9,39,322,2,0.62,320,99.38,09039
9,40,427,5,1.17,422,98.83,09040
9,41,454,9,1.98,445,98.02,09041
9,42,418,7,1.67,411,98.33,09042
9,43,324,3,0.93,321,99.07,09043
9,44,365,7,1.92,358,98.08,09044
9,45,467,10,2.14,457,97.86,09045
9,46,335,1,0.3,334,99.7,09046
9,47,258,8,3.1,250,96.9,09047
9,48,362,7,1.93,355,98.07,09048
9,49,196,1,0.51,195,99.49,09049
9,50,426,7,1.64,419,98.36,09050
9,51,274,2,0.73,272,99.27,09051
9,52,359,4,1.11,355,98.89,09052
10,1,237,7,2.95,230,97.05,10001
10,2,201,58,28.86,143,71.14,10002
10,3,290,98,33.79,192,66.21,10003
10,4,341,28,8.21,313,91.79,10004
10,5,205,50,24.39,155,75.61,10005
10,6,407,7,1.72,400,98.28,10006
10,7,82,5,6.1,77,93.9,10007
10,8,268,78,29.1,190,70.9,10008
10,9,284,114,40.14,170,59.86,10009
10,10,330,11,3.33,319,96.67,10010
10,11,307,76,24.76,231,75.24,10011
10,12,277,68,24.55,209,75.45,10012
10,13,339,69,20.35,270,79.65,10013
10,14,56,14,25.0,42,75.0,10014
10,15,152,38,25.0,114,75.0,10015
10,16,263,91,34.6,172,65.4,10016
10,17,225,66,29.33,159,70.67,10017
10,18,297,20,6.73,277,93.27,10018
10,19,435,137,31.49,298,68.51,10019
10,20,493,163,33.06,330,66.94,10020
10,21,214,68,31.78,146,68.22,10021
10,22,102,24,23.53,78,76.47,10022
10,23,311,37,11.9,274,88.1,10023
10,24,264,107,40.53,157,59.47,10024
10,25,390,28,7.18,362,92.82,10025
10,26,257,58,22.57,199,77.43,10026
10,27,319,94,29.47,225,70.53,10027
10,28,300,14,4.67,286,95.33,10028
10,29,357,6,1.68,351,98.32,10029
10,30,297,51,17.17,246,82.83,10030
10,31,318,72,22.64,246,77.36,10031
10,32,300,82,27.33,218,72.67,10032
10,33,285,52,18.25,233,81.75,10033
10,34,290,31,10.69,259,89.31,10034
10,35,301,54,17.94,247,82.06,10035
10,36,297,19,6.4,278,93.6,10036
10,37,293,15,5.12,278,94.88,10037
10,38,389,109,28.02,280,71.98,10038
10,39,290,54,18.62,236,81.38,10039
10,40,315,22,6.98,293,93.02,10040
10,41,461,156,33.84,305,66.16,10041
10,42,291,100,34.36,191,65.64,10042
10,43,320,18,5.63,302,94.38,10043
10,44,304,53,17.43,251,82.57,10044
10,45,293,55,18.77,238,81.23,10045
10,46,274,52,18.98,222,81.02,10046
11,1,246,57,23.17,189,76.83,11001
11,2,252,39,15.48,213,84.52,11002
11,3,331,68,20.54,263,79.46,11003
11,4,339,70,20.65,269,79.35,11004
11,5,251,41,16.33,210,83.67,11005
11,6,377,64,16.98,313,83.02,11006
11,7,282,45,15.96,237,84.04,11007
11,8,294,53,18.03,241,81.97,11008
11,9,264,36,13.64,228,86.36,11009
11,10,243,47,19.34,196,80.66,11010
11,11,320,54,16.88,266,83.13,11011
11,12,309,47,15.21,262,84.79,11012
11,13,306,51,16.67,255,83.33,11013
11,14,154,36,23.38,118,76.62,11014
11,15,236,36,15.25,200,84.75,11015
11,16,323,56,17.34,267,82.66,11016
11,17,421,85,20.19,336,79.81,11017
11,18,213,40,18.78,173,81.22,11018
11,19,285,55,19.3,230,80.7,11019
11,20,374,35,9.36,339,90.64,11020
11,21,404,42,10.4,362,89.6,11021
11,22,214,40,18.69,174,81.31,11022
11,23,255,42,16.47,213,83.53,11023
11,24,388,32,8.25,356,91.75,11024
11,25,219,30,13.7,189,86.3,11025
11,26,390,54,13.85,336,86.15,11026
11,27,89,15,16.85,74,83.15,11027
11,28,66,6,9.09,60,90.91,11028
11,29,341,49,14.37,292,85.63,11029
11,30,268,48,17.91,220,82.09,11030
11,31,72,8,11.11,64,88.89,11031
11,32,231,24,10.39,207,89.61,11032
11,33,361,1,0.28,360,99.72,11033
11,34,179,21,11.73,158,88.27,11034
11,35,306,33,10.78,273,89.22,11035
11,36,196,47,23.98,149,76.02,11036
11,37,487,71,14.58,416,85.42,11037
11,38,393,59,15.01,334,84.99,11038
11,39,359,43,11.98,316,88.02,11039
11,40,311,39,12.54,272,87.46,11040
11,41,251,36,14.34,215,85.66,11041
11,42,183,19,10.38,164,89.62,11042
11,43,321,55,17.13,266,82.87,11043
11,44,299,69,23.08,230,76.92,11044
11,45,234,42,17.95,192,82.05,11045
11,46,193,11,5.7,182,94.3,11046
11,47,271,37,13.65,234,86.35,11047
11,48,160,28,17.5,132,82.5,11048
11,49,219,25,11.42,194,88.58,11049
11,50,153,15,9.8,138,90.2,11050
11,51,288,42,14.58,246,85.42,11051
11,52,288,51,17.71,237,82.29,11052
11,53,243,35,14.4,208,85.6,11053
11,54,96,3,3.13,93,96.88,11054
12,1,164,26,15.85,138,84.15,12001
12,2,160,23,14.38,137,85.63,12002
12,3,142,18,12.68,124,87.32,12003
12,4,169,26,15.38,143,84.62,12004
12,5,79,13,16.46,66,83.54,12005
12,6,183,25,13.66,158,86.34,12006
12,7,168,23,13.69,145,86.31,12007
12,8,177,33,18.64,144,81.36,12008
12,9,151,30,19.87,121,80.13,12009
12,10,135,30,22.22,105,77.78,12010
12,11,170,27,15.88,143,84.12,12011
12,12,153,43,28.1,110,71.9,12012
12,13,128,27,21.09,101,78.91,12013
12,14,225,37,16.44,188,83.56,12014
12,15,223,24,10.76,199,89.24,12015
12,16,162,27,16.67,135,83.33,12016
12,17,90,18,20.0,72,80.0,12017
12,18,155,17,10.97,138,89.03,12018
12,19,180,21,11.67,159,88.33,12019
12,20,211,19,9.0,192,91.0,12020
12,21,197,38,19.29,159,80.71,12021
12,22,203,21,10.34,182,89.66,12022
12,23,137,23,16.79,114,83.21,12023
12,24,86,19,22.09,67,77.91,12024
12,25,201,33,16.42,168,83.58,12025
12,26,148,18,12.16,130,87.84,12026
12,27,114,35,30.7,79,69.3,12027
12,28,148,25,16.89,123,83.11,12028
12,29,290,67,23.1,223,76.9,12029
12,30,213,50,23.47,163,76.53,12030
13,1,277,92,33.21,185,66.79,13001
13,2,230,58,25.22,172,74.78,13002
13,3,337,96,28.49,241,71.51,13003
13,4,350,85,24.29,265,75.71,13004
13,5,283,57,20.14,226,79.86,13005
13,6,281,74,26.33,207,73.67,13006
13,7,342,63,18.42,279,81.58,13007
13,8,295,109,36.95,186,63.05,13008
13,9,320,59,18.44,261,81.56,13009
13,10,278,83,29.86,195,70.14,13010
13,11,316,53,16.77,263,83.23,13011
13,12,346,82,23.7,264,76.3,13012
13,13,382,40,10.47,342,89.53,13013
13,14,233,59,25.32,174,74.68,13014
13,15,342,71,20.76,271,79.24,13015
13,16,282,60,21.28,222,78.72,13016
13,17,219,53,24.2,166,75.8,13017
13,18,284,52,18.31,232,81.69,13018
13,19,261,42,16.09,219,83.91,13019
13,20,300,58,19.33,242,80.67,13020
13,21,254,70,27.56,184,72.44,13021
13,22,349,71,20.34,278,79.66,13022
13,23,300,59,19.67,241,80.33,13023
13,24,376,122,32.45,254,67.55,13024
13,25,269,67,24.91,202,75.09,13025
13,26,266,39,14.66,227,85.34,13026
13,27,318,73,22.96,245,77.04,13027
13,28,253,55,21.74,198,78.26,13028
13,29,321,83,25.86,238,74.14,13029
13,30,340,63,18.53,277,81.47,13030
13,31,306,50,16.34,256,83.66,13031
13,32,273,38,13.92,235,86.08,13032
13,33,319,69,21.63,250,78.37,13033
13,34,296,70,23.65,226,76.35,13034
13,35,356,84,23.6,272,76.4,13035
13,36,247,57,23.08,190,76.92,13036
13,37,235,43,18.3,192,81.7,13037
13,38,171,52,30.41,119,69.59,13038
13,39,314,80,25.48,234,74.52,13039
13,40,279,58,20.79,221,79.21,13040
13,41,300,51,17.0,249,83.0,13041
13,42,362,71,19.61,291,80.39,13042
13,43,256,41,16.02,215,83.98,13043
13,44,254,61,24.02,193,75.98,13044
