ward,precinct,total,ERIC W. SOLIS,ERIC W. SOLIS Percent,JOHN J. CULLERTON,JOHN J. CULLERTON Percent,precinct_id
43,52,737,283,38.4,454,61.6,43052
43,53,437,128,29.29,309,70.71,43053
43,54,274,115,41.97,159,58.03,43054
43,56,397,108,27.2,289,72.8,43056
43,57,311,124,39.87,187,60.13,43057
43,58,432,140,32.41,292,67.59,43058
43,59,384,95,24.74,289,75.26,43059
43,60,290,79,27.24,211,72.76,43060
44,1,391,88,22.51,303,77.49,44001
44,2,392,105,26.79,287,73.21,44002
44,3,410,80,19.51,330,80.49,44003
44,4,425,91,21.41,334,78.59,44004
44,5,626,162,25.88,464,74.12,44005
44,6,583,174,29.85,409,70.15,44006
44,7,507,155,30.57,352,69.43,44007
44,8,627,157,25.04,470,74.96,44008
44,9,694,243,35.01,451,64.99,44009
44,10,576,93,16.15,483,83.85,44010
44,11,493,149,30.22,344,69.78,44011
44,12,384,94,24.48,290,75.52,44012
44,14,619,179,28.92,440,71.08,44014
44,15,616,143,23.21,473,76.79,44015
44,17,554,123,22.2,431,77.8,44017
44,19,390,90,23.08,300,76.92,44019
44,20,752,227,30.19,525,69.81,44020
44,21,628,171,27.23,457,72.77,44021
44,22,310,68,21.94,242,78.06,44022
44,23,523,113,21.61,410,78.39,44023
44,24,495,145,29.29,350,70.71,44024
44,26,465,112,24.09,353,75.91,44026
44,27,689,237,34.4,452,65.6,44027
44,28,412,128,31.07,284,68.93,44028
44,29,665,240,36.09,425,63.91,44029
44,30,528,115,21.78,413,78.22,44030
44,31,503,163,32.41,340,67.59,44031
44,32,342,65,19.01,277,80.99,44032
44,33,730,138,18.9,592,81.1,44033
44,34,391,107,27.37,284,72.63,44034
44,35,380,83,21.84,297,78.16,44035
44,36,405,127,31.36,278,68.64,44036
44,37,661,136,20.57,525,79.43,44037
44,38,660,232,35.15,428,64.85,44038
44,39,741,260,35.09,481,64.91,44039
44,40,545,199,36.51,346,63.49,44040
44,41,623,150,24.08,473,75.92,44041
44,42,503,129,25.65,374,74.35,44042
44,44,618,125,20.23,493,79.77,44044
44,45,630,203,32.22,427,67.78,44045
44,46,358,85,23.74,273,76.26,44046
44,48,353,85,24.08,268,75.92,44048
44,49,390,99,25.38,291,74.62,44049
46,1,611,117,19.15,494,80.85,46001
46,3,561,94,16.76,467,83.24,46003
46,5,536,159,29.66,377,70.34,46005
46,7,617,135,21.88,482,78.12,46007
46,9,434,100,23.04,334,76.96,46009
46,10,635,141,22.2,494,77.8,46010
46,11,506,70,13.83,436,86.17,46011
46,13,744,213,28.63,531,71.37,46013
46,15,513,114,22.22,399,77.78,46015
46,17,613,142,23.16,471,76.84,46017
46,18,474,93,19.62,381,80.38,46018
46,20,435,37,8.51,398,91.49,46020
46,23,315,26,8.25,289,91.75,46023
46,24,546,109,19.96,437,80.04,46024
46,25,331,58,17.52,273,82.48,46025
46,26,417,46,11.03,371,88.97,46026
46,28,612,166,27.12,446,72.88,46028
46,29,392,83,21.17,309,78.83,46029
46,30,492,98,19.92,394,80.08,46030
46,31,515,101,19.61,414,80.39,46031
46,33,479,91,19.0,388,81.0,46033
46,34,578,67,11.59,511,88.41,46034
46,36,470,114,24.26,356,75.74,46036
46,37,631,96,15.21,535,84.79,46037
46,39,509,114,22.4,395,77.6,46039
