ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
5,6,155,122,78.71,33,21.29,05006
5,7,170,130,76.47,40,23.53,05007
5,8,269,249,92.57,20,7.43,05008
5,9,166,128,77.11,38,22.89,05009
5,10,106,87,82.08,19,17.92,05010
5,11,71,67,94.37,4,5.63,05011
5,12,172,146,84.88,26,15.12,05012
5,13,143,115,80.42,28,19.58,05013
5,14,170,150,88.24,20,11.76,05014
5,15,108,84,77.78,24,22.22,05015
5,16,133,106,79.7,27,20.3,05016
5,17,64,49,76.56,15,23.44,05017
5,18,104,76,73.08,28,26.92,05018
5,19,140,104,74.29,36,25.71,05019
5,20,105,74,70.48,31,29.52,05020
5,21,193,139,72.02,54,27.98,05021
5,22,150,112,74.67,38,25.33,05022
5,23,121,89,73.55,32,26.45,05023
5,24,131,115,87.79,16,12.21,05024
5,25,147,111,75.51,36,24.49,05025
5,26,88,72,81.82,16,18.18,05026
5,27,87,80,91.95,7,8.05,05027
5,28,179,137,76.54,42,23.46,05028
5,29,106,72,67.92,34,32.08,05029
5,30,197,178,90.36,19,9.64,05030
5,31,162,123,75.93,39,24.07,05031
5,32,225,184,81.78,41,18.22,05032
5,33,153,114,74.51,39,25.49,05033
5,34,114,89,78.07,25,21.93,05034
5,35,169,146,86.39,23,13.61,05035
5,36,148,114,77.03,34,22.97,05036
5,37,139,115,82.73,24,17.27,05037
5,38,158,139,87.97,19,12.03,05038
5,39,231,197,85.28,34,14.72,05039
5,40,165,119,72.12,46,27.88,05040
5,41,183,169,92.35,14,7.65,05041
5,42,113,88,77.88,25,22.12,05042
5,43,169,133,78.7,36,21.3,05043
5,44,134,111,82.84,23,17.16,05044
5,45,100,79,79.0,21,21.0,05045
5,46,222,181,81.53,41,18.47,05046
5,47,133,102,76.69,31,23.31,05047
5,48,132,99,75.0,33,25.0,05048
5,49,218,197,90.37,21,9.63,05049
5,50,80,56,70.0,24,30.0,05050
5,51,130,101,77.69,29,22.31,05051
5,52,91,65,71.43,26,28.57,05052
5,53,165,130,78.79,35,21.21,05053
5,54,97,73,75.26,24,24.74,05054
5,55,159,132,83.02,27,16.98,05055
5,56,109,83,76.15,26,23.85,05056
5,57,228,190,83.33,38,16.67,05057
5,58,101,77,76.24,24,23.76,05058
5,59,90,59,65.56,31,34.44,05059
6,1,176,136,77.27,40,22.73,06001
6,2,222,192,86.49,30,13.51,06002
6,3,138,108,78.26,30,21.74,06003
6,4,81,68,83.95,13,16.05,06004
6,5,101,79,78.22,22,21.78,06005
6,6,153,127,83.01,26,16.99,06006
6,7,143,113,79.02,30,20.98,06007
6,8,152,126,82.89,26,17.11,06008
6,9,192,143,74.48,49,25.52,06009
6,10,151,119,78.81,32,21.19,06010
6,11,162,128,79.01,34,20.99,06011
6,12,156,121,77.56,35,22.44,06012
6,13,155,114,73.55,41,26.45,06013
6,14,173,134,77.46,39,22.54,06014
6,15,114,82,71.93,32,28.07,06015
6,16,156,129,82.69,27,17.31,06016
6,17,204,171,83.82,33,16.18,06017
6,18,62,45,72.58,17,27.42,06018
6,19,153,132,86.27,21,13.73,06019
6,20,42,32,76.19,10,23.81,06020
6,21,161,122,75.78,39,24.22,06021
6,22,223,175,78.48,48,21.52,06022
6,23,139,106,76.26,33,23.74,06023
6,24,182,151,82.97,31,17.03,06024
6,25,181,140,77.35,41,22.65,06025
6,26,171,133,77.78,38,22.22,06026
6,27,211,171,81.04,40,18.96,06027
6,28,243,200,82.3,43,17.7,06028
6,29,193,149,77.2,44,22.8,06029
6,30,170,132,77.65,38,22.35,06030
6,31,200,154,77.0,46,23.0,06031
6,32,179,143,79.89,36,20.11,06032
6,33,197,145,73.6,52,26.4,06033
6,34,165,145,87.88,20,12.12,06034
6,35,206,162,78.64,44,21.36,06035
6,36,94,74,78.72,20,21.28,06036
6,37,199,172,86.43,27,13.57,06037
6,38,235,192,81.7,43,18.3,06038
6,39,105,79,75.24,26,24.76,06039
6,40,94,77,81.91,17,18.09,06040
6,41,176,139,78.98,37,21.02,06041
6,42,106,90,84.91,16,15.09,06042
6,43,192,154,80.21,38,19.79,06043
6,44,172,132,76.74,40,23.26,06044
6,45,105,81,77.14,24,22.86,06045
6,46,128,98,76.56,30,23.44,06046
6,47,185,137,74.05,48,25.95,06047
6,48,199,163,81.91,36,18.09,06048
