ward,precinct,total,ROBERT DALLAS,ROBERT DALLAS Percent,DANNY K. DAVIS,DANNY K. DAVIS Percent,precinct_id
24,53,31,0,0.0,31,100.0,24053
25,3,199,43,21.61,156,78.39,25003
25,4,63,20,31.75,43,68.25,25004
25,6,0,0,0.0,0,0.0,25006
25,10,105,2,1.9,103,98.1,25010
25,14,271,48,17.71,223,82.29,25014
25,16,209,37,17.7,172,82.3,25016
25,18,147,32,21.77,115,78.23,25018
25,21,266,51,19.17,215,80.83,25021
26,2,1,0,0.0,1,100.0,26002
27,1,1495,487,32.58,1008,67.42,27001
27,2,111,1,0.9,110,99.1,27002
27,3,332,6,1.81,326,98.19,27003
27,4,110,11,10.0,99,90.0,27004
27,5,296,169,57.09,127,42.91,27005
27,6,353,3,0.85,350,99.15,27006
27,7,157,5,3.18,152,96.82,27007
27,8,200,2,1.0,198,99.0,27008
27,9,438,29,6.62,409,93.38,27009
27,11,173,6,3.47,167,96.53,27011
27,12,219,2,0.91,217,99.09,27012
27,13,657,163,24.81,494,75.19,27013
27,14,229,3,1.31,226,98.69,27014
27,15,242,7,2.89,235,97.11,27015
27,16,296,78,26.35,218,73.65,27016
27,17,505,64,12.67,441,87.33,27017
27,18,163,56,34.36,107,65.64,27018
27,19,329,12,3.65,317,96.35,27019
27,20,721,84,11.65,637,88.35,27020
27,21,154,0,0.0,154,100.0,27021
27,22,300,6,2.0,294,98.0,27022
27,23,146,3,2.05,143,97.95,27023
27,24,358,10,2.79,348,97.21,27024
27,25,224,9,4.02,215,95.98,27025
27,26,435,7,1.61,428,98.39,27026
27,27,238,10,4.2,228,95.8,27027
27,28,318,72,22.64,246,77.36,27028
27,29,273,7,2.56,266,97.44,27029
27,30,166,29,17.47,137,82.53,27030
27,31,290,7,2.41,283,97.59,27031
27,33,328,44,13.41,284,86.59,27033
27,34,316,2,0.63,314,99.37,27034
27,35,19,2,10.53,17,89.47,27035
27,36,341,3,0.88,338,99.12,27036
27,37,420,134,31.9,286,68.1,27037
27,38,598,229,38.29,369,61.71,27038
27,39,219,3,1.37,216,98.63,27039
27,40,265,6,2.26,259,97.74,27040
27,41,431,120,27.84,311,72.16,27041
27,42,418,147,35.17,271,64.83,27042
27,43,334,8,2.4,326,97.6,27043
27,44,366,6,1.64,360,98.36,27044
27,45,394,11,2.79,383,97.21,27045
27,46,283,8,2.83,275,97.17,27046
27,47,143,1,0.7,142,99.3,27047
27,48,435,6,1.38,429,98.62,27048
27,49,272,5,1.84,267,98.16,27049
27,50,381,105,27.56,276,72.44,27050
27,51,266,9,3.38,257,96.62,27051
27,52,96,5,5.21,91,94.79,27052
27,53,689,243,35.27,446,64.73,27053
27,54,259,85,32.82,174,67.18,27054
27,55,0,0,0.0,0,0.0,27055
28,1,385,5,1.3,380,98.7,28001
28,2,184,1,0.54,183,99.46,28002
28,3,303,6,1.98,297,98.02,28003
28,4,393,3,0.76,390,99.24,28004
28,5,264,3,1.14,261,98.86,28005
28,6,401,2,0.5,399,99.5,28006
28,7,418,9,2.15,409,97.85,28007
28,8,189,1,0.53,188,99.47,28008
28,9,355,3,0.85,352,99.15,28009
28,10,325,5,1.54,320,98.46,28010
28,11,273,5,1.83,268,98.17,28011
28,12,274,3,1.09,271,98.91,28012
28,13,303,7,2.31,296,97.69,28013
28,15,209,6,2.87,203,97.13,28015
28,16,250,3,1.2,247,98.8,28016
28,17,227,4,1.76,223,98.24,28017
28,18,368,8,2.17,360,97.83,28018
28,19,367,7,1.91,360,98.09,28019
28,20,358,3,0.84,355,99.16,28020
28,21,314,4,1.27,310,98.73,28021
28,22,268,4,1.49,264,98.51,28022
28,23,339,7,2.06,332,97.94,28023
28,24,179,1,0.56,178,99.44,28024
28,25,223,3,1.35,220,98.65,28025
28,26,281,1,0.36,280,99.64,28026
28,27,240,8,3.33,232,96.67,28027
28,28,272,1,0.37,271,99.63,28028
28,29,259,10,3.86,249,96.14,28029
28,30,210,6,2.86,204,97.14,28030
28,31,288,6,2.08,282,97.92,28031
28,32,276,10,3.62,266,96.38,28032
28,33,216,2,0.93,214,99.07,28033
28,34,291,4,1.37,287,98.63,28034
28,35,256,2,0.78,254,99.22,28035
28,36,302,3,0.99,299,99.01,28036
28,37,260,5,1.92,255,98.08,28037
28,38,280,5,1.79,275,98.21,28038
28,39,177,5,2.82,172,97.18,28039
28,40,338,5,1.48,333,98.52,28040
28,41,165,2,1.21,163,98.79,28041
28,42,259,5,1.93,254,98.07,28042
28,43,202,1,0.5,201,99.5,28043
28,44,162,4,2.47,158,97.53,28044
28,45,226,2,0.88,224,99.12,28045
28,46,197,1,0.51,196,99.49,28046
28,47,364,6,1.65,358,98.35,28047
28,48,101,1,0.99,100,99.01,28048
28,49,220,5,2.27,215,97.73,28049
28,50,174,2,1.15,172,98.85,28050
28,51,278,6,2.16,272,97.84,28051
28,52,299,5,1.67,294,98.33,28052
28,53,0,0,0.0,0,0.0,28053
28,54,231,4,1.73,227,98.27,28054
28,55,179,4,2.23,175,97.77,28055
28,56,280,10,3.57,270,96.43,28056
28,57,305,5,1.64,300,98.36,28057
28,58,206,8,3.88,198,96.12,28058
28,59,210,1,0.48,209,99.52,28059
28,60,254,2,0.79,252,99.21,28060
28,61,155,2,1.29,153,98.71,28061
29,1,330,3,0.91,327,99.09,29001
29,3,335,6,1.79,329,98.21,29003
29,4,346,3,0.87,343,99.13,29004
29,5,382,5,1.31,377,98.69,29005
29,7,0,0,0.0,0,0.0,29007
29,8,435,11,2.53,424,97.47,29008
29,9,379,15,3.96,364,96.04,29009
29,10,313,2,0.64,311,99.36,29010
29,11,346,11,3.18,335,96.82,29011
29,12,267,10,3.75,257,96.25,29012
29,13,381,10,2.62,371,97.38,29013
29,14,344,3,0.87,341,99.13,29014
29,15,438,1,0.23,437,99.77,29015
29,16,261,3,1.15,258,98.85,29016
29,18,331,7,2.11,324,97.89,29018
29,19,285,1,0.35,284,99.65,29019
29,20,376,8,2.13,368,97.87,29020
29,21,416,8,1.92,408,98.08,29021
29,23,311,0,0.0,311,100.0,29023
29,24,468,8,1.71,460,98.29,29024
29,25,544,11,2.02,533,97.98,29025
29,26,323,7,2.17,316,97.83,29026
29,27,319,6,1.88,313,98.12,29027
29,28,279,9,3.23,270,96.77,29028
29,29,429,13,3.03,416,96.97,29029
29,30,249,4,1.61,245,98.39,29030
29,31,368,3,0.82,365,99.18,29031
29,32,337,9,2.67,328,97.33,29032
29,33,286,2,0.7,284,99.3,29033
29,35,318,9,2.83,309,97.17,29035
29,36,408,5,1.23,403,98.77,29036
29,37,336,8,2.38,328,97.62,29037
29,38,287,2,0.7,285,99.3,29038
29,39,0,0,0.0,0,0.0,29039
29,40,184,6,3.26,178,96.74,29040
29,41,386,4,1.04,382,98.96,29041
29,42,237,2,0.84,235,99.16,29042
29,43,305,3,0.98,302,99.02,29043
29,44,284,7,2.46,277,97.54,29044
29,45,285,3,1.05,282,98.95,29045
29,46,232,4,1.72,228,98.28,29046
29,47,412,17,4.13,395,95.87,29047
29,49,440,11,2.5,429,97.5,29049
29,50,350,7,2.0,343,98.0,29050
29,51,344,7,2.03,337,97.97,29051
29,52,0,0,0.0,0,0.0,29052
29,56,319,2,0.63,317,99.37,29056
31,19,71,1,1.41,70,98.59,31019
32,1,368,74,20.11,294,79.89,32001
32,6,349,113,32.38,236,67.62,32006
32,12,0,0,0.0,0,0.0,32012
32,26,349,79,22.64,270,77.36,32026
32,46,0,0,0.0,0,0.0,32046
36,4,2,1,50.0,1,50.0,36004
36,16,310,84,27.1,226,72.9,36016
36,23,128,20,15.63,108,84.38,36023
36,24,326,32,9.82,294,90.18,36024
36,26,475,14,2.95,461,97.05,36026
36,33,298,72,24.16,226,75.84,36033
36,43,385,12,3.12,373,96.88,36043
36,44,288,72,25.0,216,75.0,36044
36,54,373,58,15.55,315,84.45,36054
36,55,350,93,26.57,257,73.43,36055
37,1,252,4,1.59,248,98.41,37001
37,2,0,0,0.0,0,0.0,37002
37,3,198,10,5.05,188,94.95,37003
37,4,312,4,1.28,308,98.72,37004
37,5,281,5,1.78,276,98.22,37005
37,6,523,11,2.1,512,97.9,37006
37,7,330,2,0.61,328,99.39,37007
37,8,404,13,3.22,391,96.78,37008
37,9,344,4,1.16,340,98.84,37009
37,10,431,18,4.18,413,95.82,37010
37,12,367,19,5.18,348,94.82,37012
37,13,396,15,3.79,381,96.21,37013
37,14,386,3,0.78,383,99.22,37014
37,15,481,5,1.04,476,98.96,37015
37,16,521,13,2.5,508,97.5,37016
37,17,324,10,3.09,314,96.91,37017
37,18,323,1,0.31,322,99.69,37018
37,19,296,10,3.38,286,96.62,37019
37,20,330,5,1.52,325,98.48,37020
37,21,374,2,0.53,372,99.47,37021
37,22,247,5,2.02,242,97.98,37022
37,23,310,8,2.58,302,97.42,37023
37,24,322,4,1.24,318,98.76,37024
37,25,416,4,0.96,412,99.04,37025
37,26,285,7,2.46,278,97.54,37026
37,27,238,2,0.84,236,99.16,37027
37,28,344,10,2.91,334,97.09,37028
37,29,359,4,1.11,355,98.89,37029
37,30,387,10,2.58,377,97.42,37030
37,31,467,13,2.78,454,97.22,37031
37,32,352,8,2.27,344,97.73,37032
37,33,310,2,0.65,308,99.35,37033
37,34,429,10,2.33,419,97.67,37034
37,36,324,11,3.4,313,96.6,37036
37,37,381,3,0.79,378,99.21,37037
37,38,391,7,1.79,384,98.21,37038
37,39,328,7,2.13,321,97.87,37039
37,40,329,6,1.82,323,98.18,37040
37,41,406,4,0.99,402,99.01,37041
37,42,4,1,25.0,3,75.0,37042
37,43,438,9,2.05,429,97.95,37043
37,44,390,9,2.31,381,97.69,37044
37,45,365,2,0.55,363,99.45,37045
37,46,296,5,1.69,291,98.31,37046
37,47,64,4,6.25,60,93.75,37047
37,48,331,5,1.51,326,98.49,37048
37,49,310,7,2.26,303,97.74,37049
37,50,94,3,3.19,91,96.81,37050
42,2,358,152,42.46,206,57.54,42002
42,3,365,125,34.25,240,65.75,42003
42,4,400,159,39.75,241,60.25,42004
42,6,608,212,34.87,396,65.13,42006
42,9,562,185,32.92,377,67.08,42009
42,11,442,190,42.99,252,57.01,42011
42,12,302,69,22.85,233,77.15,42012
42,13,584,220,37.67,364,62.33,42013
42,14,971,390,40.16,581,59.84,42014
42,17,366,113,30.87,253,69.13,42017
42,18,242,59,24.38,183,75.62,42018
42,19,627,275,43.86,352,56.14,42019
42,20,292,106,36.3,186,63.7,42020
42,21,345,91,26.38,254,73.62,42021
42,22,224,55,24.55,169,75.45,42022
42,25,384,150,39.06,234,60.94,42025
42,26,530,164,30.94,366,69.06,42026
42,27,493,192,38.95,301,61.05,42027
42,31,243,102,41.98,141,58.02,42031
42,32,318,92,28.93,226,71.07,42032
42,34,395,137,34.68,258,65.32,42034
42,36,694,258,37.18,436,62.82,42036
42,37,407,142,34.89,265,65.11,42037
42,38,489,203,41.51,286,58.49,42038
42,39,425,116,27.29,309,72.71,42039
42,40,258,66,25.58,192,74.42,42040
42,41,355,128,36.06,227,63.94,42041
42,43,432,181,41.9,251,58.1,42043
42,45,403,137,34.0,266,66.0,42045
42,46,276,64,23.19,212,76.81,42046
42,47,245,89,36.33,156,63.67,42047
42,48,218,63,28.9,155,71.1,42048
42,49,304,67,22.04,237,77.96,42049
42,50,434,203,46.77,231,53.23,42050
42,51,370,180,48.65,190,51.35,42051
42,52,241,82,34.02,159,65.98,42052
42,53,236,94,39.83,142,60.17,42053
42,54,346,147,42.49,199,57.51,42054
42,55,436,174,39.91,262,60.09,42055
42,56,348,144,41.38,204,58.62,42056
42,57,157,49,31.21,108,68.79,42057
42,58,503,135,26.84,368,73.16,42058
42,59,285,63,22.11,222,77.89,42059
42,60,320,105,32.81,215,67.19,42060
42,62,277,91,32.85,186,67.15,42062
42,63,344,127,36.92,217,63.08,42063
42,64,188,63,33.51,125,66.49,42064
42,65,411,170,41.36,241,58.64,42065
42,66,337,108,32.05,229,67.95,42066
42,67,355,33,9.3,322,90.7,42067
43,1,45,21,46.67,24,53.33,43001
43,13,225,95,42.22,130,57.78,43013
43,25,412,116,28.16,296,71.84,43025
43,40,438,128,29.22,310,70.78,43040
43,55,256,36,14.06,220,85.94,43055
