ward,precinct,total,DENNIS J. DRISCOLL,DENNIS J. DRISCOLL Percent,JAN SCHAKOWSKY,JAN SCHAKOWSKY Percent,precinct_id
46,22,347,112,32.28,235,67.72,46022
46,23,267,26,9.74,241,90.26,46023
46,24,535,108,20.19,427,79.81,46024
46,25,361,43,11.91,318,88.09,46025
46,26,367,49,13.35,318,86.65,46026
46,27,628,143,22.77,485,77.23,46027
46,28,566,137,24.2,429,75.8,46028
46,29,363,69,19.01,294,80.99,46029
46,30,452,83,18.36,369,81.64,46030
46,31,472,89,18.86,383,81.14,46031
46,32,503,73,14.51,430,85.49,46032
46,33,453,77,17.0,376,83.0,46033
46,34,509,71,13.95,438,86.05,46034
46,35,360,72,20.0,288,80.0,46035
46,36,445,111,24.94,334,75.06,46036
46,37,602,93,15.45,509,84.55,46037
46,38,241,37,15.35,204,84.65,46038
46,39,475,103,21.68,372,78.32,46039
47,21,298,48,16.11,250,83.89,47021
47,30,273,41,15.02,232,84.98,47030
47,31,467,101,21.63,366,78.37,47031
47,32,598,85,14.21,513,85.79,47032
47,34,455,78,17.14,377,82.86,47034
47,41,264,46,17.42,218,82.58,47041
48,1,396,46,11.62,350,88.38,48001
48,2,288,39,13.54,249,86.46,48002
48,3,435,56,12.87,379,87.13,48003
48,4,430,96,22.33,334,77.67,48004
48,5,301,98,32.56,203,67.44,48005
48,6,457,47,10.28,410,89.72,48006
48,7,448,61,13.62,387,86.38,48007
48,8,294,76,25.85,218,74.15,48008
48,9,342,70,20.47,272,79.53,48009
48,10,311,41,13.18,270,86.82,48010
48,11,487,63,12.94,424,87.06,48011
48,12,311,41,13.18,270,86.82,48012
48,13,285,42,14.74,243,85.26,48013
48,14,387,51,13.18,336,86.82,48014
48,15,301,19,6.31,282,93.69,48015
48,16,344,35,10.17,309,89.83,48016
48,17,342,42,12.28,300,87.72,48017
48,18,278,34,12.23,244,87.77,48018
48,19,334,60,17.96,274,82.04,48019
48,20,368,67,18.21,301,81.79,48020
48,21,438,36,8.22,402,91.78,48021
48,22,435,90,20.69,345,79.31,48022
48,23,333,76,22.82,257,77.18,48023
48,24,289,39,13.49,250,86.51,48024
48,25,382,40,10.47,342,89.53,48025
48,26,409,82,20.05,327,79.95,48026
48,27,207,38,18.36,169,81.64,48027
48,28,280,45,16.07,235,83.93,48028
48,29,271,30,11.07,241,88.93,48029
48,30,255,43,16.86,212,83.14,48030
48,31,392,30,7.65,362,92.35,48031
48,32,421,59,14.01,362,85.99,48032
48,33,276,67,24.28,209,75.72,48033
48,34,360,57,15.83,303,84.17,48034
48,35,432,45,10.42,387,89.58,48035
48,36,265,40,15.09,225,84.91,48036
48,37,393,52,13.23,341,86.77,48037
48,38,354,36,10.17,318,89.83,48038
48,39,264,51,19.32,213,80.68,48039
48,40,396,67,16.92,329,83.08,48040
48,41,251,37,14.74,214,85.26,48041
48,42,403,49,12.16,354,87.84,48042
48,43,368,44,11.96,324,88.04,48043
48,44,366,41,11.2,325,88.8,48044
48,45,285,37,12.98,248,87.02,48045
48,46,281,42,14.95,239,85.05,48046
48,47,263,23,8.75,240,91.25,48047
48,48,259,35,13.51,224,86.49,48048
49,1,327,16,4.89,311,95.11,49001
49,2,325,47,14.46,278,85.54,49002
49,3,378,27,7.14,351,92.86,49003
49,4,283,28,9.89,255,90.11,49004
49,5,388,42,10.82,346,89.18,49005
49,6,382,68,17.8,314,82.2,49006
49,7,296,44,14.86,252,85.14,49007
49,8,277,31,11.19,246,88.81,49008
49,9,350,46,13.14,304,86.86,49009
49,10,431,74,17.17,357,82.83,49010
49,11,364,54,14.84,310,85.16,49011
49,12,295,65,22.03,230,77.97,49012
49,13,331,48,14.5,283,85.5,49013
49,14,379,59,15.57,320,84.43,49014
49,15,343,49,14.29,294,85.71,49015
49,16,344,45,13.08,299,86.92,49016
49,17,163,36,22.09,127,77.91,49017
49,18,332,35,10.54,297,89.46,49018
49,19,318,29,9.12,289,90.88,49019
49,20,415,61,14.7,354,85.3,49020
49,21,419,119,28.4,300,71.6,49021
49,22,341,38,11.14,303,88.86,49022
49,23,416,49,11.78,367,88.22,49023
49,24,430,40,9.3,390,90.7,49024
49,25,290,45,15.52,245,84.48,49025
49,26,509,47,9.23,462,90.77,49026
49,27,415,33,7.95,382,92.05,49027
49,28,388,50,12.89,338,87.11,49028
49,29,267,36,13.48,231,86.52,49029
49,30,328,31,9.45,297,90.55,49030
49,31,341,35,10.26,306,89.74,49031
49,32,341,68,19.94,273,80.06,49032
49,33,294,33,11.22,261,88.78,49033
49,34,323,37,11.46,286,88.54,49034
49,35,325,49,15.08,276,84.92,49035
49,36,239,28,11.72,211,88.28,49036
49,37,232,35,15.09,197,84.91,49037
50,1,323,46,14.24,277,85.76,50001
50,2,349,37,10.6,312,89.4,50002
50,3,293,56,19.11,237,80.89,50003
50,4,323,54,16.72,269,83.28,50004
50,5,405,51,12.59,354,87.41,50005
50,6,265,39,14.72,226,85.28,50006
50,7,382,82,21.47,300,78.53,50007
50,8,383,92,24.02,291,75.98,50008
50,9,273,51,18.68,222,81.32,50009
50,10,262,57,21.76,205,78.24,50010
50,11,314,44,14.01,270,85.99,50011
50,12,233,19,8.15,214,91.85,50012
50,13,252,53,21.03,199,78.97,50013
50,14,185,12,6.49,173,93.51,50014
50,15,378,65,17.2,313,82.8,50015
50,16,190,8,4.21,182,95.79,50016
50,17,287,69,24.04,218,75.96,50017
50,18,278,35,12.59,243,87.41,50018
50,19,323,66,20.43,257,79.57,50019
50,20,362,91,25.14,271,74.86,50020
50,21,357,69,19.33,288,80.67,50021
50,22,313,69,22.04,244,77.96,50022
50,23,213,50,23.47,163,76.53,50023
50,24,302,54,17.88,248,82.12,50024
50,25,361,93,25.76,268,74.24,50025
50,26,269,44,16.36,225,83.64,50026
50,27,150,10,6.67,140,93.33,50027
50,28,315,53,16.83,262,83.17,50028
50,29,348,67,19.25,281,80.75,50029
50,30,307,47,15.31,260,84.69,50030
50,31,170,10,5.88,160,94.12,50031
50,32,283,55,19.43,228,80.57,50032
50,33,235,46,19.57,189,80.43,50033
50,34,339,52,15.34,287,84.66,50034
50,35,404,78,19.31,326,80.69,50035
50,36,347,71,20.46,276,79.54,50036
50,37,378,60,15.87,318,84.13,50037
50,38,194,13,6.7,181,93.3,50038
50,39,282,41,14.54,241,85.46,50039
50,40,307,43,14.01,264,85.99,50040
50,41,422,69,16.35,353,83.65,50041
50,42,443,65,14.67,378,85.33,50042
50,43,348,68,19.54,280,80.46,50043
50,44,344,65,18.9,279,81.1,50044
50,45,355,67,18.87,288,81.13,50045
50,46,308,62,20.13,246,79.87,50046
