ward,precinct,total,ROD R. BLAGOJEVICH,ROD R. BLAGOJEVICH Percent,MATT BEAUCHAMP,MATT BEAUCHAMP Percent,precinct_id
33,23,361,327,90.58,34,9.42,33023
33,24,428,396,92.52,32,7.48,33024
33,25,546,506,92.67,40,7.33,33025
33,26,8,8,100.0,0,0.0,33026
33,27,401,372,92.77,29,7.23,33027
33,28,379,342,90.24,37,9.76,33028
33,29,366,333,90.98,33,9.02,33029
33,30,313,282,90.1,31,9.9,33030
33,32,92,83,90.22,9,9.78,33032
33,36,163,152,93.25,11,6.75,33036
33,37,322,293,90.99,29,9.01,33037
33,38,95,80,84.21,15,15.79,33038
35,6,256,222,86.72,34,13.28,35006
35,11,189,170,89.95,19,10.05,35011
36,1,293,269,91.81,24,8.19,36001
36,2,217,199,91.71,18,8.29,36002
36,3,260,249,95.77,11,4.23,36003
36,5,251,229,91.24,22,8.76,36005
36,6,298,277,92.95,21,7.05,36006
36,7,329,292,88.75,37,11.25,36007
36,8,343,311,90.67,32,9.33,36008
36,9,332,294,88.55,38,11.45,36009
36,10,281,262,93.24,19,6.76,36010
36,11,380,343,90.26,37,9.74,36011
36,12,309,273,88.35,36,11.65,36012
36,13,404,378,93.56,26,6.44,36013
36,14,358,335,93.58,23,6.42,36014
36,15,308,271,87.99,37,12.01,36015
36,17,257,230,89.49,27,10.51,36017
36,18,330,295,89.39,35,10.61,36018
36,19,457,455,99.56,2,0.44,36019
36,20,360,327,90.83,33,9.17,36020
36,21,309,290,93.85,19,6.15,36021
36,22,455,403,88.57,52,11.43,36022
36,25,233,200,85.84,33,14.16,36025
36,27,290,251,86.55,39,13.45,36027
36,28,278,258,92.81,20,7.19,36028
36,29,314,291,92.68,23,7.32,36029
36,30,332,303,91.27,29,8.73,36030
36,31,319,280,87.77,39,12.23,36031
36,32,345,308,89.28,37,10.72,36032
36,34,252,216,85.71,36,14.29,36034
36,35,301,278,92.36,23,7.64,36035
36,36,269,252,93.68,17,6.32,36036
36,37,277,245,88.45,32,11.55,36037
36,38,197,181,91.88,16,8.12,36038
36,39,352,308,87.5,44,12.5,36039
36,40,306,276,90.2,30,9.8,36040
36,41,233,209,89.7,24,10.3,36041
36,42,260,229,88.08,31,11.92,36042
36,46,280,257,91.79,23,8.21,36046
36,47,227,203,89.43,24,10.57,36047
36,48,329,300,91.19,29,8.81,36048
36,49,310,277,89.35,33,10.65,36049
36,50,349,321,91.98,28,8.02,36050
36,51,325,307,94.46,18,5.54,36051
36,52,298,266,89.26,32,10.74,36052
36,53,316,285,90.19,31,9.81,36053
36,56,261,238,91.19,23,8.81,36056
38,1,225,206,91.56,19,8.44,38001
38,2,272,246,90.44,26,9.56,38002
38,3,295,263,89.15,32,10.85,38003
38,4,124,111,89.52,13,10.48,38004
38,5,454,404,88.99,50,11.01,38005
38,6,280,252,90.0,28,10.0,38006
38,7,346,307,88.73,39,11.27,38007
38,8,332,299,90.06,33,9.94,38008
38,9,330,279,84.55,51,15.45,38009
38,10,271,239,88.19,32,11.81,38010
38,11,233,211,90.56,22,9.44,38011
38,12,233,209,89.7,24,10.3,38012
38,13,241,213,88.38,28,11.62,38013
38,14,341,317,92.96,24,7.04,38014
38,15,196,172,87.76,24,12.24,38015
38,16,276,255,92.39,21,7.61,38016
38,17,267,250,93.63,17,6.37,38017
38,18,270,228,84.44,42,15.56,38018
38,19,241,219,90.87,22,9.13,38019
38,20,303,271,89.44,32,10.56,38020
38,21,276,241,87.32,35,12.68,38021
38,22,307,275,89.58,32,10.42,38022
38,23,235,209,88.94,26,11.06,38023
38,24,185,155,83.78,30,16.22,38024
38,25,269,242,89.96,27,10.04,38025
38,26,220,198,90.0,22,10.0,38026
38,27,197,178,90.36,19,9.64,38027
38,28,229,207,90.39,22,9.61,38028
38,29,265,242,91.32,23,8.68,38029
38,30,251,225,89.64,26,10.36,38030
38,31,292,260,89.04,32,10.96,38031
38,32,339,304,89.68,35,10.32,38032
38,33,232,217,93.53,15,6.47,38033
38,34,266,238,89.47,28,10.53,38034
38,35,298,251,84.23,47,15.77,38035
38,36,269,237,88.1,32,11.9,38036
38,37,340,307,90.29,33,9.71,38037
38,38,215,193,89.77,22,10.23,38038
38,39,274,247,90.15,27,9.85,38039
38,40,205,180,87.8,25,12.2,38040
38,41,349,309,88.54,40,11.46,38041
38,42,350,300,85.71,50,14.29,38042
38,43,301,270,89.7,31,10.3,38043
38,44,239,194,81.17,45,18.83,38044
38,45,335,304,90.75,31,9.25,38045
38,46,276,243,88.04,33,11.96,38046
38,47,280,252,90.0,28,10.0,38047
38,48,261,230,88.12,31,11.88,38048
38,49,252,233,92.46,19,7.54,38049
38,50,296,262,88.51,34,11.49,38050
38,51,242,214,88.43,28,11.57,38051
38,52,301,274,91.03,27,8.97,38052
38,53,267,234,87.64,33,12.36,38053
38,54,315,285,90.48,30,9.52,38054
38,55,627,581,92.66,46,7.34,38055
38,56,249,233,93.57,16,6.43,38056
39,2,309,294,95.15,15,4.85,39002
39,4,229,202,88.21,27,11.79,39004
39,5,277,252,90.97,25,9.03,39005
39,6,600,530,88.33,70,11.67,39006
39,7,307,274,89.25,33,10.75,39007
39,8,258,230,89.15,28,10.85,39008
39,9,334,292,87.43,42,12.57,39009
39,10,222,197,88.74,25,11.26,39010
39,11,287,257,89.55,30,10.45,39011
39,12,188,174,92.55,14,7.45,39012
39,13,129,118,91.47,11,8.53,39013
39,14,289,253,87.54,36,12.46,39014
39,16,257,219,85.21,38,14.79,39016
39,17,263,241,91.63,22,8.37,39017
39,18,316,283,89.56,33,10.44,39018
39,19,247,224,90.69,23,9.31,39019
39,21,181,152,83.98,29,16.02,39021
39,22,190,176,92.63,14,7.37,39022
39,24,244,212,86.89,32,13.11,39024
39,25,43,39,90.7,4,9.3,39025
39,30,291,252,86.6,39,13.4,39030
39,31,200,182,91.0,18,9.0,39031
39,33,377,341,90.45,36,9.55,39033
39,35,313,270,86.26,43,13.74,39035
39,39,140,117,83.57,23,16.43,39039
39,41,83,78,93.98,5,6.02,39041
39,43,364,308,84.62,56,15.38,39043
39,44,350,308,88.0,42,12.0,39044
39,45,329,281,85.41,48,14.59,39045
39,46,265,245,92.45,20,7.55,39046
39,48,213,193,90.61,20,9.39,39048
39,49,181,159,87.85,22,12.15,39049
40,1,242,220,90.91,22,9.09,40001
40,2,208,187,89.9,21,10.1,40002
40,5,282,256,90.78,26,9.22,40005
40,6,256,227,88.67,29,11.33,40006
40,10,291,259,89.0,32,11.0,40010
40,14,245,225,91.84,20,8.16,40014
40,17,134,122,91.04,12,8.96,40017
40,19,229,206,89.96,23,10.04,40019
40,20,212,196,92.45,16,7.55,40020
40,21,264,235,89.02,29,10.98,40021
40,23,300,264,88.0,36,12.0,40023
40,24,174,156,89.66,18,10.34,40024
40,25,207,184,88.89,23,11.11,40025
40,29,247,215,87.04,32,12.96,40029
40,30,247,234,94.74,13,5.26,40030
40,31,239,215,89.96,24,10.04,40031
40,32,188,162,86.17,26,13.83,40032
40,34,194,177,91.24,17,8.76,40034
40,36,314,292,92.99,22,7.01,40036
40,38,166,152,91.57,14,8.43,40038
40,40,180,160,88.89,20,11.11,40040
40,44,212,190,89.62,22,10.38,40044
41,13,273,239,87.55,34,12.45,41013
41,25,193,163,84.46,30,15.54,41025
41,26,200,173,86.5,27,13.5,41026
41,27,156,141,90.38,15,9.62,41027
41,28,226,197,87.17,29,12.83,41028
41,29,179,144,80.45,35,19.55,41029
41,32,259,227,87.64,32,12.36,41032
41,33,307,272,88.6,35,11.4,41033
41,38,318,271,85.22,47,14.78,41038
41,48,260,223,85.77,37,14.23,41048
41,55,315,281,89.21,34,10.79,41055
42,1,419,383,91.41,36,8.59,42001
42,5,308,262,85.06,46,14.94,42005
42,7,384,312,81.25,72,18.75,42007
42,8,494,422,85.43,72,14.57,42008
42,10,545,464,85.14,81,14.86,42010
42,15,440,389,88.41,51,11.59,42015
42,16,606,509,83.99,97,16.01,42016
42,23,418,366,87.56,52,12.44,42023
42,24,435,377,86.67,58,13.33,42024
42,28,344,307,89.24,37,10.76,42028
42,29,346,291,84.1,55,15.9,42029
42,30,539,447,82.93,92,17.07,42030
42,33,383,344,89.82,39,10.18,42033
42,35,229,202,88.21,27,11.79,42035
42,42,348,296,85.06,52,14.94,42042
42,44,420,359,85.48,61,14.52,42044
42,61,209,169,80.86,40,19.14,42061
43,1,360,276,76.67,84,23.33,43001
43,2,322,260,80.75,62,19.25,43002
43,3,437,360,82.38,77,17.62,43003
43,4,311,267,85.85,44,14.15,43004
43,5,436,361,82.8,75,17.2,43005
43,6,337,275,81.6,62,18.4,43006
43,7,342,285,83.33,57,16.67,43007
43,8,378,327,86.51,51,13.49,43008
43,9,364,290,79.67,74,20.33,43009
43,10,346,303,87.57,43,12.43,43010
43,11,314,247,78.66,67,21.34,43011
43,12,481,407,84.62,74,15.38,43012
43,13,52,44,84.62,8,15.38,43013
43,14,281,250,88.97,31,11.03,43014
43,15,360,308,85.56,52,14.44,43015
43,16,392,327,83.42,65,16.58,43016
43,17,498,419,84.14,79,15.86,43017
43,18,95,80,84.21,15,15.79,43018
43,19,431,356,82.6,75,17.4,43019
43,20,510,430,84.31,80,15.69,43020
43,21,308,255,82.79,53,17.21,43021
43,22,272,221,81.25,51,18.75,43022
43,23,347,298,85.88,49,14.12,43023
43,24,304,238,78.29,66,21.71,43024
43,26,308,263,85.39,45,14.61,43026
43,27,336,273,81.25,63,18.75,43027
43,28,362,286,79.01,76,20.99,43028
43,29,270,215,79.63,55,20.37,43029
43,30,278,228,82.01,50,17.99,43030
43,31,377,318,84.35,59,15.65,43031
43,32,291,250,85.91,41,14.09,43032
43,33,364,278,76.37,86,23.63,43033
43,34,337,262,77.74,75,22.26,43034
43,35,479,385,80.38,94,19.62,43035
43,36,344,292,84.88,52,15.12,43036
43,37,328,268,81.71,60,18.29,43037
43,38,338,269,79.59,69,20.41,43038
43,39,361,281,77.84,80,22.16,43039
43,41,378,322,85.19,56,14.81,43041
43,42,278,247,88.85,31,11.15,43042
43,43,365,304,83.29,61,16.71,43043
43,44,504,408,80.95,96,19.05,43044
43,45,368,306,83.15,62,16.85,43045
43,46,415,365,87.95,50,12.05,43046
43,47,375,320,85.33,55,14.67,43047
43,48,468,373,79.7,95,20.3,43048
43,49,270,214,79.26,56,20.74,43049
43,50,309,254,82.2,55,17.8,43050
43,51,340,270,79.41,70,20.59,43051
43,52,602,487,80.9,115,19.1,43052
43,53,373,314,84.18,59,15.82,43053
43,54,244,199,81.56,45,18.44,43054
43,55,19,17,89.47,2,10.53,43055
43,56,364,296,81.32,68,18.68,43056
43,57,270,213,78.89,57,21.11,43057
43,58,361,304,84.21,57,15.79,43058
43,59,319,278,87.15,41,12.85,43059
43,60,227,203,89.43,24,10.57,43060
44,9,621,515,82.93,106,17.07,44009
44,11,432,353,81.71,79,18.29,44011
44,13,493,416,84.38,77,15.62,44013
44,14,558,457,81.9,101,18.1,44014
44,16,481,413,85.86,68,14.14,44016
44,20,675,549,81.33,126,18.67,44020
44,25,456,366,80.26,90,19.74,44025
44,27,599,469,78.3,130,21.7,44027
44,29,552,450,81.52,102,18.48,44029
44,38,574,470,81.88,104,18.12,44038
44,39,646,522,80.8,124,19.2,44039
44,40,479,375,78.29,104,21.71,44040
44,43,556,470,84.53,86,15.47,44043
44,47,451,367,81.37,84,18.63,44047
44,50,409,332,81.17,77,18.83,44050
45,7,327,292,89.3,35,10.7,45007
45,8,299,266,88.96,33,11.04,45008
45,10,416,359,86.3,57,13.7,45010
45,12,367,317,86.38,50,13.62,45012
45,14,379,333,87.86,46,12.14,45014
45,16,345,307,88.99,38,11.01,45016
45,18,299,266,88.96,33,11.04,45018
45,20,279,238,85.3,41,14.7,45020
45,24,418,360,86.12,58,13.88,45024
45,25,272,247,90.81,25,9.19,45025
45,26,321,276,85.98,45,14.02,45026
45,28,381,344,90.29,37,9.71,45028
45,29,316,274,86.71,42,13.29,45029
45,31,298,260,87.25,38,12.75,45031
45,35,326,272,83.44,54,16.56,45035
45,37,289,266,92.04,23,7.96,45037
45,38,372,342,91.94,30,8.06,45038
45,39,356,313,87.92,43,12.08,45039
45,40,315,276,87.62,39,12.38,45040
45,41,298,247,82.89,51,17.11,45041
45,42,301,267,88.7,34,11.3,45042
45,43,284,251,88.38,33,11.62,45043
45,45,275,235,85.45,40,14.55,45045
45,46,341,302,88.56,39,11.44,45046
45,47,338,291,86.09,47,13.91,45047
45,48,335,293,87.46,42,12.54,45048
45,50,345,301,87.25,44,12.75,45050
45,53,321,272,84.74,49,15.26,45053
45,55,291,257,88.32,34,11.68,45055
45,56,326,269,82.52,57,17.48,45056
47,1,188,173,92.02,15,7.98,47001
47,2,462,405,87.66,57,12.34,47002
47,3,346,315,91.04,31,8.96,47003
47,4,419,366,87.35,53,12.65,47004
47,5,345,300,86.96,45,13.04,47005
47,6,468,426,91.03,42,8.97,47006
47,7,428,381,89.02,47,10.98,47007
47,8,506,448,88.54,58,11.46,47008
47,9,405,367,90.62,38,9.38,47009
47,10,480,420,87.5,60,12.5,47010
47,11,555,508,91.53,47,8.47,47011
47,12,444,400,90.09,44,9.91,47012
47,13,508,462,90.94,46,9.06,47013
47,14,453,390,86.09,63,13.91,47014
47,15,427,374,87.59,53,12.41,47015
47,16,267,235,88.01,32,11.99,47016
47,17,388,347,89.43,41,10.57,47017
47,18,389,343,88.17,46,11.83,47018
47,19,374,335,89.57,39,10.43,47019
47,20,430,376,87.44,54,12.56,47020
47,22,287,258,89.9,29,10.1,47022
47,23,183,162,88.52,21,11.48,47023
47,24,284,246,86.62,38,13.38,47024
47,25,362,325,89.78,37,10.22,47025
47,26,574,503,87.63,71,12.37,47026
47,27,399,344,86.22,55,13.78,47027
47,28,480,443,92.29,37,7.71,47028
47,29,505,427,84.55,78,15.45,47029
47,33,365,324,88.77,41,11.23,47033
47,35,473,410,86.68,63,13.32,47035
47,36,478,434,90.79,44,9.21,47036
47,37,512,448,87.5,64,12.5,47037
47,38,389,350,89.97,39,10.03,47038
47,39,388,341,87.89,47,12.11,47039
47,40,319,282,88.4,37,11.6,47040
47,42,362,310,85.64,52,14.36,47042
47,43,570,490,85.96,80,14.04,47043
47,44,378,322,85.19,56,14.81,47044
47,45,354,312,88.14,42,11.86,47045
