ward,precinct,total,ROBERT GORDON III,ROBERT GORDON III Percent,"JESSE L. JACKSON, JR.","JESSE L. JACKSON, JR. Percent",precinct_id
17,26,398,4,1.01,394,98.99,17026
17,27,409,6,1.47,403,98.53,17027
17,28,271,7,2.58,264,97.42,17028
17,29,351,6,1.71,345,98.29,17029
17,30,365,6,1.64,359,98.36,17030
17,31,200,3,1.5,197,98.5,17031
17,32,386,2,0.52,384,99.48,17032
17,33,350,3,0.86,347,99.14,17033
17,34,320,10,3.13,310,96.88,17034
17,36,237,1,0.42,236,99.58,17036
17,37,306,1,0.33,305,99.67,17037
17,39,318,0,0.0,318,100.0,17039
17,40,358,4,1.12,354,98.88,17040
17,41,296,2,0.68,294,99.32,17041
17,42,220,2,0.91,218,99.09,17042
17,43,242,5,2.07,237,97.93,17043
17,45,219,9,4.11,210,95.89,17045
17,46,330,2,0.61,328,99.39,17046
17,47,225,2,0.89,223,99.11,17047
17,49,294,6,2.04,288,97.96,17049
17,51,368,4,1.09,364,98.91,17051
17,52,429,3,0.7,426,99.3,17052
17,55,293,3,1.02,290,98.98,17055
18,3,359,6,1.67,353,98.33,18003
18,6,170,1,0.59,169,99.41,18006
18,15,308,5,1.62,303,98.38,18015
18,19,218,3,1.38,215,98.62,18019
18,20,369,4,1.08,365,98.92,18020
18,24,391,7,1.79,384,98.21,18024
18,25,360,5,1.39,355,98.61,18025
18,26,496,8,1.61,488,98.39,18026
18,27,378,4,1.06,374,98.94,18027
18,28,307,7,2.28,300,97.72,18028
18,30,445,2,0.45,443,99.55,18030
18,32,427,6,1.41,421,98.59,18032
18,38,424,7,1.65,417,98.35,18038
18,39,372,4,1.08,368,98.92,18039
18,41,354,6,1.69,348,98.31,18041
18,42,368,5,1.36,363,98.64,18042
18,43,313,5,1.6,308,98.4,18043
18,44,448,8,1.79,440,98.21,18044
18,45,376,3,0.8,373,99.2,18045
18,46,322,6,1.86,316,98.14,18046
18,47,453,3,0.66,450,99.34,18047
18,48,201,1,0.5,200,99.5,18048
18,50,297,7,2.36,290,97.64,18050
18,51,382,6,1.57,376,98.43,18051
18,52,307,4,1.3,303,98.7,18052
18,53,407,4,0.98,403,99.02,18053
18,55,428,9,2.1,419,97.9,18055
18,56,344,2,0.58,342,99.42,18056
18,57,418,9,2.15,409,97.85,18057
18,58,319,3,0.94,316,99.06,18058
18,59,421,4,0.95,417,99.05,18059
18,60,328,6,1.83,322,98.17,18060
18,61,424,9,2.12,415,97.88,18061
18,62,271,5,1.85,266,98.15,18062
18,63,154,0,0.0,154,100.0,18063
19,43,450,13,2.89,437,97.11,19043
19,48,511,67,13.11,444,86.89,19048
19,49,36,3,8.33,33,91.67,19049
19,50,475,11,2.32,464,97.68,19050
19,60,384,13,3.39,371,96.61,19060
21,1,495,10,2.02,485,97.98,21001
21,3,511,8,1.57,503,98.43,21003
21,4,508,4,0.79,504,99.21,21004
21,6,339,5,1.47,334,98.53,21006
21,7,381,4,1.05,377,98.95,21007
21,8,371,6,1.62,365,98.38,21008
21,9,383,10,2.61,373,97.39,21009
21,10,287,5,1.74,282,98.26,21010
21,14,357,3,0.84,354,99.16,21014
21,15,221,3,1.36,218,98.64,21015
21,16,235,1,0.43,234,99.57,21016
21,18,317,5,1.58,312,98.42,21018
21,19,276,3,1.09,273,98.91,21019
21,20,0,0,0.0,0,0.0,21020
21,21,375,6,1.6,369,98.4,21021
21,22,380,11,2.89,369,97.11,21022
21,28,273,0,0.0,273,100.0,21028
21,29,284,5,1.76,279,98.24,21029
21,30,244,2,0.82,242,99.18,21030
21,33,395,7,1.77,388,98.23,21033
21,34,388,1,0.26,387,99.74,21034
21,35,292,2,0.68,290,99.32,21035
21,36,487,5,1.03,482,98.97,21036
21,38,353,5,1.42,348,98.58,21038
21,39,268,2,0.75,266,99.25,21039
21,40,321,2,0.62,319,99.38,21040
21,41,336,5,1.49,331,98.51,21041
21,44,356,8,2.25,348,97.75,21044
21,45,292,5,1.71,287,98.29,21045
21,49,435,4,0.92,431,99.08,21049
21,50,330,3,0.91,327,99.09,21050
21,51,422,14,3.32,408,96.68,21051
21,52,414,7,1.69,407,98.31,21052
21,54,310,1,0.32,309,99.68,21054
21,56,247,3,1.21,244,98.79,21056
21,57,257,3,1.17,254,98.83,21057
21,60,372,4,1.08,368,98.92,21060
21,61,425,4,0.94,421,99.06,21061
21,62,409,5,1.22,404,98.78,21062
21,63,344,2,0.58,342,99.42,21063
21,64,296,4,1.35,292,98.65,21064
21,66,313,4,1.28,309,98.72,21066
21,67,310,2,0.65,308,99.35,21067
21,68,217,3,1.38,214,98.62,21068
21,69,243,1,0.41,242,99.59,21069
34,1,444,5,1.13,439,98.87,34001
34,2,328,3,0.91,325,99.09,34002
34,3,323,2,0.62,321,99.38,34003
34,4,316,3,0.95,313,99.05,34004
34,5,251,2,0.8,249,99.2,34005
34,6,375,4,1.07,371,98.93,34006
34,7,431,3,0.7,428,99.3,34007
34,8,376,1,0.27,375,99.73,34008
34,9,320,2,0.63,318,99.38,34009
34,10,478,5,1.05,473,98.95,34010
34,11,363,0,0.0,363,100.0,34011
34,12,389,15,3.86,374,96.14,34012
34,13,250,3,1.2,247,98.8,34013
34,14,305,2,0.66,303,99.34,34014
34,15,302,3,0.99,299,99.01,34015
34,16,343,6,1.75,337,98.25,34016
34,17,437,10,2.29,427,97.71,34017
34,18,314,2,0.64,312,99.36,34018
34,19,348,5,1.44,343,98.56,34019
34,20,409,6,1.47,403,98.53,34020
34,21,473,3,0.63,470,99.37,34021
34,22,410,1,0.24,409,99.76,34022
34,23,337,5,1.48,332,98.52,34023
34,24,354,3,0.85,351,99.15,34024
34,26,318,2,0.63,316,99.37,34026
34,27,298,4,1.34,294,98.66,34027
34,28,304,2,0.66,302,99.34,34028
34,29,500,7,1.4,493,98.6,34029
34,30,426,4,0.94,422,99.06,34030
34,31,408,3,0.74,405,99.26,34031
34,32,373,8,2.14,365,97.86,34032
34,33,307,3,0.98,304,99.02,34033
34,34,363,3,0.83,360,99.17,34034
34,35,467,13,2.78,454,97.22,34035
34,36,457,6,1.31,451,98.69,34036
34,37,247,1,0.4,246,99.6,34037
34,38,287,5,1.74,282,98.26,34038
34,39,303,2,0.66,301,99.34,34039
34,40,475,4,0.84,471,99.16,34040
34,41,389,3,0.77,386,99.23,34041
34,42,438,5,1.14,433,98.86,34042
34,43,356,0,0.0,356,100.0,34043
34,44,398,3,0.75,395,99.25,34044
34,45,387,6,1.55,381,98.45,34045
34,47,203,3,1.48,200,98.52,34047
34,48,369,4,1.08,365,98.92,34048
34,49,410,5,1.22,405,98.78,34049
34,50,359,4,1.11,355,98.89,34050
34,51,541,9,1.66,532,98.34,34051
34,52,373,3,0.8,370,99.2,34052
34,53,355,5,1.41,350,98.59,34053
34,54,353,1,0.28,352,99.72,34054
34,55,317,2,0.63,315,99.37,34055
34,56,344,3,0.87,341,99.13,34056
34,57,281,2,0.71,279,99.29,34057
34,58,301,3,1.0,298,99.0,34058
34,59,362,8,2.21,354,97.79,34059
34,60,427,3,0.7,424,99.3,34060
34,61,339,7,2.06,332,97.94,34061
