ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Tony Cisneros,Tony Cisneros Percent,Jake Witmer,Jake Witmer Percent,precinct_id
12,27,149,115,77.18,30,20.13,4,2.68,12027
12,28,246,214,86.99,21,8.54,11,4.47,12028
12,29,260,220,84.62,29,11.15,11,4.23,12029
13,3,442,357,80.77,63,14.25,22,4.98,13003
14,1,212,179,84.43,28,13.21,5,2.36,14001
14,3,332,291,87.65,28,8.43,13,3.92,14003
14,4,253,215,84.98,31,12.25,7,2.77,14004
14,5,349,314,89.97,25,7.16,10,2.87,14005
14,6,260,222,85.38,32,12.31,6,2.31,14006
14,7,250,200,80.0,32,12.8,18,7.2,14007
14,8,192,167,86.98,12,6.25,13,6.77,14008
14,9,312,275,88.14,30,9.62,7,2.24,14009
14,10,292,244,83.56,39,13.36,9,3.08,14010
14,11,241,214,88.8,19,7.88,8,3.32,14011
14,12,205,180,87.8,21,10.24,4,1.95,14012
14,13,317,251,79.18,51,16.09,15,4.73,14013
14,14,212,192,90.57,16,7.55,4,1.89,14014
14,15,280,248,88.57,29,10.36,3,1.07,14015
14,16,296,236,79.73,44,14.86,16,5.41,14016
14,17,281,244,86.83,29,10.32,8,2.85,14017
14,18,258,217,84.11,26,10.08,15,5.81,14018
14,19,327,300,91.74,14,4.28,13,3.98,14019
14,20,255,208,81.57,33,12.94,14,5.49,14020
14,21,254,232,91.34,17,6.69,5,1.97,14021
14,22,252,213,84.52,26,10.32,13,5.16,14022
14,23,221,196,88.69,20,9.05,5,2.26,14023
14,24,191,181,94.76,10,5.24,0,0.0,14024
14,26,198,168,84.85,20,10.1,10,5.05,14026
14,27,185,141,76.22,29,15.68,15,8.11,14027
14,29,304,257,84.54,33,10.86,14,4.61,14029
14,30,221,173,78.28,27,12.22,21,9.5,14030
14,31,252,225,89.29,16,6.35,11,4.37,14031
14,32,219,209,95.43,6,2.74,4,1.83,14032
14,33,211,185,87.68,16,7.58,10,4.74,14033
14,34,249,216,86.75,25,10.04,8,3.21,14034
14,35,142,112,78.87,25,17.61,5,3.52,14035
14,36,304,268,88.16,28,9.21,8,2.63,14036
14,37,278,253,91.01,18,6.47,7,2.52,14037
16,21,274,249,90.88,19,6.93,6,2.19,16021
16,32,99,89,89.9,9,9.09,1,1.01,16032
20,4,217,203,93.55,12,5.53,2,0.92,20004
20,8,130,111,85.38,14,10.77,5,3.85,20008
20,15,95,85,89.47,7,7.37,3,3.16,20015
20,21,154,136,88.31,13,8.44,5,3.25,20021
20,43,145,123,84.83,17,11.72,5,3.45,20043
22,1,213,192,90.14,17,7.98,4,1.88,22001
22,2,186,168,90.32,16,8.6,2,1.08,22002
22,3,233,220,94.42,12,5.15,1,0.43,22003
22,4,264,245,92.8,17,6.44,2,0.76,22004
22,5,297,279,93.94,17,5.72,1,0.34,22005
22,6,250,234,93.6,14,5.6,2,0.8,22006
22,8,227,213,93.83,11,4.85,3,1.32,22008
22,9,293,280,95.56,12,4.1,1,0.34,22009
22,10,263,250,95.06,12,4.56,1,0.38,22010
22,11,268,250,93.28,14,5.22,4,1.49,22011
22,12,212,200,94.34,12,5.66,0,0.0,22012
22,13,296,266,89.86,28,9.46,2,0.68,22013
22,14,192,176,91.67,13,6.77,3,1.56,22014
22,15,240,215,89.58,18,7.5,7,2.92,22015
22,16,294,273,92.86,17,5.78,4,1.36,22016
22,17,257,237,92.22,16,6.23,4,1.56,22017
22,18,252,233,92.46,16,6.35,3,1.19,22018
22,20,299,274,91.64,21,7.02,4,1.34,22020
22,22,236,218,92.37,17,7.2,1,0.42,22022
22,23,175,170,97.14,4,2.29,1,0.57,22023
22,24,210,193,91.9,11,5.24,6,2.86,22024
22,25,211,196,92.89,11,5.21,4,1.9,22025
22,26,210,195,92.86,12,5.71,3,1.43,22026
22,27,250,235,94.0,13,5.2,2,0.8,22027
22,28,189,174,92.06,13,6.88,2,1.06,22028
22,29,193,184,95.34,3,1.55,6,3.11,22029
22,30,289,261,90.31,21,7.27,7,2.42,22030
23,9,382,305,79.84,58,15.18,19,4.97,23009
23,24,285,224,78.6,42,14.74,19,6.67,23024
23,29,329,283,86.02,32,9.73,14,4.26,23029
24,53,56,53,94.64,2,3.57,1,1.79,24053
24,57,309,294,95.15,14,4.53,1,0.32,24057
25,1,314,266,84.71,37,11.78,11,3.5,25001
25,2,489,438,89.57,39,7.98,12,2.45,25002
25,5,321,254,79.13,51,15.89,16,4.98,25005
25,6,286,246,86.01,22,7.69,18,6.29,25006
25,7,339,307,90.56,28,8.26,4,1.18,25007
25,8,389,362,93.06,20,5.14,7,1.8,25008
25,9,450,401,89.11,37,8.22,12,2.67,25009
25,11,383,341,89.03,34,8.88,8,2.09,25011
25,12,409,361,88.26,29,7.09,19,4.65,25012
25,13,431,397,92.11,26,6.03,8,1.86,25013
25,15,365,326,89.32,29,7.95,10,2.74,25015
25,17,517,467,90.33,36,6.96,14,2.71,25017
25,19,423,385,91.02,29,6.86,9,2.13,25019
25,20,383,343,89.56,27,7.05,13,3.39,25020
25,22,211,178,84.36,23,10.9,10,4.74,25022
25,23,437,405,92.68,22,5.03,10,2.29,25023
25,24,447,415,92.84,26,5.82,6,1.34,25024
25,30,374,339,90.64,27,7.22,8,2.14,25030
25,31,276,229,82.97,26,9.42,21,7.61,25031
26,1,233,198,84.98,26,11.16,9,3.86,26001
26,2,255,230,90.2,21,8.24,4,1.57,26002
26,3,236,198,83.9,27,11.44,11,4.66,26003
26,4,188,169,89.89,18,9.57,1,0.53,26004
26,5,323,281,87.0,32,9.91,10,3.1,26005
26,6,138,126,91.3,12,8.7,0,0.0,26006
26,7,150,120,80.0,22,14.67,8,5.33,26007
26,8,213,185,86.85,23,10.8,5,2.35,26008
26,9,192,169,88.02,15,7.81,8,4.17,26009
26,10,155,139,89.68,12,7.74,4,2.58,26010
26,11,251,209,83.27,30,11.95,12,4.78,26011
26,12,157,141,89.81,14,8.92,2,1.27,26012
26,13,243,199,81.89,28,11.52,16,6.58,26013
26,14,216,188,87.04,19,8.8,9,4.17,26014
26,15,226,188,83.19,30,13.27,8,3.54,26015
26,16,189,171,90.48,13,6.88,5,2.65,26016
26,18,152,134,88.16,15,9.87,3,1.97,26018
26,19,370,315,85.14,34,9.19,21,5.68,26019
26,20,350,302,86.29,38,10.86,10,2.86,26020
26,21,312,270,86.54,30,9.62,12,3.85,26021
26,22,199,163,81.91,27,13.57,9,4.52,26022
26,23,213,186,87.32,19,8.92,8,3.76,26023
26,24,202,165,81.68,25,12.38,12,5.94,26024
26,25,123,112,91.06,7,5.69,4,3.25,26025
26,26,192,175,91.15,9,4.69,8,4.17,26026
26,27,198,165,83.33,15,7.58,18,9.09,26027
26,28,203,167,82.27,23,11.33,13,6.4,26028
26,29,244,220,90.16,18,7.38,6,2.46,26029
26,30,265,243,91.7,17,6.42,5,1.89,26030
26,31,250,211,84.4,33,13.2,6,2.4,26031
26,32,280,218,77.86,50,17.86,12,4.29,26032
26,34,267,232,86.89,20,7.49,15,5.62,26034
26,35,260,200,76.92,46,17.69,14,5.38,26035
26,36,209,178,85.17,19,9.09,12,5.74,26036
26,37,138,114,82.61,17,12.32,7,5.07,26037
26,38,200,185,92.5,12,6.0,3,1.5,26038
26,39,216,194,89.81,18,8.33,4,1.85,26039
26,40,135,120,88.89,11,8.15,4,2.96,26040
26,41,196,172,87.76,14,7.14,10,5.1,26041
26,42,204,178,87.25,19,9.31,7,3.43,26042
26,43,192,166,86.46,20,10.42,6,3.13,26043
26,44,161,142,88.2,13,8.07,6,3.73,26044
26,45,256,222,86.72,21,8.2,13,5.08,26045
26,46,68,51,75.0,14,20.59,3,4.41,26046
26,47,157,134,85.35,18,11.46,5,3.18,26047
26,48,301,274,91.03,19,6.31,8,2.66,26048
26,49,169,148,87.57,15,8.88,6,3.55,26049
26,50,145,114,78.62,26,17.93,5,3.45,26050
26,51,202,176,87.13,19,9.41,7,3.47,26051
26,52,146,133,91.1,11,7.53,2,1.37,26052
26,53,186,159,85.48,19,10.22,8,4.3,26053
26,54,182,165,90.66,14,7.69,3,1.65,26054
26,55,149,134,89.93,12,8.05,3,2.01,26055
26,56,270,217,80.37,33,12.22,20,7.41,26056
26,57,173,157,90.75,12,6.94,4,2.31,26057
26,58,184,154,83.7,25,13.59,5,2.72,26058
26,59,218,195,89.45,15,6.88,8,3.67,26059
26,60,192,159,82.81,20,10.42,13,6.77,26060
26,61,133,114,85.71,17,12.78,2,1.5,26061
26,62,267,225,84.27,34,12.73,8,3.0,26062
26,63,103,89,86.41,10,9.71,4,3.88,26063
27,32,232,196,84.48,27,11.64,9,3.88,27032
27,35,679,556,81.89,95,13.99,28,4.12,27035
27,38,402,324,80.6,54,13.43,24,5.97,27038
27,41,412,326,79.13,73,17.72,13,3.16,27041
27,55,110,83,75.45,23,20.91,4,3.64,27055
27,56,283,227,80.21,37,13.07,19,6.71,27056
27,59,424,373,87.97,34,8.02,17,4.01,27059
28,29,266,254,95.49,10,3.76,2,0.75,28029
28,34,53,47,88.68,3,5.66,3,5.66,28034
28,38,142,121,85.21,19,13.38,2,1.41,28038
29,6,167,148,88.62,18,10.78,1,0.6,29006
29,7,196,169,86.22,20,10.2,7,3.57,29007
29,30,62,51,82.26,8,12.9,3,4.84,29030
29,39,331,292,88.22,27,8.16,12,3.63,29039
29,52,307,257,83.71,40,13.03,10,3.26,29052
29,53,75,61,81.33,10,13.33,4,5.33,29053
30,4,300,259,86.33,36,12.0,5,1.67,30004
30,5,199,173,86.93,20,10.05,6,3.02,30005
30,6,197,175,88.83,18,9.14,4,2.03,30006
30,17,17,13,76.47,3,17.65,1,5.88,30017
30,18,75,69,92.0,4,5.33,2,2.67,30018
30,19,198,177,89.39,9,4.55,12,6.06,30019
30,20,258,232,89.92,20,7.75,6,2.33,30020
30,21,151,131,86.75,17,11.26,3,1.99,30021
30,22,293,252,86.01,31,10.58,10,3.41,30022
30,23,266,233,87.59,27,10.15,6,2.26,30023
30,24,257,223,86.77,31,12.06,3,1.17,30024
30,25,146,117,80.14,22,15.07,7,4.79,30025
30,26,201,190,94.53,8,3.98,3,1.49,30026
30,27,368,331,89.95,32,8.7,5,1.36,30027
30,29,189,168,88.89,15,7.94,6,3.17,30029
30,31,234,215,91.88,16,6.84,3,1.28,30031
30,32,141,123,87.23,14,9.93,4,2.84,30032
30,33,278,258,92.81,14,5.04,6,2.16,30033
30,35,297,250,84.18,32,10.77,15,5.05,30035
30,36,267,215,80.52,36,13.48,16,5.99,30036
30,41,285,265,92.98,17,5.96,3,1.05,30041
30,43,227,172,75.77,41,18.06,14,6.17,30043
31,1,142,119,83.8,19,13.38,4,2.82,31001
31,2,189,156,82.54,24,12.7,9,4.76,31002
31,4,244,204,83.61,31,12.7,9,3.69,31004
31,5,277,219,79.06,48,17.33,10,3.61,31005
31,6,266,211,79.32,46,17.29,9,3.38,31006
31,7,265,229,86.42,29,10.94,7,2.64,31007
31,10,137,121,88.32,16,11.68,0,0.0,31010
31,11,174,141,81.03,28,16.09,5,2.87,31011
31,12,255,215,84.31,31,12.16,9,3.53,31012
31,13,283,233,82.33,42,14.84,8,2.83,31013
31,14,229,205,89.52,18,7.86,6,2.62,31014
31,16,61,49,80.33,8,13.11,4,6.56,31016
31,17,227,197,86.78,27,11.89,3,1.32,31017
31,18,228,183,80.26,44,19.3,1,0.44,31018
31,20,184,156,84.78,19,10.33,9,4.89,31020
31,21,266,242,90.98,19,7.14,5,1.88,31021
31,22,168,128,76.19,26,15.48,14,8.33,31022
31,23,153,130,84.97,22,14.38,1,0.65,31023
31,24,204,171,83.82,23,11.27,10,4.9,31024
31,25,232,202,87.07,26,11.21,4,1.72,31025
31,27,202,177,87.62,19,9.41,6,2.97,31027
31,30,248,210,84.68,28,11.29,10,4.03,31030
31,31,306,239,78.1,51,16.67,16,5.23,31031
31,34,191,172,90.05,16,8.38,3,1.57,31034
31,35,136,113,83.09,19,13.97,4,2.94,31035
31,36,283,248,87.63,22,7.77,13,4.59,31036
31,37,273,229,83.88,37,13.55,7,2.56,31037
31,39,195,165,84.62,21,10.77,9,4.62,31039
31,40,178,161,90.45,14,7.87,3,1.69,31040
31,42,256,217,84.77,34,13.28,5,1.95,31042
31,44,228,203,89.04,21,9.21,4,1.75,31044
31,49,157,140,89.17,11,7.01,6,3.82,31049
31,51,175,161,92.0,9,5.14,5,2.86,31051
32,1,92,81,88.04,9,9.78,2,2.17,32001
32,2,522,406,77.78,92,17.62,24,4.6,32002
32,3,424,348,82.08,66,15.57,10,2.36,32003
32,4,592,454,76.69,107,18.07,31,5.24,32004
32,5,403,314,77.92,66,16.38,23,5.71,32005
32,11,374,299,79.95,57,15.24,18,4.81,32011
32,12,190,157,82.63,30,15.79,3,1.58,32012
32,14,430,343,79.77,65,15.12,22,5.12,32014
32,16,464,353,76.08,91,19.61,20,4.31,32016
32,17,311,250,80.39,45,14.47,16,5.14,32017
32,28,346,269,77.75,62,17.92,15,4.34,32028
32,29,406,315,77.59,67,16.5,24,5.91,32029
32,31,634,470,74.13,134,21.14,30,4.73,32031
32,33,328,249,75.91,69,21.04,10,3.05,32033
32,34,597,439,73.53,128,21.44,30,5.03,32034
32,35,567,445,78.48,98,17.28,24,4.23,32035
32,36,674,492,73.0,149,22.11,33,4.9,32036
32,46,93,65,69.89,20,21.51,8,8.6,32046
32,52,328,267,81.4,54,16.46,7,2.13,32052
33,1,338,278,82.25,46,13.61,14,4.14,33001
33,2,551,430,78.04,100,18.15,21,3.81,33002
33,3,308,267,86.69,29,9.42,12,3.9,33003
33,4,356,292,82.02,44,12.36,20,5.62,33004
33,6,441,380,86.17,43,9.75,18,4.08,33006
33,8,431,345,80.05,68,15.78,18,4.18,33008
33,9,292,257,88.01,28,9.59,7,2.4,33009
33,11,442,372,84.16,49,11.09,21,4.75,33011
33,12,403,336,83.37,48,11.91,19,4.71,33012
33,13,522,452,86.59,46,8.81,24,4.6,33013
33,15,316,258,81.65,47,14.87,11,3.48,33015
33,17,405,328,80.99,57,14.07,20,4.94,33017
33,19,408,340,83.33,51,12.5,17,4.17,33019
33,20,305,271,88.85,25,8.2,9,2.95,33020
33,21,503,430,85.49,54,10.74,19,3.78,33021
33,22,177,151,85.31,19,10.73,7,3.95,33022
33,26,395,338,85.57,40,10.13,17,4.3,33026
33,27,317,246,77.6,55,17.35,16,5.05,33027
33,30,317,248,78.23,55,17.35,14,4.42,33030
33,31,410,341,83.17,55,13.41,14,3.41,33031
33,32,411,344,83.7,54,13.14,13,3.16,33032
33,33,377,317,84.08,40,10.61,20,5.31,33033
35,1,472,385,81.57,69,14.62,18,3.81,35001
35,2,349,295,84.53,45,12.89,9,2.58,35002
35,3,294,238,80.95,40,13.61,16,5.44,35003
35,4,397,306,77.08,67,16.88,24,6.05,35004
35,5,373,319,85.52,49,13.14,5,1.34,35005
35,6,414,346,83.57,50,12.08,18,4.35,35006
35,7,492,413,83.94,58,11.79,21,4.27,35007
35,8,393,335,85.24,48,12.21,10,2.54,35008
35,9,395,332,84.05,46,11.65,17,4.3,35009
35,10,434,372,85.71,43,9.91,19,4.38,35010
35,11,415,337,81.2,45,10.84,33,7.95,35011
35,12,465,374,80.43,64,13.76,27,5.81,35012
35,13,130,108,83.08,18,13.85,4,3.08,35013
35,14,474,398,83.97,48,10.13,28,5.91,35014
35,15,388,306,78.87,52,13.4,30,7.73,35015
35,16,422,348,82.46,45,10.66,29,6.87,35016
35,17,451,392,86.92,46,10.2,13,2.88,35017
35,18,492,409,83.13,60,12.2,23,4.67,35018
35,19,442,377,85.29,48,10.86,17,3.85,35019
35,20,384,320,83.33,49,12.76,15,3.91,35020
35,21,411,333,81.02,49,11.92,29,7.06,35021
35,23,262,234,89.31,22,8.4,6,2.29,35023
35,24,273,213,78.02,44,16.12,16,5.86,35024
35,25,423,334,78.96,59,13.95,30,7.09,35025
35,26,503,413,82.11,69,13.72,21,4.17,35026
35,27,466,381,81.76,59,12.66,26,5.58,35027
35,28,538,473,87.92,47,8.74,18,3.35,35028
35,29,475,384,80.84,68,14.32,23,4.84,35029
35,30,523,425,81.26,78,14.91,20,3.82,35030
35,31,246,201,81.71,29,11.79,16,6.5,35031
35,32,260,219,84.23,30,11.54,11,4.23,35032
35,34,423,355,83.92,47,11.11,21,4.96,35034
35,35,380,314,82.63,48,12.63,18,4.74,35035
35,36,349,266,76.22,70,20.06,13,3.72,35036
36,4,246,202,82.11,32,13.01,12,4.88,36004
36,33,136,104,76.47,28,20.59,4,2.94,36033
36,44,86,71,82.56,11,12.79,4,4.65,36044
36,54,82,68,82.93,13,15.85,1,1.22,36054
36,55,49,46,93.88,2,4.08,1,2.04,36055
37,1,194,163,84.02,25,12.89,6,3.09,37001
37,11,201,173,86.07,25,12.44,3,1.49,37011
37,39,179,143,79.89,28,15.64,8,4.47,37039
37,47,92,83,90.22,8,8.7,1,1.09,37047
37,50,313,276,88.18,28,8.95,9,2.88,37050
37,52,187,167,89.3,16,8.56,4,2.14,37052
