ward,precinct,total,"Edward (""""ED"""") Washington II","Edward (""""ED"""") Washington II Percent",precinct_id
5,29,331,331,100.0,05029
5,30,220,220,100.0,05030
5,31,272,272,100.0,05031
5,32,374,374,100.0,05032
5,33,165,165,100.0,05033
5,34,323,323,100.0,05034
5,35,267,267,100.0,05035
5,36,214,214,100.0,05036
5,37,260,260,100.0,05037
5,38,255,255,100.0,05038
5,39,232,232,100.0,05039
5,40,381,381,100.0,05040
5,41,229,229,100.0,05041
5,42,299,299,100.0,05042
5,43,304,304,100.0,05043
5,44,368,368,100.0,05044
5,45,181,181,100.0,05045
5,46,366,366,100.0,05046
5,47,249,249,100.0,05047
5,48,201,201,100.0,05048
5,49,65,65,100.0,05049
5,50,110,110,100.0,05050
5,51,221,221,100.0,05051
5,52,105,105,100.0,05052
5,53,286,286,100.0,05053
5,54,372,372,100.0,05054
5,55,197,197,100.0,05055
6,7,336,336,100.0,06007
6,15,279,279,100.0,06015
6,18,99,99,100.0,06018
6,20,268,268,100.0,06020
6,30,248,248,100.0,06030
6,32,317,317,100.0,06032
6,33,332,332,100.0,06033
6,39,12,12,100.0,06039
6,48,299,299,100.0,06048
6,61,181,181,100.0,06061
6,65,111,111,100.0,06065
6,66,303,303,100.0,06066
7,9,257,257,100.0,07009
7,11,271,271,100.0,07011
7,35,144,144,100.0,07035
7,40,269,269,100.0,07040
7,44,306,306,100.0,07044
7,45,361,361,100.0,07045
7,50,177,177,100.0,07050
7,64,214,214,100.0,07064
8,57,268,268,100.0,08057
8,69,20,20,100.0,08069
8,70,395,395,100.0,08070
11,12,137,137,100.0,11012
11,13,171,171,100.0,11013
11,15,132,132,100.0,11015
11,27,102,102,100.0,11027
11,28,133,133,100.0,11028
11,31,115,115,100.0,11031
11,32,125,125,100.0,11032
11,34,73,73,100.0,11034
11,39,228,228,100.0,11039
11,42,87,87,100.0,11042
11,43,170,170,100.0,11043
11,45,76,76,100.0,11045
11,46,56,56,100.0,11046
11,47,136,136,100.0,11047
11,48,63,63,100.0,11048
11,49,133,133,100.0,11049
15,2,180,180,100.0,15002
15,3,202,202,100.0,15003
15,4,212,212,100.0,15004
15,5,201,201,100.0,15005
15,7,216,216,100.0,15007
15,12,146,146,100.0,15012
15,17,242,242,100.0,15017
15,18,163,163,100.0,15018
15,19,181,181,100.0,15019
15,20,168,168,100.0,15020
15,21,198,198,100.0,15021
15,23,160,160,100.0,15023
15,26,164,164,100.0,15026
15,31,167,167,100.0,15031
15,33,175,175,100.0,15033
15,34,6,6,100.0,15034
15,35,184,184,100.0,15035
15,36,193,193,100.0,15036
15,37,178,178,100.0,15037
15,39,229,229,100.0,15039
15,40,219,219,100.0,15040
15,42,145,145,100.0,15042
15,43,180,180,100.0,15043
15,46,31,31,100.0,15046
15,47,193,193,100.0,15047
15,51,124,124,100.0,15051
15,52,119,119,100.0,15052
16,3,194,194,100.0,16003
16,5,221,221,100.0,16005
16,6,75,75,100.0,16006
16,8,156,156,100.0,16008
16,9,260,260,100.0,16009
16,10,177,177,100.0,16010
16,12,172,172,100.0,16012
16,14,203,203,100.0,16014
16,15,217,217,100.0,16015
16,16,211,211,100.0,16016
16,18,211,211,100.0,16018
16,19,173,173,100.0,16019
16,20,181,181,100.0,16020
16,22,164,164,100.0,16022
16,24,123,123,100.0,16024
16,25,169,169,100.0,16025
16,26,200,200,100.0,16026
16,27,202,202,100.0,16027
16,28,227,227,100.0,16028
16,29,123,123,100.0,16029
16,30,156,156,100.0,16030
16,31,211,211,100.0,16031
16,33,191,191,100.0,16033
16,34,185,185,100.0,16034
16,36,225,225,100.0,16036
16,37,220,220,100.0,16037
16,38,208,208,100.0,16038
16,40,230,230,100.0,16040
16,41,100,100,100.0,16041
16,43,199,199,100.0,16043
16,44,1,1,100.0,16044
16,45,144,144,100.0,16045
16,46,49,49,100.0,16046
16,47,107,107,100.0,16047
17,1,168,168,100.0,17001
17,6,193,193,100.0,17006
17,8,194,194,100.0,17008
17,13,163,163,100.0,17013
17,14,235,235,100.0,17014
17,16,202,202,100.0,17016
17,17,213,213,100.0,17017
17,19,110,110,100.0,17019
17,34,216,216,100.0,17034
17,36,160,160,100.0,17036
17,39,184,184,100.0,17039
17,41,189,189,100.0,17041
17,42,211,211,100.0,17042
17,43,203,203,100.0,17043
17,45,183,183,100.0,17045
17,46,247,247,100.0,17046
17,49,195,195,100.0,17049
17,58,113,113,100.0,17058
20,1,288,288,100.0,20001
20,2,200,200,100.0,20002
20,3,275,275,100.0,20003
20,5,136,136,100.0,20005
20,6,221,221,100.0,20006
20,7,136,136,100.0,20007
20,9,230,230,100.0,20009
20,10,224,224,100.0,20010
20,11,220,220,100.0,20011
20,12,81,81,100.0,20012
20,13,91,91,100.0,20013
20,14,337,337,100.0,20014
20,16,91,91,100.0,20016
20,17,263,263,100.0,20017
20,18,326,326,100.0,20018
20,19,112,112,100.0,20019
20,20,143,143,100.0,20020
20,22,269,269,100.0,20022
20,23,269,269,100.0,20023
20,24,421,421,100.0,20024
20,25,187,187,100.0,20025
20,26,200,200,100.0,20026
20,27,172,172,100.0,20027
20,28,266,266,100.0,20028
20,29,240,240,100.0,20029
20,30,222,222,100.0,20030
20,31,219,219,100.0,20031
20,32,436,436,100.0,20032
20,33,315,315,100.0,20033
20,34,339,339,100.0,20034
20,35,167,167,100.0,20035
20,36,290,290,100.0,20036
20,37,154,154,100.0,20037
20,38,36,36,100.0,20038
20,39,218,218,100.0,20039
20,40,162,162,100.0,20040
20,42,256,256,100.0,20042
20,44,191,191,100.0,20044
20,45,50,50,100.0,20045
20,46,173,173,100.0,20046
20,47,149,149,100.0,20047
20,48,120,120,100.0,20048
20,49,201,201,100.0,20049
20,50,174,174,100.0,20050
20,51,7,7,100.0,20051
20,52,122,122,100.0,20052
20,53,36,36,100.0,20053
20,54,153,153,100.0,20054
20,55,115,115,100.0,20055
