ward,precinct,total,"Leroy K. Martin, Jr.","Leroy K. Martin, Jr. Percent",precinct_id
7,12,264,264,100.0,07012
7,13,235,235,100.0,07013
7,14,375,375,100.0,07014
7,15,208,208,100.0,07015
7,16,290,290,100.0,07016
7,17,211,211,100.0,07017
7,18,242,242,100.0,07018
7,19,497,497,100.0,07019
7,20,186,186,100.0,07020
7,21,307,307,100.0,07021
7,22,249,249,100.0,07022
7,23,204,204,100.0,07023
7,24,247,247,100.0,07024
7,25,347,347,100.0,07025
7,26,371,371,100.0,07026
7,27,392,392,100.0,07027
7,28,369,369,100.0,07028
7,29,170,170,100.0,07029
7,30,298,298,100.0,07030
7,31,292,292,100.0,07031
7,32,288,288,100.0,07032
7,33,203,203,100.0,07033
7,34,257,257,100.0,07034
7,36,360,360,100.0,07036
7,37,117,117,100.0,07037
7,38,229,229,100.0,07038
7,39,272,272,100.0,07039
7,41,220,220,100.0,07041
7,42,484,484,100.0,07042
7,43,322,322,100.0,07043
7,46,82,82,100.0,07046
7,47,253,253,100.0,07047
7,48,148,148,100.0,07048
7,49,169,169,100.0,07049
7,51,264,264,100.0,07051
7,52,254,254,100.0,07052
7,53,229,229,100.0,07053
7,54,156,156,100.0,07054
7,55,238,238,100.0,07055
7,56,259,259,100.0,07056
7,57,240,240,100.0,07057
7,58,309,309,100.0,07058
7,59,180,180,100.0,07059
7,60,193,193,100.0,07060
7,61,246,246,100.0,07061
7,62,240,240,100.0,07062
7,63,267,267,100.0,07063
7,65,290,290,100.0,07065
8,1,371,371,100.0,08001
8,2,190,190,100.0,08002
8,3,392,392,100.0,08003
8,4,315,315,100.0,08004
8,5,368,368,100.0,08005
8,6,363,363,100.0,08006
8,7,281,281,100.0,08007
8,8,365,365,100.0,08008
8,9,393,393,100.0,08009
8,10,433,433,100.0,08010
8,11,302,302,100.0,08011
8,12,336,336,100.0,08012
8,13,286,286,100.0,08013
8,14,370,370,100.0,08014
8,15,284,284,100.0,08015
8,16,348,348,100.0,08016
8,17,276,276,100.0,08017
8,18,254,254,100.0,08018
8,19,400,400,100.0,08019
8,20,277,277,100.0,08020
8,21,242,242,100.0,08021
8,22,295,295,100.0,08022
8,23,342,342,100.0,08023
8,24,343,343,100.0,08024
8,25,348,348,100.0,08025
8,26,273,273,100.0,08026
8,27,336,336,100.0,08027
8,28,296,296,100.0,08028
8,29,421,421,100.0,08029
8,30,282,282,100.0,08030
8,31,256,256,100.0,08031
8,32,517,517,100.0,08032
8,33,333,333,100.0,08033
8,34,390,390,100.0,08034
8,35,404,404,100.0,08035
8,36,342,342,100.0,08036
8,37,435,435,100.0,08037
8,38,363,363,100.0,08038
8,39,386,386,100.0,08039
8,40,371,371,100.0,08040
8,41,322,322,100.0,08041
8,42,342,342,100.0,08042
8,43,342,342,100.0,08043
8,44,226,226,100.0,08044
8,45,310,310,100.0,08045
8,46,283,283,100.0,08046
8,47,350,350,100.0,08047
8,48,257,257,100.0,08048
8,49,393,393,100.0,08049
8,50,353,353,100.0,08050
8,51,404,404,100.0,08051
8,52,330,330,100.0,08052
8,53,344,344,100.0,08053
8,54,356,356,100.0,08054
8,55,424,424,100.0,08055
8,56,396,396,100.0,08056
8,58,367,367,100.0,08058
8,59,253,253,100.0,08059
8,60,311,311,100.0,08060
8,61,274,274,100.0,08061
8,62,291,291,100.0,08062
8,63,374,374,100.0,08063
8,64,333,333,100.0,08064
8,65,226,226,100.0,08065
8,66,462,462,100.0,08066
8,67,199,199,100.0,08067
8,68,298,298,100.0,08068
8,69,200,200,100.0,08069
9,13,403,403,100.0,09013
9,35,315,315,100.0,09035
9,52,293,293,100.0,09052
9,54,269,269,100.0,09054
9,56,182,182,100.0,09056
9,58,260,260,100.0,09058
10,1,259,259,100.0,10001
10,2,186,186,100.0,10002
10,3,227,227,100.0,10003
10,4,229,229,100.0,10004
10,5,188,188,100.0,10005
10,6,240,240,100.0,10006
10,7,65,65,100.0,10007
10,8,207,207,100.0,10008
10,9,208,208,100.0,10009
10,10,199,199,100.0,10010
10,11,225,225,100.0,10011
10,12,181,181,100.0,10012
10,13,162,162,100.0,10013
10,14,222,222,100.0,10014
10,15,107,107,100.0,10015
10,16,203,203,100.0,10016
10,17,180,180,100.0,10017
10,18,265,265,100.0,10018
10,19,255,255,100.0,10019
10,20,177,177,100.0,10020
10,21,150,150,100.0,10021
10,22,65,65,100.0,10022
10,23,208,208,100.0,10023
10,24,180,180,100.0,10024
10,25,285,285,100.0,10025
10,26,214,214,100.0,10026
10,27,248,248,100.0,10027
10,28,239,239,100.0,10028
10,29,255,255,100.0,10029
10,30,247,247,100.0,10030
10,31,239,239,100.0,10031
10,32,241,241,100.0,10032
10,33,226,226,100.0,10033
10,34,252,252,100.0,10034
10,35,220,220,100.0,10035
10,36,283,283,100.0,10036
10,37,242,242,100.0,10037
10,38,250,250,100.0,10038
10,39,218,218,100.0,10039
10,40,181,181,100.0,10040
10,41,248,248,100.0,10041
10,42,196,196,100.0,10042
10,43,163,163,100.0,10043
10,44,223,223,100.0,10044
10,45,138,138,100.0,10045
10,46,232,232,100.0,10046
10,47,194,194,100.0,10047
10,48,243,243,100.0,10048
10,49,216,216,100.0,10049
17,2,249,249,100.0,17002
17,3,251,251,100.0,17003
17,4,384,384,100.0,17004
17,5,228,228,100.0,17005
17,7,340,340,100.0,17007
17,9,191,191,100.0,17009
17,10,267,267,100.0,17010
17,12,312,312,100.0,17012
17,15,268,268,100.0,17015
17,18,295,295,100.0,17018
17,20,283,283,100.0,17020
17,21,355,355,100.0,17021
17,22,291,291,100.0,17022
17,23,222,222,100.0,17023
17,24,311,311,100.0,17024
17,25,173,173,100.0,17025
17,26,344,344,100.0,17026
17,27,311,311,100.0,17027
17,28,259,259,100.0,17028
17,29,294,294,100.0,17029
17,30,314,314,100.0,17030
17,31,282,282,100.0,17031
17,33,235,235,100.0,17033
17,35,172,172,100.0,17035
17,37,282,282,100.0,17037
17,38,285,285,100.0,17038
17,44,243,243,100.0,17044
17,47,176,176,100.0,17047
17,48,294,294,100.0,17048
17,50,285,285,100.0,17050
17,51,336,336,100.0,17051
17,52,325,325,100.0,17052
17,53,260,260,100.0,17053
17,54,306,306,100.0,17054
17,55,254,254,100.0,17055
18,20,294,294,100.0,18020
18,30,260,260,100.0,18030
18,38,345,345,100.0,18038
18,51,196,196,100.0,18051
18,52,259,259,100.0,18052
18,53,270,270,100.0,18053
18,60,376,376,100.0,18060
18,61,320,320,100.0,18061
18,63,291,291,100.0,18063
21,2,138,138,100.0,21002
21,15,296,296,100.0,21015
21,16,298,298,100.0,21016
21,17,147,147,100.0,21017
21,29,122,122,100.0,21029
21,32,204,204,100.0,21032
21,34,367,367,100.0,21034
21,35,36,36,100.0,21035
21,36,271,271,100.0,21036
21,37,196,196,100.0,21037
21,39,133,133,100.0,21039
21,41,279,279,100.0,21041
21,52,365,365,100.0,21052
21,57,313,313,100.0,21057
21,62,302,302,100.0,21062
21,65,257,257,100.0,21065
21,67,262,262,100.0,21067
21,68,107,107,100.0,21068
21,69,260,260,100.0,21069
21,70,228,228,100.0,21070
21,71,223,223,100.0,21071
21,72,279,279,100.0,21072
21,73,352,352,100.0,21073
21,74,145,145,100.0,21074
21,75,31,31,100.0,21075
21,76,303,303,100.0,21076
