ward,precinct,total,John Kerry and John Edwards,John Kerry and John Edwards Percent,George Bush and Dick Cheney,George Bush and Dick Cheney Percent,M. Badnarik and R. Campagna,M. Badnarik and R. Campagna Percent,precinct_id
2,16,610,434,71.15,168,27.54,8,1.31,02016
2,17,413,393,95.16,20,4.84,0,0.0,02017
2,18,1308,870,66.51,428,32.72,10,0.76,02018
2,19,212,209,98.58,2,0.94,1,0.47,02019
2,20,443,417,94.13,24,5.42,2,0.45,02020
2,21,440,389,88.41,50,11.36,1,0.23,02021
2,22,658,470,71.43,185,28.12,3,0.46,02022
2,23,280,261,93.21,17,6.07,2,0.71,02023
2,24,252,241,95.63,11,4.37,0,0.0,02024
2,25,274,219,79.93,55,20.07,0,0.0,02025
2,26,745,581,77.99,161,21.61,3,0.4,02026
2,27,293,288,98.29,4,1.37,1,0.34,02027
2,28,354,229,64.69,122,34.46,3,0.85,02028
2,29,173,138,79.77,35,20.23,0,0.0,02029
2,30,350,346,98.86,2,0.57,2,0.57,02030
2,31,380,364,95.79,15,3.95,1,0.26,02031
2,32,253,251,99.21,1,0.4,1,0.4,02032
2,33,318,310,97.48,7,2.2,1,0.31,02033
2,34,357,340,95.24,16,4.48,1,0.28,02034
2,35,277,213,76.9,59,21.3,5,1.81,02035
2,36,193,187,96.89,6,3.11,0,0.0,02036
2,37,578,432,74.74,143,24.74,3,0.52,02037
2,38,456,415,91.01,40,8.77,1,0.22,02038
2,39,444,390,87.84,53,11.94,1,0.23,02039
2,40,529,449,84.88,79,14.93,1,0.19,02040
2,41,273,266,97.44,7,2.56,0,0.0,02041
2,42,231,193,83.55,37,16.02,1,0.43,02042
2,43,574,470,81.88,98,17.07,6,1.05,02043
2,44,255,245,96.08,10,3.92,0,0.0,02044
2,45,423,407,96.22,15,3.55,1,0.24,02045
2,46,484,468,96.69,16,3.31,0,0.0,02046
2,47,336,317,94.35,18,5.36,1,0.3,02047
2,48,309,303,98.06,6,1.94,0,0.0,02048
2,49,739,576,77.94,152,20.57,11,1.49,02049
2,50,313,240,76.68,72,23.0,1,0.32,02050
2,51,359,343,95.54,15,4.18,1,0.28,02051
2,52,439,426,97.04,12,2.73,1,0.23,02052
2,53,255,243,95.29,12,4.71,0,0.0,02053
2,54,610,478,78.36,126,20.66,6,0.98,02054
2,55,132,107,81.06,22,16.67,3,2.27,02055
2,56,317,302,95.27,15,4.73,0,0.0,02056
2,57,171,159,92.98,10,5.85,2,1.17,02057
2,58,322,281,87.27,37,11.49,4,1.24,02058
2,59,410,345,84.15,61,14.88,4,0.98,02059
3,1,290,282,97.24,5,1.72,3,1.03,03001
3,2,463,451,97.41,12,2.59,0,0.0,03002
3,3,328,278,84.76,50,15.24,0,0.0,03003
3,4,138,135,97.83,2,1.45,1,0.72,03004
3,5,217,206,94.93,11,5.07,0,0.0,03005
3,6,350,346,98.86,2,0.57,2,0.57,03006
3,7,306,296,96.73,10,3.27,0,0.0,03007
3,8,88,88,100.0,0,0.0,0,0.0,03008
3,9,272,267,98.16,3,1.1,2,0.74,03009
3,10,189,184,97.35,5,2.65,0,0.0,03010
3,11,219,213,97.26,5,2.28,1,0.46,03011
3,12,384,364,94.79,19,4.95,1,0.26,03012
3,13,253,192,75.89,58,22.92,3,1.19,03013
3,14,186,176,94.62,9,4.84,1,0.54,03014
3,15,431,421,97.68,10,2.32,0,0.0,03015
3,16,627,605,96.49,19,3.03,3,0.48,03016
3,17,271,270,99.63,1,0.37,0,0.0,03017
3,18,223,214,95.96,9,4.04,0,0.0,03018
3,19,134,132,98.51,1,0.75,1,0.75,03019
3,20,7,7,100.0,0,0.0,0,0.0,03020
3,21,233,226,97.0,6,2.58,1,0.43,03021
3,22,245,234,95.51,11,4.49,0,0.0,03022
3,23,45,45,100.0,0,0.0,0,0.0,03023
3,24,293,286,97.61,6,2.05,1,0.34,03024
3,25,17,17,100.0,0,0.0,0,0.0,03025
3,26,238,233,97.9,4,1.68,1,0.42,03026
3,27,14,13,92.86,1,7.14,0,0.0,03027
3,28,295,290,98.31,2,0.68,3,1.02,03028
3,29,266,258,96.99,8,3.01,0,0.0,03029
3,30,266,264,99.25,1,0.38,1,0.38,03030
3,31,477,468,98.11,9,1.89,0,0.0,03031
3,32,335,330,98.51,5,1.49,0,0.0,03032
3,33,445,431,96.85,9,2.02,5,1.12,03033
3,34,227,219,96.48,7,3.08,1,0.44,03034
3,35,344,331,96.22,11,3.2,2,0.58,03035
3,36,193,187,96.89,5,2.59,1,0.52,03036
3,37,184,180,97.83,3,1.63,1,0.54,03037
3,38,73,71,97.26,2,2.74,0,0.0,03038
3,39,392,381,97.19,11,2.81,0,0.0,03039
3,40,272,260,95.59,9,3.31,3,1.1,03040
3,41,372,366,98.39,5,1.34,1,0.27,03041
3,42,332,322,96.99,9,2.71,1,0.3,03042
3,43,94,91,96.81,3,3.19,0,0.0,03043
3,44,233,230,98.71,2,0.86,1,0.43,03044
3,45,129,125,96.9,4,3.1,0,0.0,03045
3,46,282,271,96.1,9,3.19,2,0.71,03046
3,47,262,258,98.47,4,1.53,0,0.0,03047
3,48,326,317,97.24,7,2.15,2,0.61,03048
3,49,124,123,99.19,1,0.81,0,0.0,03049
3,50,316,312,98.73,4,1.27,0,0.0,03050
3,51,132,96,72.73,35,26.52,1,0.76,03051
3,52,185,182,98.38,3,1.62,0,0.0,03052
3,53,439,362,82.46,70,15.95,7,1.59,03053
3,54,154,111,72.08,42,27.27,1,0.65,03054
3,55,302,294,97.35,7,2.32,1,0.33,03055
3,56,281,267,95.02,12,4.27,2,0.71,03056
3,57,408,402,98.53,6,1.47,0,0.0,03057
3,58,115,113,98.26,2,1.74,0,0.0,03058
3,59,202,196,97.03,6,2.97,0,0.0,03059
3,60,414,401,96.86,11,2.66,2,0.48,03060
3,61,325,271,83.38,54,16.62,0,0.0,03061
3,62,269,263,97.77,5,1.86,1,0.37,03062
3,63,670,485,72.39,181,27.01,4,0.6,03063
4,1,435,399,91.72,34,7.82,2,0.46,04001
4,2,494,469,94.94,24,4.86,1,0.2,04002
4,3,628,613,97.61,14,2.23,1,0.16,04003
4,4,602,583,96.84,19,3.16,0,0.0,04004
4,5,474,455,95.99,17,3.59,2,0.42,04005
4,6,158,155,98.1,3,1.9,0,0.0,04006
4,7,331,315,95.17,14,4.23,2,0.6,04007
4,8,454,438,96.48,16,3.52,0,0.0,04008
4,9,673,652,96.88,18,2.67,3,0.45,04009
4,10,552,538,97.46,12,2.17,2,0.36,04010
4,11,482,465,96.47,17,3.53,0,0.0,04011
4,12,264,252,95.45,10,3.79,2,0.76,04012
4,13,362,349,96.41,12,3.31,1,0.28,04013
4,14,402,394,98.01,6,1.49,2,0.5,04014
4,15,292,278,95.21,11,3.77,3,1.03,04015
4,16,584,572,97.95,9,1.54,3,0.51,04016
4,17,499,425,85.17,67,13.43,7,1.4,04017
4,18,556,543,97.66,12,2.16,1,0.18,04018
4,19,519,505,97.3,14,2.7,0,0.0,04019
4,20,211,206,97.63,2,0.95,3,1.42,04020
4,21,514,484,94.16,26,5.06,4,0.78,04021
4,22,542,495,91.33,46,8.49,1,0.18,04022
4,23,357,324,90.76,33,9.24,0,0.0,04023
4,24,521,495,95.01,24,4.61,2,0.38,04024
4,25,402,375,93.28,26,6.47,1,0.25,04025
4,26,492,480,97.56,11,2.24,1,0.2,04026
4,27,407,390,95.82,16,3.93,1,0.25,04027
4,28,362,330,91.16,32,8.84,0,0.0,04028
4,29,357,310,86.83,46,12.89,1,0.28,04029
4,30,201,198,98.51,3,1.49,0,0.0,04030
4,31,97,96,98.97,0,0.0,1,1.03,04031
4,32,532,474,89.1,58,10.9,0,0.0,04032
4,33,211,205,97.16,6,2.84,0,0.0,04033
4,34,347,305,87.9,40,11.53,2,0.58,04034
4,35,313,306,97.76,7,2.24,0,0.0,04035
4,36,255,247,96.86,8,3.14,0,0.0,04036
4,37,275,265,96.36,10,3.64,0,0.0,04037
4,38,650,605,93.08,45,6.92,0,0.0,04038
4,39,313,311,99.36,2,0.64,0,0.0,04039
4,40,463,439,94.82,19,4.1,5,1.08,04040
4,41,268,237,88.43,28,10.45,3,1.12,04041
4,42,460,424,92.17,35,7.61,1,0.22,04042
4,43,348,331,95.11,15,4.31,2,0.57,04043
4,44,392,357,91.07,30,7.65,5,1.28,04044
4,45,598,554,92.64,44,7.36,0,0.0,04045
4,46,415,393,94.7,21,5.06,1,0.24,04046
4,47,810,750,92.59,55,6.79,5,0.62,04047
4,48,616,561,91.07,54,8.77,1,0.16,04048
4,49,254,246,96.85,7,2.76,1,0.39,04049
4,50,374,360,96.26,13,3.48,1,0.27,04050
4,51,455,438,96.26,15,3.3,2,0.44,04051
4,52,150,149,99.33,0,0.0,1,0.67,04052
4,53,405,374,92.35,29,7.16,2,0.49,04053
4,54,283,266,93.99,14,4.95,3,1.06,04054
4,55,364,330,90.66,30,8.24,4,1.1,04055
4,56,499,486,97.39,12,2.4,1,0.2,04056
4,57,189,178,94.18,11,5.82,0,0.0,04057
5,1,504,490,97.22,13,2.58,1,0.2,05001
5,2,436,423,97.02,13,2.98,0,0.0,05002
5,3,282,263,93.26,18,6.38,1,0.35,05003
5,4,314,308,98.09,5,1.59,1,0.32,05004
5,5,431,413,95.82,14,3.25,4,0.93,05005
5,6,518,503,97.1,14,2.7,1,0.19,05006
5,7,453,436,96.25,16,3.53,1,0.22,05007
5,8,568,514,90.49,50,8.8,4,0.7,05008
5,9,423,414,97.87,8,1.89,1,0.24,05009
5,10,500,490,98.0,10,2.0,0,0.0,05010
5,11,473,434,91.75,36,7.61,3,0.63,05011
5,12,343,330,96.21,13,3.79,0,0.0,05012
5,13,371,362,97.57,9,2.43,0,0.0,05013
5,14,566,525,92.76,39,6.89,2,0.35,05014
5,15,458,423,92.36,31,6.77,4,0.87,05015
5,16,428,415,96.96,12,2.8,1,0.23,05016
5,17,521,513,98.46,8,1.54,0,0.0,05017
5,18,517,504,97.49,12,2.32,1,0.19,05018
5,19,255,247,96.86,7,2.75,1,0.39,05019
5,20,274,262,95.62,11,4.01,1,0.36,05020
5,21,520,503,96.73,16,3.08,1,0.19,05021
5,22,383,373,97.39,7,1.83,3,0.78,05022
5,23,358,354,98.88,4,1.12,0,0.0,05023
5,24,306,291,95.1,15,4.9,0,0.0,05024
5,25,541,523,96.67,16,2.96,2,0.37,05025
5,26,467,454,97.22,11,2.36,2,0.43,05026
5,27,801,678,84.64,112,13.98,11,1.37,05027
5,28,432,409,94.68,23,5.32,0,0.0,05028
5,29,467,458,98.07,8,1.71,1,0.21,05029
5,30,440,388,88.18,47,10.68,5,1.14,05030
5,31,419,402,95.94,15,3.58,2,0.48,05031
5,32,573,541,94.42,31,5.41,1,0.17,05032
5,33,255,249,97.65,6,2.35,0,0.0,05033
5,34,452,431,95.35,19,4.2,2,0.44,05034
5,35,402,347,86.32,51,12.69,4,1.0,05035
5,36,332,323,97.29,9,2.71,0,0.0,05036
5,37,387,353,91.21,31,8.01,3,0.78,05037
5,38,429,387,90.21,35,8.16,7,1.63,05038
5,39,501,454,90.62,44,8.78,3,0.6,05039
5,40,549,533,97.09,14,2.55,2,0.36,05040
5,41,435,385,88.51,47,10.8,3,0.69,05041
5,42,507,488,96.25,15,2.96,4,0.79,05042
5,43,440,425,96.59,14,3.18,1,0.23,05043
5,44,556,540,97.12,15,2.7,1,0.18,05044
5,45,301,292,97.01,8,2.66,1,0.33,05045
5,46,566,502,88.69,57,10.07,7,1.24,05046
5,47,401,388,96.76,13,3.24,0,0.0,05047
5,48,329,312,94.83,16,4.86,1,0.3,05048
5,49,96,95,98.96,1,1.04,0,0.0,05049
5,50,428,419,97.9,8,1.87,1,0.23,05050
5,51,345,338,97.97,6,1.74,1,0.29,05051
5,52,169,157,92.9,10,5.92,2,1.18,05052
5,53,469,425,90.62,42,8.96,2,0.43,05053
5,54,537,517,96.28,20,3.72,0,0.0,05054
5,55,345,333,96.52,12,3.48,0,0.0,05055
6,1,460,441,95.87,18,3.91,1,0.22,06001
6,2,463,450,97.19,13,2.81,0,0.0,06002
6,3,457,443,96.94,14,3.06,0,0.0,06003
6,4,322,309,95.96,12,3.73,1,0.31,06004
6,5,338,334,98.82,4,1.18,0,0.0,06005
6,6,371,367,98.92,4,1.08,0,0.0,06006
6,7,520,501,96.35,18,3.46,1,0.19,06007
6,8,383,373,97.39,9,2.35,1,0.26,06008
6,9,281,273,97.15,8,2.85,0,0.0,06009
6,10,469,460,98.08,8,1.71,1,0.21,06010
6,11,428,415,96.96,11,2.57,2,0.47,06011
6,12,461,448,97.18,13,2.82,0,0.0,06012
6,13,433,420,97.0,12,2.77,1,0.23,06013
6,14,503,493,98.01,10,1.99,0,0.0,06014
6,15,512,493,96.29,16,3.13,3,0.59,06015
6,16,455,445,97.8,10,2.2,0,0.0,06016
6,17,497,483,97.18,13,2.62,1,0.2,06017
6,18,162,154,95.06,8,4.94,0,0.0,06018
6,19,505,491,97.23,13,2.57,1,0.2,06019
6,20,449,435,96.88,14,3.12,0,0.0,06020
6,21,380,358,94.21,21,5.53,1,0.26,06021
6,22,437,422,96.57,15,3.43,0,0.0,06022
6,23,395,374,94.68,19,4.81,2,0.51,06023
6,24,444,440,99.1,4,0.9,0,0.0,06024
6,25,340,333,97.94,5,1.47,2,0.59,06025
6,26,492,482,97.97,9,1.83,1,0.2,06026
6,27,515,505,98.06,10,1.94,0,0.0,06027
6,28,641,621,96.88,20,3.12,0,0.0,06028
6,29,480,462,96.25,18,3.75,0,0.0,06029
6,30,431,420,97.45,11,2.55,0,0.0,06030
6,31,486,467,96.09,17,3.5,2,0.41,06031
6,32,526,510,96.96,16,3.04,0,0.0,06032
6,33,510,500,98.04,9,1.76,1,0.2,06033
6,34,445,438,98.43,7,1.57,0,0.0,06034
6,35,547,525,95.98,18,3.29,4,0.73,06035
6,36,308,297,96.43,8,2.6,3,0.97,06036
6,37,431,425,98.61,6,1.39,0,0.0,06037
6,38,481,465,96.67,16,3.33,0,0.0,06038
6,39,447,441,98.66,6,1.34,0,0.0,06039
6,40,329,321,97.57,7,2.13,1,0.3,06040
6,41,439,428,97.49,10,2.28,1,0.23,06041
6,42,373,357,95.71,14,3.75,2,0.54,06042
6,43,475,458,96.42,16,3.37,1,0.21,06043
6,44,443,430,97.07,12,2.71,1,0.23,06044
6,45,267,262,98.13,5,1.87,0,0.0,06045
6,46,382,368,96.34,14,3.66,0,0.0,06046
6,47,450,437,97.11,13,2.89,0,0.0,06047
6,48,481,467,97.09,13,2.7,1,0.21,06048
6,49,471,460,97.66,11,2.34,0,0.0,06049
6,50,410,395,96.34,14,3.41,1,0.24,06050
6,51,328,310,94.51,18,5.49,0,0.0,06051
6,52,375,367,97.87,8,2.13,0,0.0,06052
6,53,406,400,98.52,5,1.23,1,0.25,06053
6,54,463,458,98.92,5,1.08,0,0.0,06054
6,55,380,363,95.53,16,4.21,1,0.26,06055
6,56,322,318,98.76,4,1.24,0,0.0,06056
6,57,308,297,96.43,10,3.25,1,0.32,06057
6,58,406,384,94.58,15,3.69,7,1.72,06058
6,59,396,386,97.47,9,2.27,1,0.25,06059
6,60,293,286,97.61,6,2.05,1,0.34,06060
6,61,341,332,97.36,9,2.64,0,0.0,06061
6,62,144,142,98.61,1,0.69,1,0.69,06062
6,63,392,385,98.21,7,1.79,0,0.0,06063
6,64,403,393,97.52,10,2.48,0,0.0,06064
6,65,171,168,98.25,3,1.75,0,0.0,06065
6,66,472,464,98.31,8,1.69,0,0.0,06066
7,1,386,378,97.93,8,2.07,0,0.0,07001
7,2,549,525,95.63,22,4.01,2,0.36,07002
7,3,398,394,98.99,4,1.01,0,0.0,07003
7,4,432,397,91.9,33,7.64,2,0.46,07004
7,5,433,417,96.3,16,3.7,0,0.0,07005
7,6,385,381,98.96,4,1.04,0,0.0,07006
7,7,303,298,98.35,5,1.65,0,0.0,07007
7,8,175,159,90.86,14,8.0,2,1.14,07008
7,9,371,354,95.42,16,4.31,1,0.27,07009
7,10,367,351,95.64,12,3.27,4,1.09,07010
7,11,392,377,96.17,13,3.32,2,0.51,07011
7,12,332,314,94.58,18,5.42,0,0.0,07012
7,13,318,309,97.17,8,2.52,1,0.31,07013
7,14,499,466,93.39,28,5.61,5,1.0,07014
7,15,303,288,95.05,13,4.29,2,0.66,07015
7,16,378,372,98.41,5,1.32,1,0.26,07016
7,17,335,328,97.91,7,2.09,0,0.0,07017
7,18,319,301,94.36,17,5.33,1,0.31,07018
7,19,654,640,97.86,13,1.99,1,0.15,07019
7,20,292,284,97.26,5,1.71,3,1.03,07020
7,21,421,389,92.4,31,7.36,1,0.24,07021
7,22,311,300,96.46,11,3.54,0,0.0,07022
7,23,301,294,97.67,6,1.99,1,0.33,07023
7,24,328,313,95.43,14,4.27,1,0.3,07024
7,25,440,423,96.14,15,3.41,2,0.45,07025
7,26,498,487,97.79,11,2.21,0,0.0,07026
7,27,486,475,97.74,8,1.65,3,0.62,07027
7,28,495,485,97.98,10,2.02,0,0.0,07028
7,29,203,199,98.03,4,1.97,0,0.0,07029
7,30,374,364,97.33,8,2.14,2,0.53,07030
7,31,359,349,97.21,9,2.51,1,0.28,07031
7,32,412,379,91.99,32,7.77,1,0.24,07032
7,33,286,272,95.1,14,4.9,0,0.0,07033
7,34,342,326,95.32,15,4.39,1,0.29,07034
7,35,254,239,94.09,15,5.91,0,0.0,07035
7,36,446,430,96.41,15,3.36,1,0.22,07036
7,37,168,163,97.02,5,2.98,0,0.0,07037
7,38,323,317,98.14,5,1.55,1,0.31,07038
7,39,365,360,98.63,5,1.37,0,0.0,07039
7,40,438,411,93.84,25,5.71,2,0.46,07040
7,41,307,293,95.44,11,3.58,3,0.98,07041
7,42,630,607,96.35,23,3.65,0,0.0,07042
7,43,437,427,97.71,6,1.37,4,0.92,07043
7,44,615,584,94.96,29,4.72,2,0.33,07044
7,45,499,477,95.59,20,4.01,2,0.4,07045
7,46,150,148,98.67,2,1.33,0,0.0,07046
7,47,339,325,95.87,12,3.54,2,0.59,07047
7,48,191,187,97.91,4,2.09,0,0.0,07048
7,49,228,224,98.25,4,1.75,0,0.0,07049
7,50,242,232,95.87,9,3.72,1,0.41,07050
7,51,340,335,98.53,5,1.47,0,0.0,07051
7,52,330,320,96.97,10,3.03,0,0.0,07052
7,53,299,292,97.66,7,2.34,0,0.0,07053
7,54,214,205,95.79,9,4.21,0,0.0,07054
7,55,305,283,92.79,22,7.21,0,0.0,07055
7,56,344,330,95.93,12,3.49,2,0.58,07056
7,57,306,297,97.06,7,2.29,2,0.65,07057
7,58,401,386,96.26,15,3.74,0,0.0,07058
7,59,238,233,97.9,5,2.1,0,0.0,07059
7,60,256,248,96.88,7,2.73,1,0.39,07060
7,61,313,301,96.17,10,3.19,2,0.64,07061
7,62,340,333,97.94,6,1.76,1,0.29,07062
7,63,373,357,95.71,12,3.22,4,1.07,07063
7,64,330,306,92.73,22,6.67,2,0.61,07064
7,65,409,395,96.58,12,2.93,2,0.49,07065
8,1,430,422,98.14,6,1.4,2,0.47,08001
8,2,232,232,100.0,0,0.0,0,0.0,08002
8,3,485,465,95.88,20,4.12,0,0.0,08003
8,4,370,351,94.86,16,4.32,3,0.81,08004
8,5,420,407,96.9,13,3.1,0,0.0,08005
8,6,431,417,96.75,13,3.02,1,0.23,08006
8,7,350,339,96.86,11,3.14,0,0.0,08007
8,8,421,411,97.62,10,2.38,0,0.0,08008
8,9,470,452,96.17,17,3.62,1,0.21,08009
8,10,502,480,95.62,21,4.18,1,0.2,08010
8,11,387,376,97.16,11,2.84,0,0.0,08011
8,12,423,404,95.51,18,4.26,1,0.24,08012
8,13,366,357,97.54,9,2.46,0,0.0,08013
8,14,467,453,97.0,14,3.0,0,0.0,08014
8,15,349,342,97.99,7,2.01,0,0.0,08015
8,16,389,377,96.92,12,3.08,0,0.0,08016
8,17,338,330,97.63,8,2.37,0,0.0,08017
8,18,325,318,97.85,7,2.15,0,0.0,08018
8,19,469,463,98.72,6,1.28,0,0.0,08019
8,20,329,318,96.66,10,3.04,1,0.3,08020
8,21,313,305,97.44,8,2.56,0,0.0,08021
8,22,389,384,98.71,4,1.03,1,0.26,08022
8,23,416,404,97.12,12,2.88,0,0.0,08023
8,24,443,427,96.39,15,3.39,1,0.23,08024
8,25,419,407,97.14,11,2.63,1,0.24,08025
8,26,345,335,97.1,8,2.32,2,0.58,08026
8,27,441,425,96.37,15,3.4,1,0.23,08027
8,28,347,338,97.41,8,2.31,1,0.29,08028
8,29,494,479,96.96,15,3.04,0,0.0,08029
8,30,361,343,95.01,16,4.43,2,0.55,08030
8,31,344,333,96.8,10,2.91,1,0.29,08031
8,32,617,593,96.11,23,3.73,1,0.16,08032
8,33,390,378,96.92,11,2.82,1,0.26,08033
8,34,502,488,97.21,9,1.79,5,1.0,08034
8,35,485,474,97.73,11,2.27,0,0.0,08035
8,36,421,404,95.96,15,3.56,2,0.48,08036
8,37,530,522,98.49,6,1.13,2,0.38,08037
8,38,431,419,97.22,12,2.78,0,0.0,08038
8,39,452,440,97.35,12,2.65,0,0.0,08039
8,40,467,457,97.86,9,1.93,1,0.21,08040
8,41,373,364,97.59,8,2.14,1,0.27,08041
8,42,411,402,97.81,8,1.95,1,0.24,08042
8,43,471,454,96.39,17,3.61,0,0.0,08043
8,44,282,274,97.16,8,2.84,0,0.0,08044
8,45,394,382,96.95,11,2.79,1,0.25,08045
8,46,353,343,97.17,10,2.83,0,0.0,08046
8,47,429,407,94.87,21,4.9,1,0.23,08047
8,48,326,318,97.55,7,2.15,1,0.31,08048
8,49,467,461,98.72,6,1.28,0,0.0,08049
8,50,427,419,98.13,7,1.64,1,0.23,08050
8,51,474,460,97.05,14,2.95,0,0.0,08051
8,52,396,382,96.46,12,3.03,2,0.51,08052
8,53,447,431,96.42,15,3.36,1,0.22,08053
8,54,445,426,95.73,17,3.82,2,0.45,08054
8,55,534,519,97.19,14,2.62,1,0.19,08055
8,56,480,456,95.0,20,4.17,4,0.83,08056
8,57,378,368,97.35,10,2.65,0,0.0,08057
8,58,421,414,98.34,7,1.66,0,0.0,08058
8,59,321,307,95.64,13,4.05,1,0.31,08059
8,60,376,361,96.01,14,3.72,1,0.27,08060
8,61,351,342,97.44,9,2.56,0,0.0,08061
8,62,347,340,97.98,7,2.02,0,0.0,08062
8,63,418,407,97.37,8,1.91,3,0.72,08063
8,64,418,403,96.41,13,3.11,2,0.48,08064
8,65,273,267,97.8,6,2.2,0,0.0,08065
8,66,598,572,95.65,26,4.35,0,0.0,08066
8,67,235,227,96.6,8,3.4,0,0.0,08067
8,68,377,360,95.49,15,3.98,2,0.53,08068
8,69,358,350,97.77,8,2.23,0,0.0,08069
8,70,652,635,97.39,16,2.45,1,0.15,08070
9,1,471,464,98.51,7,1.49,0,0.0,09001
9,2,529,523,98.87,5,0.95,1,0.19,09002
9,3,437,425,97.25,9,2.06,3,0.69,09003
9,4,490,471,96.12,16,3.27,3,0.61,09004
9,5,484,474,97.93,8,1.65,2,0.41,09005
9,6,424,404,95.28,18,4.25,2,0.47,09006
9,7,455,438,96.26,13,2.86,4,0.88,09007
9,8,349,339,97.13,10,2.87,0,0.0,09008
9,9,462,445,96.32,15,3.25,2,0.43,09009
9,10,441,424,96.15,16,3.63,1,0.23,09010
9,11,362,356,98.34,6,1.66,0,0.0,09011
9,12,469,455,97.01,14,2.99,0,0.0,09012
9,13,555,540,97.3,14,2.52,1,0.18,09013
9,14,567,549,96.83,17,3.0,1,0.18,09014
9,15,281,276,98.22,5,1.78,0,0.0,09015
9,16,543,526,96.87,17,3.13,0,0.0,09016
9,17,425,418,98.35,7,1.65,0,0.0,09017
9,18,502,487,97.01,15,2.99,0,0.0,09018
9,19,527,514,97.53,13,2.47,0,0.0,09019
9,20,476,469,98.53,7,1.47,0,0.0,09020
9,21,329,320,97.26,9,2.74,0,0.0,09021
9,22,471,452,95.97,17,3.61,2,0.42,09022
9,23,416,402,96.63,13,3.13,1,0.24,09023
9,24,345,342,99.13,2,0.58,1,0.29,09024
9,25,267,265,99.25,2,0.75,0,0.0,09025
9,26,324,316,97.53,7,2.16,1,0.31,09026
9,27,259,243,93.82,14,5.41,2,0.77,09027
9,28,380,355,93.42,24,6.32,1,0.26,09028
9,29,446,440,98.65,6,1.35,0,0.0,09029
9,30,302,299,99.01,3,0.99,0,0.0,09030
9,31,444,424,95.5,17,3.83,3,0.68,09031
9,32,485,465,95.88,20,4.12,0,0.0,09032
9,33,306,285,93.14,20,6.54,1,0.33,09033
9,34,430,416,96.74,12,2.79,2,0.47,09034
9,35,399,393,98.5,4,1.0,2,0.5,09035
