ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Ryan Chlada,Ryan Chlada Percent,precinct_id
13,42,325,288,88.62,37,11.38,13042
13,43,247,226,91.5,21,8.5,13043
13,44,360,344,95.56,16,4.44,13044
13,45,472,391,82.84,81,17.16,13045
13,46,299,278,92.98,21,7.02,13046
13,47,330,278,84.24,52,15.76,13047
13,48,360,305,84.72,55,15.28,13048
13,49,391,341,87.21,50,12.79,13049
13,50,393,354,90.08,39,9.92,13050
13,51,261,237,90.8,24,9.2,13051
13,52,386,319,82.64,67,17.36,13052
13,53,428,371,86.68,57,13.32,13053
13,54,347,292,84.15,55,15.85,13054
14,2,242,199,82.23,43,17.77,14002
14,25,261,227,86.97,34,13.03,14025
14,28,276,225,81.52,51,18.48,14028
15,1,208,178,85.58,30,14.42,15001
15,10,241,203,84.23,38,15.77,15010
15,13,224,196,87.5,28,12.5,15013
15,14,351,299,85.19,52,14.81,15014
15,15,328,293,89.33,35,10.67,15015
15,16,232,191,82.33,41,17.67,15016
15,25,344,311,90.41,33,9.59,15025
15,28,303,261,86.14,42,13.86,15028
15,32,372,339,91.13,33,8.87,15032
15,44,318,280,88.05,38,11.95,15044
15,49,138,119,86.23,19,13.77,15049
16,1,183,171,93.44,12,6.56,16001
16,4,294,256,87.07,38,12.93,16004
16,6,105,94,89.52,11,10.48,16006
16,7,283,259,91.52,24,8.48,16007
16,11,363,345,95.04,18,4.96,16011
16,13,239,207,86.61,32,13.39,16013
16,17,365,308,84.38,57,15.62,16017
16,23,305,261,85.57,44,14.43,16023
16,32,129,110,85.27,19,14.73,16032
16,35,312,274,87.82,38,12.18,16035
16,39,171,149,87.13,22,12.87,16039
16,42,158,141,89.24,17,10.76,16042
16,47,17,16,94.12,1,5.88,16047
18,3,314,258,82.17,56,17.83,18003
18,6,341,272,79.77,69,20.23,18006
18,15,267,222,83.15,45,16.85,18015
18,28,392,314,80.1,78,19.9,18028
18,41,391,322,82.35,69,17.65,18041
18,43,331,288,87.01,43,12.99,18043
18,48,264,222,84.09,42,15.91,18048
18,55,372,293,78.76,79,21.24,18055
18,56,386,326,84.46,60,15.54,18056
18,57,339,302,89.09,37,10.91,18057
18,64,342,293,85.67,49,14.33,18064
19,1,450,355,78.89,95,21.11,19001
19,2,383,325,84.86,58,15.14,19002
19,3,398,293,73.62,105,26.38,19003
19,4,404,311,76.98,93,23.02,19004
19,5,427,349,81.73,78,18.27,19005
19,6,433,327,75.52,106,24.48,19006
19,7,405,316,78.02,89,21.98,19007
19,8,365,277,75.89,88,24.11,19008
19,9,351,265,75.5,86,24.5,19009
19,10,540,426,78.89,114,21.11,19010
19,11,467,322,68.95,145,31.05,19011
19,12,442,327,73.98,115,26.02,19012
19,13,351,316,90.03,35,9.97,19013
19,14,286,219,76.57,67,23.43,19014
19,15,285,209,73.33,76,26.67,19015
19,16,501,394,78.64,107,21.36,19016
19,17,447,359,80.31,88,19.69,19017
19,18,464,362,78.02,102,21.98,19018
19,19,455,362,79.56,93,20.44,19019
19,20,392,309,78.83,83,21.17,19020
19,21,352,273,77.56,79,22.44,19021
19,22,491,380,77.39,111,22.61,19022
19,23,476,357,75.0,119,25.0,19023
19,24,346,253,73.12,93,26.88,19024
19,25,480,347,72.29,133,27.71,19025
19,26,467,347,74.3,120,25.7,19026
19,27,305,249,81.64,56,18.36,19027
19,29,389,300,77.12,89,22.88,19029
19,30,435,320,73.56,115,26.44,19030
19,31,375,274,73.07,101,26.93,19031
19,32,509,402,78.98,107,21.02,19032
19,33,490,367,74.9,123,25.1,19033
19,34,422,333,78.91,89,21.09,19034
19,35,366,282,77.05,84,22.95,19035
19,36,572,489,85.49,83,14.51,19036
19,37,351,290,82.62,61,17.38,19037
19,38,517,429,82.98,88,17.02,19038
19,39,278,257,92.45,21,7.55,19039
19,40,391,315,80.56,76,19.44,19040
19,41,489,365,74.64,124,25.36,19041
19,42,376,300,79.79,76,20.21,19042
19,44,386,286,74.09,100,25.91,19044
19,45,476,371,77.94,105,22.06,19045
19,46,530,384,72.45,146,27.55,19046
19,47,310,261,84.19,49,15.81,19047
19,49,505,416,82.38,89,17.62,19049
19,51,413,327,79.18,86,20.82,19051
19,52,379,273,72.03,106,27.97,19052
19,53,423,336,79.43,87,20.57,19053
19,54,397,303,76.32,94,23.68,19054
19,55,388,317,81.7,71,18.3,19055
19,56,519,397,76.49,122,23.51,19056
19,57,482,390,80.91,92,19.09,19057
19,58,443,335,75.62,108,24.38,19058
19,59,505,374,74.06,131,25.94,19059
19,61,509,402,78.98,107,21.02,19061
19,62,429,353,82.28,76,17.72,19062
19,63,299,254,84.95,45,15.05,19063
19,64,528,452,85.61,76,14.39,19064
19,65,283,231,81.63,52,18.37,19065
19,67,107,88,82.24,19,17.76,19067
20,41,13,9,69.23,4,30.77,20041
20,51,106,83,78.3,23,21.7,20051
23,1,352,267,75.85,85,24.15,23001
23,2,442,349,78.96,93,21.04,23002
23,3,365,267,73.15,98,26.85,23003
23,4,407,311,76.41,96,23.59,23004
23,5,364,313,85.99,51,14.01,23005
23,6,422,365,86.49,57,13.51,23006
23,7,292,278,95.21,14,4.79,23007
23,8,442,366,82.81,76,17.19,23008
23,10,388,347,89.43,41,10.57,23010
23,11,441,330,74.83,111,25.17,23011
23,12,368,270,73.37,98,26.63,23012
23,13,455,342,75.16,113,24.84,23013
23,14,241,229,95.02,12,4.98,23014
23,15,389,301,77.38,88,22.62,23015
23,16,398,303,76.13,95,23.87,23016
23,17,437,328,75.06,109,24.94,23017
23,18,312,232,74.36,80,25.64,23018
23,19,339,270,79.65,69,20.35,23019
23,20,327,251,76.76,76,23.24,23020
23,21,363,330,90.91,33,9.09,23021
23,22,426,312,73.24,114,26.76,23022
23,23,371,285,76.82,86,23.18,23023
23,25,322,266,82.61,56,17.39,23025
23,26,398,285,71.61,113,28.39,23026
23,27,348,269,77.3,79,22.7,23027
23,28,402,314,78.11,88,21.89,23028
23,30,366,293,80.05,73,19.95,23030
23,31,400,333,83.25,67,16.75,23031
23,32,423,366,86.52,57,13.48,23032
23,33,386,317,82.12,69,17.88,23033
23,34,351,283,80.63,68,19.37,23034
23,35,285,266,93.33,19,6.67,23035
23,36,512,379,74.02,133,25.98,23036
23,37,264,244,92.42,20,7.58,23037
23,38,317,251,79.18,66,20.82,23038
23,39,384,285,74.22,99,25.78,23039
23,40,377,283,75.07,94,24.93,23040
23,41,386,305,79.02,81,20.98,23041
23,42,332,259,78.01,73,21.99,23042
23,43,451,328,72.73,123,27.27,23043
23,44,364,291,79.95,73,20.05,23044
23,45,439,323,73.58,116,26.42,23045
23,46,406,297,73.15,109,26.85,23046
23,47,435,325,74.71,110,25.29,23047
23,48,311,263,84.57,48,15.43,23048
23,49,424,298,70.28,126,29.72,23049
23,50,274,231,84.31,43,15.69,23050
23,51,326,276,84.66,50,15.34,23051
23,52,436,317,72.71,119,27.29,23052
23,53,271,234,86.35,37,13.65,23053
23,54,529,423,79.96,106,20.04,23054
23,55,385,301,78.18,84,21.82,23055
23,56,345,246,71.3,99,28.7,23056
