ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Antonio Davis-Fairman,Antonio Davis-Fairman Percent,precinct_id
42,5,340,241,70.88,99,29.12,42005
42,6,622,455,73.15,167,26.85,42006
42,7,484,326,67.36,158,32.64,42007
42,8,550,390,70.91,160,29.09,42008
42,9,808,593,73.39,215,26.61,42009
42,10,339,234,69.03,105,30.97,42010
42,11,451,292,64.75,159,35.25,42011
42,12,291,197,67.7,94,32.3,42012
42,13,577,410,71.06,167,28.94,42013
42,14,627,412,65.71,215,34.29,42014
42,15,481,328,68.19,153,31.81,42015
42,16,301,208,69.1,93,30.9,42016
42,17,496,336,67.74,160,32.26,42017
42,18,671,458,68.26,213,31.74,42018
42,19,238,160,67.23,78,32.77,42019
42,20,340,224,65.88,116,34.12,42020
42,21,295,202,68.47,93,31.53,42021
42,22,857,522,60.91,335,39.09,42022
42,23,502,328,65.34,174,34.66,42023
42,24,543,389,71.64,154,28.36,42024
42,25,400,278,69.5,122,30.5,42025
42,26,417,334,80.1,83,19.9,42026
42,27,508,367,72.24,141,27.76,42027
42,28,400,306,76.5,94,23.5,42028
42,29,474,298,62.87,176,37.13,42029
42,30,340,222,65.29,118,34.71,42030
42,31,351,220,62.68,131,37.32,42031
42,32,557,393,70.56,164,29.44,42032
42,33,507,363,71.6,144,28.4,42033
42,34,393,290,73.79,103,26.21,42034
42,35,287,208,72.47,79,27.53,42035
42,36,472,337,71.4,135,28.6,42036
42,37,411,292,71.05,119,28.95,42037
42,38,450,301,66.89,149,33.11,42038
42,39,235,169,71.91,66,28.09,42039
42,40,363,259,71.35,104,28.65,42040
42,41,695,446,64.17,249,35.83,42041
42,42,299,196,65.55,103,34.45,42042
42,43,391,259,66.24,132,33.76,42043
42,44,546,368,67.4,178,32.6,42044
42,45,428,310,72.43,118,27.57,42045
42,46,433,305,70.44,128,29.56,42046
42,47,249,180,72.29,69,27.71,42047
42,48,404,240,59.41,164,40.59,42048
42,49,326,82,25.15,244,74.85,42049
42,50,251,176,70.12,75,29.88,42050
42,51,388,267,68.81,121,31.19,42051
42,52,236,174,73.73,62,26.27,42052
42,53,272,190,69.85,82,30.15,42053
42,54,389,251,64.52,138,35.48,42054
42,55,560,386,68.93,174,31.07,42055
42,56,629,399,63.43,230,36.57,42056
42,57,434,317,73.04,117,26.96,42057
42,58,142,111,78.17,31,21.83,42058
42,59,172,108,62.79,64,37.21,42059
42,60,319,236,73.98,83,26.02,42060
42,61,303,185,61.06,118,38.94,42061
42,62,283,195,68.9,88,31.1,42062
42,63,359,257,71.59,102,28.41,42063
42,64,241,181,75.1,60,24.9,42064
42,65,480,322,67.08,158,32.92,42065
42,66,415,287,69.16,128,30.84,42066
42,67,611,389,63.67,222,36.33,42067
42,68,877,572,65.22,305,34.78,42068
42,69,626,455,72.68,171,27.32,42069
43,1,293,224,76.45,69,23.55,43001
43,3,518,330,63.71,188,36.29,43003
43,4,507,373,73.57,134,26.43,43004
43,5,507,344,67.85,163,32.15,43005
43,9,468,304,64.96,164,35.04,43009
43,10,220,149,67.73,71,32.27,43010
43,11,360,238,66.11,122,33.89,43011
43,13,275,176,64.0,99,36.0,43013
43,15,398,266,66.83,132,33.17,43015
43,16,470,320,68.09,150,31.91,43016
43,18,562,386,68.68,176,31.32,43018
43,21,177,120,67.8,57,32.2,43021
43,23,348,259,74.43,89,25.57,43023
43,24,390,258,66.15,132,33.85,43024
43,25,424,330,77.83,94,22.17,43025
43,26,338,218,64.5,120,35.5,43026
43,28,415,261,62.89,154,37.11,43028
43,30,403,262,65.01,141,34.99,43030
43,36,452,271,59.96,181,40.04,43036
43,37,404,283,70.05,121,29.95,43037
43,40,241,167,69.29,74,30.71,43040
43,41,188,123,65.43,65,34.57,43041
43,42,369,242,65.58,127,34.42,43042
