ward,precinct,total,Mary Lane Mikva,Mary Lane Mikva Percent,precinct_id
48,6,366,366,100.0,48006
48,7,309,309,100.0,48007
48,8,208,208,100.0,48008
48,9,284,284,100.0,48009
48,10,232,232,100.0,48010
48,11,412,412,100.0,48011
48,12,337,337,100.0,48012
48,14,332,332,100.0,48014
48,15,237,237,100.0,48015
48,16,243,243,100.0,48016
48,17,298,298,100.0,48017
48,18,217,217,100.0,48018
48,19,267,267,100.0,48019
48,20,132,132,100.0,48020
48,21,152,152,100.0,48021
48,23,284,284,100.0,48023
48,24,263,263,100.0,48024
48,25,294,294,100.0,48025
48,26,318,318,100.0,48026
48,27,181,181,100.0,48027
48,28,239,239,100.0,48028
48,29,204,204,100.0,48029
48,30,289,289,100.0,48030
48,31,260,260,100.0,48031
48,32,86,86,100.0,48032
48,34,144,144,100.0,48034
48,35,197,197,100.0,48035
48,36,233,233,100.0,48036
48,37,253,253,100.0,48037
48,38,337,337,100.0,48038
48,39,244,244,100.0,48039
48,40,188,188,100.0,48040
48,42,284,284,100.0,48042
48,43,439,439,100.0,48043
48,44,346,346,100.0,48044
48,45,250,250,100.0,48045
48,46,249,249,100.0,48046
48,47,296,296,100.0,48047
48,48,292,292,100.0,48048
48,49,73,73,100.0,48049
48,50,364,364,100.0,48050
48,51,375,375,100.0,48051
48,52,198,198,100.0,48052
48,53,1,1,100.0,48053
48,55,113,113,100.0,48055
48,56,109,109,100.0,48056
49,17,48,48,100.0,49017
