ward,precinct,total,Jesse L. Jackson Jr.,Jesse L. Jackson Jr. Percent,Stephanie Sailor,Stephanie Sailor Percent,precinct_id
8,36,364,361,99.18,3,0.82,08036
8,39,393,390,99.24,3,0.76,08039
8,42,360,357,99.17,3,0.83,08042
8,44,252,245,97.22,7,2.78,08044
8,46,313,308,98.4,5,1.6,08046
8,47,386,374,96.89,12,3.11,08047
8,49,433,428,98.85,5,1.15,08049
8,50,366,358,97.81,8,2.19,08050
8,51,433,429,99.08,4,0.92,08051
8,57,336,330,98.21,6,1.79,08057
8,60,325,313,96.31,12,3.69,08060
8,62,302,294,97.35,8,2.65,08062
8,63,382,370,96.86,12,3.14,08063
8,65,240,236,98.33,4,1.67,08065
8,66,532,522,98.12,10,1.88,08066
8,70,554,538,97.11,16,2.89,08070
9,1,413,396,95.88,17,4.12,09001
9,2,454,443,97.58,11,2.42,09002
9,3,354,349,98.59,5,1.41,09003
9,4,422,408,96.68,14,3.32,09004
9,5,407,398,97.79,9,2.21,09005
9,6,363,357,98.35,6,1.65,09006
9,7,384,360,93.75,24,6.25,09007
9,8,294,286,97.28,8,2.72,09008
9,9,411,400,97.32,11,2.68,09009
9,10,376,366,97.34,10,2.66,09010
9,11,277,271,97.83,6,2.17,09011
9,12,381,371,97.38,10,2.62,09012
9,13,482,471,97.72,11,2.28,09013
9,14,498,490,98.39,8,1.61,09014
9,15,227,218,96.04,9,3.96,09015
9,16,459,443,96.51,16,3.49,09016
9,17,362,359,99.17,3,0.83,09017
9,18,450,432,96.0,18,4.0,09018
9,19,455,446,98.02,9,1.98,09019
9,20,408,403,98.77,5,1.23,09020
9,21,273,269,98.53,4,1.47,09021
9,22,399,389,97.49,10,2.51,09022
9,23,333,324,97.3,9,2.7,09023
9,24,258,252,97.67,6,2.33,09024
9,25,218,214,98.17,4,1.83,09025
9,26,263,260,98.86,3,1.14,09026
9,27,234,225,96.15,9,3.85,09027
9,28,295,279,94.58,16,5.42,09028
9,29,362,353,97.51,9,2.49,09029
9,30,258,253,98.06,5,1.94,09030
9,31,381,366,96.06,15,3.94,09031
9,32,415,403,97.11,12,2.89,09032
9,33,257,252,98.05,5,1.95,09033
9,34,378,368,97.35,10,2.65,09034
9,35,343,333,97.08,10,2.92,09035
9,36,228,224,98.25,4,1.75,09036
9,37,345,262,75.94,83,24.06,09037
9,38,409,396,96.82,13,3.18,09038
9,39,400,387,96.75,13,3.25,09039
9,40,402,388,96.52,14,3.48,09040
9,41,449,432,96.21,17,3.79,09041
9,42,361,356,98.61,5,1.39,09042
9,43,315,300,95.24,15,4.76,09043
9,44,359,347,96.66,12,3.34,09044
9,45,417,402,96.4,15,3.6,09045
9,46,341,332,97.36,9,2.64,09046
9,47,241,223,92.53,18,7.47,09047
9,48,365,352,96.44,13,3.56,09048
9,49,231,226,97.84,5,2.16,09049
9,50,168,164,97.62,4,2.38,09050
9,51,272,266,97.79,6,2.21,09051
9,52,359,350,97.49,9,2.51,09052
9,53,296,283,95.61,13,4.39,09053
9,55,196,189,96.43,7,3.57,09055
9,57,268,220,82.09,48,17.91,09057
10,1,332,309,93.07,23,6.93,10001
10,2,228,173,75.88,55,24.12,10002
10,3,288,182,63.19,106,36.81,10003
10,4,310,283,91.29,27,8.71,10004
10,5,249,171,68.67,78,31.33,10005
10,6,295,287,97.29,8,2.71,10006
10,7,95,90,94.74,5,5.26,10007
10,8,260,178,68.46,82,31.54,10008
10,9,262,175,66.79,87,33.21,10009
10,10,272,175,64.34,97,35.66,10010
10,11,307,222,72.31,85,27.69,10011
10,12,254,188,74.02,66,25.98,10012
10,13,219,165,75.34,54,24.66,10013
10,14,289,202,69.9,87,30.1,10014
