ward,precinct,total,Sheryl Ann Pethers,Sheryl Ann Pethers Percent,precinct_id
43,14,228,228,100.0,43014
43,15,272,272,100.0,43015
43,16,296,296,100.0,43016
43,17,193,193,100.0,43017
43,18,350,350,100.0,43018
43,19,207,207,100.0,43019
43,20,311,311,100.0,43020
43,21,218,218,100.0,43021
43,22,232,232,100.0,43022
43,23,224,224,100.0,43023
43,24,241,241,100.0,43024
43,25,246,246,100.0,43025
43,26,232,232,100.0,43026
43,27,271,271,100.0,43027
43,28,248,248,100.0,43028
43,29,264,264,100.0,43029
43,30,259,259,100.0,43030
43,31,243,243,100.0,43031
43,32,224,224,100.0,43032
43,33,293,293,100.0,43033
43,34,230,230,100.0,43034
43,35,372,372,100.0,43035
43,36,273,273,100.0,43036
43,37,274,274,100.0,43037
43,38,316,316,100.0,43038
43,39,276,276,100.0,43039
43,40,163,163,100.0,43040
43,41,237,237,100.0,43041
43,42,212,212,100.0,43042
43,43,306,306,100.0,43043
43,44,392,392,100.0,43044
43,45,114,114,100.0,43045
43,46,277,277,100.0,43046
43,47,255,255,100.0,43047
43,48,384,384,100.0,43048
43,49,221,221,100.0,43049
43,50,258,258,100.0,43050
43,51,366,366,100.0,43051
43,52,439,439,100.0,43052
43,53,364,364,100.0,43053
43,54,238,238,100.0,43054
43,55,186,186,100.0,43055
43,56,234,234,100.0,43056
43,57,350,350,100.0,43057
43,58,336,336,100.0,43058
43,59,237,237,100.0,43059
43,60,256,256,100.0,43060
43,61,212,212,100.0,43061
43,62,272,272,100.0,43062
43,63,249,249,100.0,43063
43,64,161,161,100.0,43064
43,65,166,166,100.0,43065
43,66,129,129,100.0,43066
43,67,203,203,100.0,43067
44,1,229,229,100.0,44001
44,2,245,245,100.0,44002
44,3,253,253,100.0,44003
44,4,243,243,100.0,44004
44,5,466,466,100.0,44005
44,6,474,474,100.0,44006
44,7,302,302,100.0,44007
44,8,224,224,100.0,44008
44,9,570,570,100.0,44009
44,10,354,354,100.0,44010
44,11,493,493,100.0,44011
44,12,225,225,100.0,44012
44,13,296,296,100.0,44013
44,14,388,388,100.0,44014
44,15,425,425,100.0,44015
44,16,399,399,100.0,44016
44,17,377,377,100.0,44017
44,18,294,294,100.0,44018
44,19,252,252,100.0,44019
44,20,525,525,100.0,44020
44,21,500,500,100.0,44021
44,22,371,371,100.0,44022
44,23,434,434,100.0,44023
44,24,323,323,100.0,44024
44,25,411,411,100.0,44025
44,26,387,387,100.0,44026
44,27,474,474,100.0,44027
44,28,385,385,100.0,44028
44,29,494,494,100.0,44029
44,30,411,411,100.0,44030
44,31,489,489,100.0,44031
44,32,251,251,100.0,44032
44,33,583,583,100.0,44033
44,34,248,248,100.0,44034
44,35,231,231,100.0,44035
44,36,461,461,100.0,44036
44,37,478,478,100.0,44037
44,38,474,474,100.0,44038
44,39,459,459,100.0,44039
44,40,434,434,100.0,44040
44,41,373,373,100.0,44041
44,42,496,496,100.0,44042
44,43,515,515,100.0,44043
44,44,398,398,100.0,44044
44,45,515,515,100.0,44045
44,46,248,248,100.0,44046
44,47,509,509,100.0,44047
44,48,226,226,100.0,44048
44,49,489,489,100.0,44049
44,50,472,472,100.0,44050
46,1,452,452,100.0,46001
46,2,388,388,100.0,46002
46,3,428,428,100.0,46003
46,4,247,247,100.0,46004
46,5,420,420,100.0,46005
46,6,288,288,100.0,46006
46,7,570,570,100.0,46007
46,8,294,294,100.0,46008
46,9,518,518,100.0,46009
46,10,289,289,100.0,46010
46,11,409,409,100.0,46011
46,12,328,328,100.0,46012
46,13,530,530,100.0,46013
46,14,294,294,100.0,46014
46,15,410,410,100.0,46015
46,16,409,409,100.0,46016
46,17,506,506,100.0,46017
46,18,323,323,100.0,46018
46,19,446,446,100.0,46019
46,20,345,345,100.0,46020
46,22,176,176,100.0,46022
46,23,190,190,100.0,46023
46,24,403,403,100.0,46024
46,25,225,225,100.0,46025
46,26,272,272,100.0,46026
46,27,443,443,100.0,46027
46,28,438,438,100.0,46028
46,29,264,264,100.0,46029
46,30,356,356,100.0,46030
46,31,379,379,100.0,46031
46,32,286,286,100.0,46032
46,33,297,297,100.0,46033
46,34,522,522,100.0,46034
46,35,382,382,100.0,46035
46,36,324,324,100.0,46036
46,37,332,332,100.0,46037
46,38,259,259,100.0,46038
46,39,419,419,100.0,46039
46,40,184,184,100.0,46040
46,41,277,277,100.0,46041
46,42,330,330,100.0,46042
46,43,232,232,100.0,46043
47,18,403,403,100.0,47018
47,23,190,190,100.0,47023
47,24,424,424,100.0,47024
47,41,584,584,100.0,47041
47,44,478,478,100.0,47044
48,1,341,341,100.0,48001
48,3,404,404,100.0,48003
48,4,314,314,100.0,48004
48,5,232,232,100.0,48005
48,6,357,357,100.0,48006
48,7,307,307,100.0,48007
48,8,195,195,100.0,48008
48,9,280,280,100.0,48009
48,10,233,233,100.0,48010
48,11,400,400,100.0,48011
48,12,331,331,100.0,48012
48,14,324,324,100.0,48014
48,15,231,231,100.0,48015
48,16,239,239,100.0,48016
48,17,293,293,100.0,48017
48,18,217,217,100.0,48018
48,19,250,250,100.0,48019
48,20,121,121,100.0,48020
48,21,154,154,100.0,48021
48,23,266,266,100.0,48023
48,24,255,255,100.0,48024
48,25,282,282,100.0,48025
48,26,303,303,100.0,48026
48,27,166,166,100.0,48027
48,28,234,234,100.0,48028
48,29,179,179,100.0,48029
48,30,273,273,100.0,48030
48,31,253,253,100.0,48031
48,32,88,88,100.0,48032
48,34,132,132,100.0,48034
48,35,194,194,100.0,48035
48,36,221,221,100.0,48036
48,37,252,252,100.0,48037
48,38,332,332,100.0,48038
48,39,225,225,100.0,48039
48,40,183,183,100.0,48040
48,42,271,271,100.0,48042
48,43,440,440,100.0,48043
48,44,346,346,100.0,48044
48,45,243,243,100.0,48045
48,46,241,241,100.0,48046
48,47,291,291,100.0,48047
48,48,281,281,100.0,48048
48,49,71,71,100.0,48049
48,50,357,357,100.0,48050
48,51,365,365,100.0,48051
48,52,192,192,100.0,48052
48,53,1,1,100.0,48053
48,55,115,115,100.0,48055
48,56,104,104,100.0,48056
49,17,49,49,100.0,49017
