ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Kurt J. Eckhardt,Kurt J. Eckhardt Percent,precinct_id
46,9,692,544,78.61,148,21.39,46009
46,10,431,333,77.26,98,22.74,46010
46,11,540,456,84.44,84,15.56,46011
46,12,446,399,89.46,47,10.54,46012
46,14,373,349,93.57,24,6.43,46014
46,15,570,470,82.46,100,17.54,46015
46,16,577,485,84.06,92,15.94,46016
46,19,589,527,89.47,62,10.53,46019
46,20,522,448,85.82,74,14.18,46020
46,21,161,132,81.99,29,18.01,46021
46,22,340,253,74.41,87,25.59,46022
46,23,323,298,92.26,25,7.74,46023
46,25,332,264,79.52,68,20.48,46025
46,26,415,358,86.27,57,13.73,46026
46,27,606,471,77.72,135,22.28,46027
46,28,604,448,74.17,156,25.83,46028
46,30,521,422,81.0,99,19.0,46030
46,32,441,358,81.18,83,18.82,46032
46,33,485,407,83.92,78,16.08,46033
46,34,681,569,83.55,112,16.45,46034
46,35,579,489,84.46,90,15.54,46035
46,38,401,352,87.78,49,12.22,46038
46,39,558,449,80.47,109,19.53,46039
46,40,293,257,87.71,36,12.29,46040
46,41,431,373,86.54,58,13.46,46041
46,42,507,430,84.81,77,15.19,46042
48,1,482,422,87.55,60,12.45,48001
48,2,326,258,79.14,68,20.86,48002
48,3,575,503,87.48,72,12.52,48003
48,4,510,418,81.96,92,18.04,48004
48,5,328,262,79.88,66,20.12,48005
48,6,511,453,88.65,58,11.35,48006
48,7,403,363,90.07,40,9.93,48007
48,8,297,222,74.75,75,25.25,48008
48,9,379,312,82.32,67,17.68,48009
48,10,320,275,85.94,45,14.06,48010
48,11,555,498,89.73,57,10.27,48011
48,12,452,402,88.94,50,11.06,48012
48,13,321,273,85.05,48,14.95,48013
48,14,482,410,85.06,72,14.94,48014
48,15,328,297,90.55,31,9.45,48015
48,16,353,322,91.22,31,8.78,48016
48,17,393,325,82.7,68,17.3,48017
48,18,325,286,88.0,39,12.0,48018
48,19,355,307,86.48,48,13.52,48019
48,20,194,171,88.14,23,11.86,48020
48,21,241,211,87.55,30,12.45,48021
48,22,441,357,80.95,84,19.05,48022
48,23,394,335,85.03,59,14.97,48023
48,24,364,326,89.56,38,10.44,48024
48,25,422,369,87.44,53,12.56,48025
48,26,467,397,85.01,70,14.99,48026
48,27,228,194,85.09,34,14.91,48027
48,28,313,268,85.62,45,14.38,48028
48,29,254,221,87.01,33,12.99,48029
48,30,399,344,86.22,55,13.78,48030
48,31,391,352,90.03,39,9.97,48031
48,32,473,440,93.02,33,6.98,48032
48,33,298,227,76.17,71,23.83,48033
48,34,267,200,74.91,67,25.09,48034
48,35,290,237,81.72,53,18.28,48035
48,36,321,284,88.47,37,11.53,48036
48,37,352,297,84.38,55,15.63,48037
48,38,450,393,87.33,57,12.67,48038
48,39,326,270,82.82,56,17.18,48039
48,40,275,245,89.09,30,10.91,48040
48,41,281,247,87.9,34,12.1,48041
48,42,357,322,90.2,35,9.8,48042
48,43,551,487,88.38,64,11.62,48043
48,44,492,440,89.43,52,10.57,48044
48,45,361,305,84.49,56,15.51,48045
48,46,342,296,86.55,46,13.45,48046
48,47,375,340,90.67,35,9.33,48047
48,48,372,326,87.63,46,12.37,48048
48,49,181,164,90.61,17,9.39,48049
48,50,475,415,87.37,60,12.63,48050
48,51,495,432,87.27,63,12.73,48051
48,52,281,248,88.26,33,11.74,48052
48,53,397,338,85.14,59,14.86,48053
48,54,306,281,91.83,25,8.17,48054
48,55,167,131,78.44,36,21.56,48055
48,56,189,156,82.54,33,17.46,48056
49,1,390,375,96.15,15,3.85,49001
49,2,361,309,85.6,52,14.4,49002
49,3,247,220,89.07,27,10.93,49003
49,4,206,190,92.23,16,7.77,49004
49,5,404,360,89.11,44,10.89,49005
49,6,436,374,85.78,62,14.22,49006
49,7,389,334,85.86,55,14.14,49007
49,8,371,317,85.44,54,14.56,49008
49,9,383,335,87.47,48,12.53,49009
49,10,346,300,86.71,46,13.29,49010
49,11,264,236,89.39,28,10.61,49011
49,12,407,373,91.65,34,8.35,49012
49,13,438,383,87.44,55,12.56,49013
49,14,427,358,83.84,69,16.16,49014
49,15,365,329,90.14,36,9.86,49015
49,16,250,217,86.8,33,13.2,49016
49,17,64,53,82.81,11,17.19,49017
49,18,235,207,88.09,28,11.91,49018
49,19,340,316,92.94,24,7.06,49019
49,20,423,378,89.36,45,10.64,49020
49,21,452,326,72.12,126,27.88,49021
49,22,317,288,90.85,29,9.15,49022
49,23,363,327,90.08,36,9.92,49023
49,24,166,154,92.77,12,7.23,49024
49,25,443,399,90.07,44,9.93,49025
49,26,364,311,85.44,53,14.56,49026
49,27,514,473,92.02,41,7.98,49027
49,28,351,327,93.16,24,6.84,49028
49,29,523,452,86.42,71,13.58,49029
49,30,382,334,87.43,48,12.57,49030
49,31,175,164,93.71,11,6.29,49031
49,32,333,277,83.18,56,16.82,49032
49,33,345,304,88.12,41,11.88,49033
49,34,389,360,92.54,29,7.46,49034
49,35,484,424,87.6,60,12.4,49035
49,36,522,461,88.31,61,11.69,49036
49,37,174,145,83.33,29,16.67,49037
49,38,316,298,94.3,18,5.7,49038
49,39,354,325,91.81,29,8.19,49039
49,40,339,295,87.02,44,12.98,49040
49,41,362,330,91.16,32,8.84,49041
49,42,427,390,91.33,37,8.67,49042
49,43,411,378,91.97,33,8.03,49043
49,44,420,373,88.81,47,11.19,49044
50,1,471,376,79.83,95,20.17,50001
50,2,431,326,75.64,105,24.36,50002
50,3,345,293,84.93,52,15.07,50003
50,4,374,325,86.9,49,13.1,50004
50,5,384,300,78.13,84,21.88,50005
50,6,284,245,86.27,39,13.73,50006
50,7,408,348,85.29,60,14.71,50007
50,8,351,299,85.19,52,14.81,50008
50,9,308,262,85.06,46,14.94,50009
50,10,308,243,78.9,65,21.1,50010
50,11,358,283,79.05,75,20.95,50011
50,12,218,191,87.61,27,12.39,50012
50,13,458,406,88.65,52,11.35,50013
50,14,173,152,87.86,21,12.14,50014
50,15,424,359,84.67,65,15.33,50015
50,16,188,164,87.23,24,12.77,50016
50,17,367,288,78.47,79,21.53,50017
50,18,343,287,83.67,56,16.33,50018
50,19,306,244,79.74,62,20.26,50019
50,20,367,279,76.02,88,23.98,50020
50,21,399,326,81.7,73,18.3,50021
50,22,456,393,86.18,63,13.82,50022
50,23,259,197,76.06,62,23.94,50023
50,24,384,323,84.11,61,15.89,50024
50,25,363,273,75.21,90,24.79,50025
50,26,281,234,83.27,47,16.73,50026
50,27,145,124,85.52,21,14.48,50027
50,28,340,281,82.65,59,17.35,50028
50,29,405,350,86.42,55,13.58,50029
50,30,329,251,76.29,78,23.71,50030
50,31,151,135,89.4,16,10.6,50031
50,32,330,283,85.76,47,14.24,50032
50,33,271,202,74.54,69,25.46,50033
50,34,335,315,94.03,20,5.97,50034
50,35,442,379,85.75,63,14.25,50035
50,36,380,296,77.89,84,22.11,50036
50,37,420,359,85.48,61,14.52,50037
50,38,206,184,89.32,22,10.68,50038
50,39,381,320,83.99,61,16.01,50039
50,40,422,304,72.04,118,27.96,50040
50,41,458,355,77.51,103,22.49,50041
50,42,355,298,83.94,57,16.06,50042
50,43,380,326,85.79,54,14.21,50043
