ward,precinct,total,Aurelia Marie Pucinski,Aurelia Marie Pucinski Percent,precinct_id
41,6,244,244,100.0,41006
41,7,385,385,100.0,41007
41,8,275,275,100.0,41008
41,9,298,298,100.0,41009
41,10,250,250,100.0,41010
41,11,243,243,100.0,41011
41,12,352,352,100.0,41012
41,13,219,219,100.0,41013
41,14,307,307,100.0,41014
41,15,225,225,100.0,41015
41,16,309,309,100.0,41016
41,17,298,298,100.0,41017
41,18,224,224,100.0,41018
41,19,265,265,100.0,41019
41,20,320,320,100.0,41020
41,21,314,314,100.0,41021
41,22,226,226,100.0,41022
41,23,313,313,100.0,41023
41,24,205,205,100.0,41024
41,30,257,257,100.0,41030
41,31,262,262,100.0,41031
41,32,258,258,100.0,41032
41,33,269,269,100.0,41033
41,34,252,252,100.0,41034
41,35,258,258,100.0,41035
41,36,291,291,100.0,41036
41,37,328,328,100.0,41037
41,39,198,198,100.0,41039
41,40,225,225,100.0,41040
41,41,277,277,100.0,41041
41,42,237,237,100.0,41042
41,43,239,239,100.0,41043
41,44,246,246,100.0,41044
41,45,232,232,100.0,41045
41,46,262,262,100.0,41046
41,49,212,212,100.0,41049
41,50,264,264,100.0,41050
41,51,255,255,100.0,41051
41,52,254,254,100.0,41052
41,53,331,331,100.0,41053
41,55,277,277,100.0,41055
41,56,284,284,100.0,41056
41,57,298,298,100.0,41057
41,58,189,189,100.0,41058
41,59,245,245,100.0,41059
41,60,213,213,100.0,41060
41,61,315,315,100.0,41061
41,62,269,269,100.0,41062
41,63,244,244,100.0,41063
41,64,291,291,100.0,41064
41,65,341,341,100.0,41065
41,66,295,295,100.0,41066
41,68,228,228,100.0,41068
41,69,154,154,100.0,41069
45,2,313,313,100.0,45002
45,3,355,355,100.0,45003
45,4,346,346,100.0,45004
45,5,296,296,100.0,45005
45,6,277,277,100.0,45006
45,7,269,269,100.0,45007
45,8,258,258,100.0,45008
45,9,317,317,100.0,45009
45,10,359,359,100.0,45010
45,11,289,289,100.0,45011
45,12,324,324,100.0,45012
45,13,336,336,100.0,45013
45,14,332,332,100.0,45014
45,15,340,340,100.0,45015
45,16,331,331,100.0,45016
45,17,255,255,100.0,45017
45,18,280,280,100.0,45018
45,19,295,295,100.0,45019
45,20,232,232,100.0,45020
45,21,294,294,100.0,45021
45,22,258,258,100.0,45022
45,23,272,272,100.0,45023
45,24,373,373,100.0,45024
45,25,311,311,100.0,45025
45,26,298,298,100.0,45026
45,27,260,260,100.0,45027
45,28,277,277,100.0,45028
45,29,313,313,100.0,45029
45,30,271,271,100.0,45030
45,31,269,269,100.0,45031
45,32,211,211,100.0,45032
45,33,255,255,100.0,45033
45,34,225,225,100.0,45034
45,35,275,275,100.0,45035
45,36,269,269,100.0,45036
45,37,280,280,100.0,45037
45,38,313,313,100.0,45038
45,39,308,308,100.0,45039
45,40,313,313,100.0,45040
45,41,194,194,100.0,45041
45,42,260,260,100.0,45042
45,43,256,256,100.0,45043
45,44,276,276,100.0,45044
45,45,252,252,100.0,45045
45,46,309,309,100.0,45046
45,47,311,311,100.0,45047
45,48,270,270,100.0,45048
45,49,279,279,100.0,45049
45,50,275,275,100.0,45050
45,51,277,277,100.0,45051
45,52,281,281,100.0,45052
45,53,216,216,100.0,45053
46,21,111,111,100.0,46021
47,1,446,446,100.0,47001
47,2,294,294,100.0,47002
47,3,291,291,100.0,47003
47,4,337,337,100.0,47004
47,5,362,362,100.0,47005
47,6,458,458,100.0,47006
47,7,373,373,100.0,47007
47,8,470,470,100.0,47008
47,9,240,240,100.0,47009
47,10,308,308,100.0,47010
47,11,596,596,100.0,47011
47,12,354,354,100.0,47012
47,13,505,505,100.0,47013
47,14,258,258,100.0,47014
47,16,356,356,100.0,47016
47,17,291,291,100.0,47017
47,19,399,399,100.0,47019
47,20,393,393,100.0,47020
47,21,36,36,100.0,47021
47,22,370,370,100.0,47022
47,25,439,439,100.0,47025
47,26,604,604,100.0,47026
47,27,372,372,100.0,47027
47,28,497,497,100.0,47028
47,29,413,413,100.0,47029
47,30,425,425,100.0,47030
47,31,378,378,100.0,47031
47,32,443,443,100.0,47032
47,33,383,383,100.0,47033
47,34,463,463,100.0,47034
47,35,561,561,100.0,47035
47,36,555,555,100.0,47036
47,37,499,499,100.0,47037
47,38,402,402,100.0,47038
47,39,418,418,100.0,47039
47,42,308,308,100.0,47042
47,43,264,264,100.0,47043
47,45,361,361,100.0,47045
47,46,307,307,100.0,47046
47,47,337,337,100.0,47047
47,48,43,43,100.0,47048
47,49,322,322,100.0,47049
47,50,309,309,100.0,47050
47,51,256,256,100.0,47051
48,49,45,45,100.0,48049
50,8,234,234,100.0,50008
50,23,180,180,100.0,50023
50,29,301,301,100.0,50029
50,45,41,41,100.0,50045
