ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Raymond G. Wardingley,Raymond G. Wardingley Percent,precinct_id
18,35,449,420,93.54,29,6.46,18035
18,36,298,244,81.88,54,18.12,18036
18,37,291,268,92.1,23,7.9,18037
18,38,442,427,96.61,15,3.39,18038
18,39,404,384,95.05,20,4.95,18039
18,40,424,401,94.58,23,5.42,18040
18,42,311,277,89.07,34,10.93,18042
18,44,249,224,89.96,25,10.04,18044
18,45,364,355,97.53,9,2.47,18045
18,46,400,392,98.0,8,2.0,18046
18,47,397,383,96.47,14,3.53,18047
18,49,324,310,95.68,14,4.32,18049
18,50,428,409,95.56,19,4.44,18050
18,51,256,250,97.66,6,2.34,18051
18,52,317,314,99.05,3,0.95,18052
18,53,328,317,96.65,11,3.35,18053
18,54,412,391,94.9,21,5.1,18054
18,58,381,370,97.11,11,2.89,18058
18,59,294,283,96.26,11,3.74,18059
18,60,461,453,98.26,8,1.74,18060
18,61,372,362,97.31,10,2.69,18061
18,62,249,248,99.6,1,0.4,18062
18,63,389,383,98.46,6,1.54,18063
19,28,489,451,92.23,38,7.77,19028
19,43,541,517,95.56,24,4.44,19043
19,48,369,357,96.75,12,3.25,19048
19,50,492,484,98.37,8,1.63,19050
19,60,409,391,95.6,18,4.4,19060
19,66,473,465,98.31,8,1.69,19066
20,1,410,406,99.02,4,0.98,20001
20,2,262,258,98.47,4,1.53,20002
20,3,370,364,98.38,6,1.62,20003
20,5,221,216,97.74,5,2.26,20005
20,6,354,347,98.02,7,1.98,20006
20,7,210,206,98.1,4,1.9,20007
20,9,337,327,97.03,10,2.97,20009
20,10,326,318,97.55,8,2.45,20010
20,11,315,305,96.83,10,3.17,20011
20,12,120,117,97.5,3,2.5,20012
20,13,130,126,96.92,4,3.08,20013
20,14,497,488,98.19,9,1.81,20014
20,16,134,132,98.51,2,1.49,20016
20,17,381,367,96.33,14,3.67,20017
20,18,470,465,98.94,5,1.06,20018
20,19,161,158,98.14,3,1.86,20019
20,20,221,214,96.83,7,3.17,20020
20,22,372,366,98.39,6,1.61,20022
20,23,425,414,97.41,11,2.59,20023
20,24,623,604,96.95,19,3.05,20024
20,25,302,290,96.03,12,3.97,20025
20,26,271,265,97.79,6,2.21,20026
20,28,367,362,98.64,5,1.36,20028
20,29,376,362,96.28,14,3.72,20029
20,30,316,312,98.73,4,1.27,20030
20,32,616,591,95.94,25,4.06,20032
20,33,461,447,96.96,14,3.04,20033
20,34,487,458,94.05,29,5.95,20034
20,35,247,238,96.36,9,3.64,20035
20,36,366,365,99.73,1,0.27,20036
20,37,254,250,98.43,4,1.57,20037
20,38,64,62,96.88,2,3.13,20038
20,39,344,336,97.67,8,2.33,20039
20,42,360,354,98.33,6,1.67,20042
20,44,381,373,97.9,8,2.1,20044
20,46,283,280,98.94,3,1.06,20046
20,47,220,214,97.27,6,2.73,20047
20,49,295,286,96.95,9,3.05,20049
20,50,243,238,97.94,5,2.06,20050
20,53,74,73,98.65,1,1.35,20053
20,54,223,213,95.52,10,4.48,20054
20,55,185,179,96.76,6,3.24,20055
21,1,510,499,97.84,11,2.16,21001
21,2,165,160,96.97,5,3.03,21002
21,3,513,500,97.47,13,2.53,21003
21,4,542,528,97.42,14,2.58,21004
21,5,357,350,98.04,7,1.96,21005
21,6,416,408,98.08,8,1.92,21006
21,7,431,422,97.91,9,2.09,21007
21,8,442,434,98.19,8,1.81,21008
21,9,448,437,97.54,11,2.46,21009
21,10,298,294,98.66,4,1.34,21010
21,11,407,399,98.03,8,1.97,21011
21,12,410,398,97.07,12,2.93,21012
21,13,218,214,98.17,4,1.83,21013
21,14,381,376,98.69,5,1.31,21014
21,15,379,373,98.42,6,1.58,21015
21,16,362,357,98.62,5,1.38,21016
21,17,168,164,97.62,4,2.38,21017
21,18,352,346,98.3,6,1.7,21018
21,19,320,314,98.13,6,1.88,21019
21,20,198,195,98.48,3,1.52,21020
21,21,389,376,96.66,13,3.34,21021
21,22,408,394,96.57,14,3.43,21022
21,23,340,331,97.35,9,2.65,21023
21,24,389,385,98.97,4,1.03,21024
21,25,303,300,99.01,3,0.99,21025
21,26,272,271,99.63,1,0.37,21026
21,27,394,389,98.73,5,1.27,21027
21,28,295,294,99.66,1,0.34,21028
21,29,170,168,98.82,2,1.18,21029
21,30,284,278,97.89,6,2.11,21030
21,31,507,499,98.42,8,1.58,21031
21,32,259,253,97.68,6,2.32,21032
21,33,378,370,97.88,8,2.12,21033
21,34,471,463,98.3,8,1.7,21034
21,35,268,262,97.76,6,2.24,21035
21,36,413,404,97.82,9,2.18,21036
21,37,354,349,98.59,5,1.41,21037
21,38,396,392,98.99,4,1.01,21038
21,39,342,335,97.95,7,2.05,21039
21,40,322,314,97.52,8,2.48,21040
21,41,343,335,97.67,8,2.33,21041
21,42,363,353,97.25,10,2.75,21042
21,43,342,334,97.66,8,2.34,21043
21,44,368,359,97.55,9,2.45,21044
21,45,305,296,97.05,9,2.95,21045
21,46,302,297,98.34,5,1.66,21046
21,47,420,412,98.1,8,1.9,21047
21,48,509,503,98.82,6,1.18,21048
21,49,354,347,98.02,7,1.98,21049
21,50,364,354,97.25,10,2.75,21050
21,51,430,426,99.07,4,0.93,21051
21,52,442,433,97.96,9,2.04,21052
21,53,340,329,96.76,11,3.24,21053
21,54,323,311,96.28,12,3.72,21054
21,55,408,402,98.53,6,1.47,21055
21,56,297,293,98.65,4,1.35,21056
21,57,399,392,98.25,7,1.75,21057
21,58,287,283,98.61,4,1.39,21058
21,59,461,455,98.7,6,1.3,21059
21,60,378,371,98.15,7,1.85,21060
21,61,440,434,98.64,6,1.36,21061
21,62,373,365,97.86,8,2.14,21062
21,63,374,371,99.2,3,0.8,21063
21,64,238,233,97.9,5,2.1,21064
21,65,323,313,96.9,10,3.1,21065
21,66,299,296,99.0,3,1.0,21066
21,67,343,336,97.96,7,2.04,21067
21,68,410,405,98.78,5,1.22,21068
21,69,320,314,98.13,6,1.88,21069
21,70,271,263,97.05,8,2.95,21070
21,71,290,280,96.55,10,3.45,21071
21,72,345,337,97.68,8,2.32,21072
21,73,547,540,98.72,7,1.28,21073
21,74,182,179,98.35,3,1.65,21074
21,75,289,285,98.62,4,1.38,21075
21,76,422,414,98.1,8,1.9,21076
34,13,312,304,97.44,8,2.56,34013
34,33,190,185,97.37,5,2.63,34033
34,44,45,44,97.78,1,2.22,34044
34,47,250,245,98.0,5,2.0,34047
34,51,541,526,97.23,15,2.77,34051
34,62,422,415,98.34,7,1.66,34062
34,64,100,99,99.0,1,1.0,34064
34,66,387,376,97.16,11,2.84,34066
34,67,332,328,98.8,4,1.2,34067
34,69,277,272,98.19,5,1.81,34069
34,70,407,399,98.03,8,1.97,34070
34,71,311,304,97.75,7,2.25,34071
34,72,298,289,96.98,9,3.02,34072
34,73,306,299,97.71,7,2.29,34073
